	MG1655-1	proV-1	HMDA7-1_1	proV_rpsG1-1	proV_sspA-1	proV_sspA_nusA-1	rpsG1-1	MG1655-2	proV-2	HMDA7-1_2	proV_rpsG1-2	proV_sspA-2	proV_sspA_nusA-2	rpsG1-2	MG1655-3	proV-3	HMDA7-1_3	proV_rpsG1-3	proV_sspA-3	proV_sspA_nusA-3	rpsG1-3
35.50725	1.222	25.452	46.744	32.288	24.687	49.7	25.72	26.267	4.107	48.636	30.356	24.735	50.985	26.846	2.162	27.267	49.141	31.092	26.923	53.481	28.093
35.67392	1.091	25.55	46.547	31.208	24.719	49.799	25.621	26.464	4.5	48.636	31.076	24.637	51.41	26.65	2.162	27.398	49.37	30.732	27.119	53.579	28.191
35.8405	1.309	25.949	46.277	32.583	24.792	51.094	25.3	27.22	4.782	48.526	30.62	24.611	51.267	26.982	2.248	27.859	49.229	31.16	27.376	53.86	28.163
36.00716	1.302	26.224	46.772	31.94	23.892	50.443	26.166	27.037	5.297	48.856	30.762	24.79	51.793	27.16	2.632	28.003	49.69	31.173	26.371	53.731	28.406
36.17392	1.226	26.181	46.365	32.331	24.826	50.239	25.598	27.062	5.551	49.208	30.399	24.548	52.637	26.986	2.755	28.259	49.254	30.84	27.753	53.693	28.102
36.34056	1.603	26.258	47.425	31.442	24.65	51.348	26.103	27.133	6.051	49.209	30.331	24.567	52.797	27.064	2.799	28.129	49.393	30.809	27.068	54.635	28.438
36.50725	1.357	26.785	46.926	31.615	24.847	50.789	25.91	27.368	6.101	49.269	30.405	24.372	52.891	27.329	3.142	28.692	49.287	31.371	27.477	54.6	28.508
36.67403	1.455	26.426	46.73	31.582	25.043	51.9	25.845	27.792	6.395	49.465	31.189	25.124	52.303	27.101	3.338	28.594	49.483	31.469	26.856	54.534	28.182
36.84068	1.527	26.654	47.187	31.509	24.625	49.998	25.489	27.692	6.789	49.164	30.855	24.508	52.784	27.461	3.536	28.915	49.839	31.497	27.39	55.176	28.54
37.00739	1.356	26.832	46.93	32.368	24.771	51.141	25.96	27.77	7.268	49.297	31.193	25.208	52.558	27.247	4.017	28.927	50.103	31.021	27.919	55.242	28.032
37.17393	1.736	27.064	46.856	31.815	24.647	51.193	25.021	27.904	7.939	49.545	31.357	25.378	53.587	27.187	4.394	28.994	49.799	31.512	27.263	55.553	28.167
37.34074	1.776	27.604	46.786	31.608	25.251	51.843	25.984	28.216	8.274	49.673	31.313	25.428	52.836	26.815	4.892	28.982	50.121	31.76	27.027	55.813	27.795
37.50724	1.857	27.642	46.875	32.074	24.894	51.611	25.759	28.256	8.881	49.831	31.55	25.365	53.778	26.85	5.4	29.316	50.538	31.996	27.989	55.583	28.419
37.67398	1.878	27.809	47.55	31.716	24.771	52.054	25.439	28.683	9.257	50.112	31.193	26.61	53.764	27.606	5.94	29.416	50.136	31.77	28.636	56.122	29.01
37.84068	1.791	28.164	47.201	32.041	25.285	52.361	25.856	28.517	9.859	49.57	30.963	25.528	53.582	26.524	6.444	29.903	50.538	31.605	28.25	55.844	28.06
38.00735	2.248	28.588	47.592	32.368	24.633	52.524	25.465	28.843	10.479	50.288	31.028	25.952	54.593	26.655	6.868	30.197	50.571	32.583	28.479	55.55	28.321
38.1741	2.379	28.947	47.364	31.878	24.894	52.427	25.987	29.3	11.099	49.962	31.159	26.278	53.81	26.981	7.488	30.588	50.571	32.453	28.087	56.953	28.125
38.34071	2.672	29.012	47.951	32.368	25.709	53.177	26.215	29.43	11.588	50.19	31.811	26.441	55.05	26.655	8.075	30.327	49.951	32.062	28.74	56.203	28.452
38.50735	2.9	29.599	47.886	32.172	25.318	52.361	25.759	29.756	12.469	50.288	31.452	26.278	54.332	26.329	8.76	30.719	50.669	31.964	29.359	56.366	28.354
38.67407	3.365	29.637	47.67	32.402	25.168	52.268	25.933	29.956	13.509	50.49	31.585	26.615	54.336	26.113	9.573	31.144	50.483	32.033	28.272	56.661	27.907
38.84073	3.671	29.928	47.745	32.303	25.39	52.901	25.243	30.117	14.668	51.22	31.812	26.903	55.556	26.726	10.406	31.6	50.885	31.933	29.125	56.904	28.293
39.00734	3.907	30.013	48.198	32.455	25.277	52.9	25.978	30.529	15.854	50.468	31.866	27.345	55.425	26.059	11.102	31.687	50.654	32.475	30.325	56.643	28.312
39.17415	4.533	30.344	47.591	32.619	25.486	53.034	25.403	30.987	16.726	50.833	31.803	27.225	54.841	26.494	12.14	32.045	51.022	32.967	29.367	56.384	28.093
39.34085	4.939	30.401	47.599	33.065	25.516	53.882	25.889	31.206	18.293	51.422	32.151	27.253	55.332	26.426	13.221	32.164	51.06	32.926	29.901	57.492	27.828
39.50748	5.491	30.831	47.959	33.01	26.522	53.179	25.169	31.703	19.484	50.618	32.388	27.611	55.541	26.684	14.375	32.73	51.49	31.728	29.634	56.497	28.088
39.67408	6.046	30.968	48.059	33.313	26.16	54.432	25.296	31.648	20.386	50.497	31.843	27.48	56.207	26.486	15.272	32.644	51.17	32.712	30.378	58.013	28.349
39.84086	6.818	31.168	48.028	32.793	26.113	54.418	25.119	32.04	22.14	50.946	32.204	28.407	55.541	26.601	16.348	32.935	51.265	32.717	30.39	57.964	28.004
40.00747	7.548	30.968	47.798	33.216	26.943	54.301	25.883	32.17	23.617	51.639	31.68	27.611	56.599	26.682	17.655	33.199	51.496	33.104	30.28	58.34	28.349
40.17421	8.147	31.318	48.752	33.661	25.994	54.335	25.652	32.388	25.573	51.251	31.964	28.487	55.328	26.809	18.831	33.382	51.534	32.443	30.325	57.85	27.66
40.34083	8.968	31.622	48.473	33.672	26.46	54.514	25.074	32.529	26.886	51.169	32.529	28.464	55.05	26.426	19.948	33.589	51.876	32.29	30.762	58.29	28.125
40.50752	9.68	31.774	48.915	33.661	26.646	53.944	25.358	32.714	27.627	51.577	32.225	28.878	56.795	27.135	20.886	33.35	51.763	32.736	30.977	58.176	28.312
40.67426	10.691	31.677	48.556	34.216	26.353	53.846	25.163	32.844	28.214	51.577	31.801	28.487	56.012	26.613	22.679	33.676	51.828	32.932	31.075	57.589	28.149
40.84087	11.585	32.004	48.252	33.727	26.391	54.841	25.756	32.974	27.599	51.498	32.616	28.849	56.062	26.847	24.445	33.903	52.011	32.933	30.937	58.681	28.023
41.00753	12.778	31.885	48.712	33.737	26.406	55.199	25.51	33.18	27.026	51.174	32.269	29.254	56.714	26.406	25.697	33.619	52.372	33.336	31.888	58.159	27.972
41.17415	13.861	32.099	49.165	33.956	27.027	55.15	24.627	33.269	26.541	51.246	33.236	29.23	56.599	26.667	27.697	33.94	52.441	33.321	31.351	59.222	28.205
41.34088	14.827	32.371	48.842	34.162	27.27	54.824	25.165	33.541	27.045	52.129	32.692	29.21	58.035	26.453	28.46	34.504	52.378	32.712	32.662	59.188	27.99
41.50776	16.146	32.489	48.969	34.055	27.109	55.035	25.294	33.467	26.133	51.909	32.385	29.71	57.662	27.075	27.395	34.533	52.25	33.448	31.832	58.718	27.962
41.67434	17.266	32.925	49.213	33.869	28.002	55.444	24.91	33.871	25.619	52.187	32.985	29.72	57.58	27.379	26.881	34.872	52.56	33.001	31.387	59.454	27.808
41.84091	18.516	32.717	49.089	34.449	27.327	55.297	24.921	33.829	25.303	52.102	32.744	29.867	57.204	26.54	27.226	34.799	53.357	33.249	32.307	60.03	28.313
42.00759	19.689	32.892	49.115	34.459	27.38	55.477	25.63	33.904	25.062	52.514	32.592	30.113	57.318	26.659	26.685	34.97	52.953	33.328	32.173	59.847	28.168
42.17419	21.488	33.045	49.58	34.447	27.343	55.575	25.3	34.186	24.699	51.862	32.059	30.171	58.004	27.081	25.435	34.989	52.434	33.482	32.478	60.238	27.967
42.34097	23.078	33.11	49.865	34.186	27.889	55.608	25.026	34.549	25.178	52.513	33.138	29.936	58.464	26.971	24.838	35.255	53.278	33.873	33.019	60.077	28.481
42.50769	24.609	33.351	48.929	34.425	27.553	55.869	24.662	34.36	24.976	52.092	32.724	30.347	58.102	26.964	24.468	35.456	52.403	33.69	32.974	60.629	28.733
42.67436	25.782	33.547	49.464	34.36	28.072	57.063	25.407	34.754	24.806	52.663	33.28	30.704	58.479	26.239	24.267	35.622	53.397	33.427	32.623	61.171	28.565
42.84104	25.778	33.874	49.639	34.459	27.805	56.95	24.877	34.984	24.636	52.285	33.738	30.538	58.104	26.757	23.935	35.527	53.051	33.95	32.467	60.338	28.364
43.00762	25.034	33.71	49.975	34.098	27.455	55.738	25.479	35.21	25.27	52.615	33.181	30.707	58.789	26.801	23.782	36.077	53.482	33.363	33.366	60.792	28.504
43.17437	24.894	34.202	49.802	34.688	27.183	56.066	25.107	35.279	25.357	52.711	32.985	30.538	59.02	26.855	23.542	36.149	53.149	34.015	32.991	60.436	28.593
43.34111	24.623	34.485	50.115	34.382	27.796	56.344	25.425	35.366	25.511	52.302	32.909	30.528	59.102	26.781	23.795	36.3	53.232	33.448	32.454	61.892	28.584
43.50777	24.632	34.824	49.802	34.59	27.609	57.114	25.172	35.606	25.52	52.809	33.443	31.651	58.693	26.495	24.033	36.607	53.837	34.015	33.482	61.058	28.888
43.67444	23.671	34.793	49.989	34.722	27.861	56.887	25.126	35.808	25.378	53.134	33.247	31.221	59.515	26.549	24.154	36.712	53.733	34.112	33.632	60.998	28.355
43.84112	23.051	34.838	50.213	34.603	28.128	56.462	25.49	36.15	25.315	53.165	33.291	31.722	59.353	27.274	24.487	36.826	53.894	34.516	33.622	61.066	28.984
44.00777	23.007	35.077	50.433	34.449	28.179	56.772	25.314	36.091	25.369	53.413	33.892	32.129	59.596	26.933	24.637	37.028	53.849	34.003	33.454	62.095	28.837
44.17441	22.261	35.187	50.219	35.345	28.353	56.985	25.061	36.398	25.214	53.33	33.87	31.385	58.531	26.254	24.449	37.007	54.454	34.014	34.418	61.522	28.814
44.34106	22.432	35.283	50.174	34.59	28.259	57.426	25.329	36.853	25.187	53.872	33.968	31.879	59.661	26.98	24.421	37.495	54.145	34.572	34.638	62.682	29.113
44.5078	22.626	35.598	50.049	34.84	28.319	57.817	25.327	36.773	25.413	53.382	34.087	32.132	59.429	26.486	24.678	37.642	53.723	34.725	34.025	61.729	28.747
44.67439	22.576	35.902	50.38	34.818	28.399	57.227	25.407	37.109	25.199	53.186	34.49	31.751	59.984	26.468	24.66	37.977	54.15	34.605	34.193	62.185	28.827
44.84112	22.668	36.133	49.802	35.179	28.132	57.9	25.303	37.309	25.128	53.398	34.0	32.339	60.133	26.855	24.983	38.015	54.197	34.932	34.333	61.942	28.953
45.00787	22.908	36.093	50.532	35.432	28.441	58.083	25.544	37.402	24.91	53.708	33.793	32.129	59.891	26.9	24.833	38.273	54.34	35.085	34.863	62.586	29.132
45.17445	22.882	36.386	50.487	35.333	28.741	57.606	24.829	37.431	25.276	53.627	34.382	32.392	61.478	26.316	24.805	38.662	53.999	35.314	35.213	63.778	28.579
45.34117	23.194	36.603	50.353	35.284	28.996	57.728	25.337	38.082	25.754	54.066	34.726	32.529	61.607	26.827	24.566	39.088	54.596	35.26	35.499	63.091	28.933
45.50778	23.286	36.573	51.154	35.614	29.288	58.766	25.363	38.25	25.88	54.082	35.023	33.153	61.692	26.722	24.891	39.06	54.643	35.326	35.839	63.835	28.83
45.67443	23.274	36.777	50.947	35.655	28.714	57.431	25.451	38.188	25.572	53.903	35.196	33.001	60.455	27.071	24.712	39.259	54.794	35.764	35.766	64.074	28.782
45.84114	23.292	37.03	50.55	36.598	28.996	58.582	25.337	38.41	25.951	53.968	35.186	32.825	61.212	26.695	24.731	39.285	54.793	35.819	35.795	63.814	28.637
46.00789	23.552	37.409	50.984	36.384	29.557	58.933	25.596	38.563	26.312	54.18	35.825	33.228	61.433	27.055	24.929	39.769	54.838	36.16	36.456	63.643	29.099
46.17454	23.403	37.121	51.087	35.961	29.348	58.1	25.281	38.906	26.23	54.393	35.468	33.094	62.119	26.972	24.981	39.786	54.784	36.361	35.699	64.266	29.186
46.34138	23.309	37.415	51.209	36.484	29.822	59.097	25.121	38.973	26.304	54.425	35.594	33.478	62.823	26.913	25.289	39.988	55.274	36.452	35.915	64.708	29.264
46.50792	23.508	37.25	50.746	36.748	29.426	60.221	25.022	39.304	26.568	54.425	35.792	33.412	62.36	26.946	25.653	40.154	54.713	36.386	35.849	64.708	29.33
46.6745	23.258	37.325	50.98	36.824	28.746	59.855	25.037	39.477	26.715	55.119	36.198	33.654	62.523	26.829	25.831	40.194	55.242	36.759	36.711	65.332	28.617
46.84124	23.502	37.253	51.255	36.717	29.025	60.075	25.18	39.54	26.729	54.475	36.753	33.907	62.182	26.842	26.012	40.391	55.554	37.775	37.182	65.424	29.061
47.00785	23.385	37.13	51.059	37.52	29.502	59.941	25.163	39.647	26.743	54.475	36.498	34.315	63.27	26.823	26.026	40.365	55.125	36.893	37.053	65.288	28.844
47.17463	23.418	37.328	51.323	37.586	29.535	60.37	25.163	39.614	26.743	54.541	36.498	34.117	63.7	26.823	26.224	40.332	55.29	37.653	36.822	65.586	29.372
47.3414	23.382	37.148	50.998	38.0	29.76	60.498	25.391	39.86	26.805	54.574	36.979	34.04	63.495	26.886	26.482	40.214	55.127	37.342	37.621	65.908	29.3
47.50799	23.727	36.926	51.166	37.943	29.839	60.264	25.077	39.373	26.687	55.103	36.823	34.051	64.284	26.802	26.528	40.287	55.227	37.517	37.69	66.169	29.314
47.67465	23.888	37.11	51.6	37.895	29.8	61.314	25.272	39.718	26.913	54.674	37.006	35.359	63.42	27.029	26.488	40.597	55.757	37.767	37.399	66.424	28.682
47.8413	23.921	36.879	51.798	38.324	29.8	60.985	25.14	39.915	27.144	55.036	37.138	34.534	64.442	27.161	26.521	40.4	55.262	37.965	38.421	66.688	29.176
48.008	24.046	36.718	51.576	38.227	29.853	60.678	25.399	39.616	27.069	55.102	37.306	35.236	64.823	26.89	26.64	40.296	55.398	37.97	37.608	67.066	29.099
48.17477	24.441	36.718	51.675	38.523	30.05	61.467	25.465	39.813	27.431	54.904	37.635	35.664	63.967	27.186	26.837	40.493	55.727	38.299	38.497	66.013	28.967
48.3413	24.737	36.784	51.576	38.72	29.853	61.171	25.004	39.583	27.661	55.102	37.899	35.729	64.296	27.154	27.035	40.23	55.727	38.365	38.793	67.658	29.428
48.50805	24.765	36.424	52.05	39.613	29.685	61.949	24.997	39.654	27.92	55.316	38.594	36.422	65.471	27.115	27.164	40.17	55.973	38.335	39.267	66.891	29.622
48.67474	24.902	36.422	51.905	39.51	30.38	61.698	25.53	39.583	28.451	54.97	38.228	36.848	64.56	27.581	27.232	40.131	56.122	38.76	39.418	66.868	29.527
48.84145	25.085	36.347	52.167	39.535	29.906	62.261	25.548	39.608	28.799	55.102	38.482	36.411	64.036	27.6	27.746	40.256	55.726	38.718	40.009	66.971	29.184
49.00803	25.264	36.291	52.004	39.642	30.38	61.994	25.629	39.386	29.043	55.365	38.754	37.605	64.56	27.812	28.022	39.769	55.793	39.056	39.879	67.987	29.198
49.17472	25.212	36.134	52.09	40.088	30.499	62.013	26.199	39.67	29.789	55.697	39.496	37.615	65.44	27.594	28.541	39.924	56.118	39.233	40.726	67.588	29.743
49.34134	25.33	36.157	52.121	40.048	31.014	63.073	25.523	39.398	29.809	55.73	39.125	38.365	65.642	28.042	29.19	39.751	56.448	39.257	40.857	68.418	29.433
49.50816	25.052	36.066	52.341	41.007	31.722	62.553	25.281	39.335	30.254	55.218	39.261	37.778	65.285	27.863	29.533	39.786	55.938	39.989	40.976	67.927	29.483
49.67491	25.806	36.035	52.387	40.815	31.918	62.937	25.473	39.34	30.845	55.268	39.265	38.671	65.605	28.32	29.829	39.825	56.415	40.454	41.683	67.951	29.644
49.84141	25.623	36.06	52.498	40.978	31.805	63.525	25.649	39.205	30.633	56.111	39.691	39.227	65.433	28.367	30.609	39.526	56.596	40.582	42.491	68.112	29.561
50.00819	26.027	35.99	52.47	41.231	33.03	62.622	25.893	39.096	31.528	55.581	39.781	39.847	66.114	28.409	30.841	39.548	56.696	40.244	42.426	68.394	29.436
50.17479	26.359	35.907	52.48	41.751	32.807	63.643	25.758	39.019	31.304	56.128	40.365	39.934	66.014	29.071	31.083	39.539	56.612	40.628	43.234	68.494	29.505
50.34149	26.958	35.773	52.665	41.811	33.006	63.092	25.4	38.981	31.735	55.747	40.36	40.425	66.09	28.646	31.578	39.302	56.563	40.062	43.548	68.173	29.773
50.50824	27.086	35.874	51.984	42.147	33.534	63.477	25.559	38.887	31.602	56.326	40.266	40.76	65.815	28.972	31.876	39.208	56.381	40.495	44.06	68.329	30.1
50.6749	27.556	35.854	52.244	42.167	33.411	63.452	25.496	38.838	31.809	55.566	40.515	40.711	65.791	28.746	31.954	39.358	56.281	40.677	43.994	69.001	30.205
50.84157	28.032	35.897	52.809	42.868	33.886	63.68	25.875	38.713	32.317	56.26	40.721	40.851	66.316	28.925	32.13	39.234	56.414	41.115	44.457	69.062	30.186
51.00829	28.378	36.169	52.334	43.132	34.162	63.719	25.83	38.75	32.198	55.549	40.459	41.251	66.717	29.306	32.668	39.071	56.695	41.383	44.01	68.767	30.631
51.17492	28.681	35.854	52.675	43.027	34.139	63.882	25.926	38.772	32.736	56.559	40.714	41.836	66.452	29.109	32.549	39.259	57.108	41.372	45.219	69.299	30.933
51.34163	29.104	35.872	53.061	43.231	35.351	63.719	26.127	38.684	32.792	55.714	41.681	41.911	66.717	29.24	32.8	39.302	56.762	41.482	44.77	69.626	30.631
51.50827	29.663	35.909	52.824	43.41	35.584	64.227	26.082	38.66	33.32	56.145	41.362	41.889	67.095	29.431	33.034	39.081	56.992	41.657	45.863	68.883	30.956
51.6749	29.654	35.664	52.861	43.786	35.506	64.186	26.277	38.874	33.309	56.408	41.806	41.97	67.019	29.491	33.682	39.195	57.29	41.474	45.795	69.401	31.213
51.84161	29.983	35.93	53.007	43.628	35.572	64.672	26.602	38.813	33.508	56.426	41.713	42.637	67.241	29.718	33.453	39.234	56.976	41.611	45.35	69.657	31.145
52.00834	30.25	35.728	52.814	44.439	36.529	63.998	26.646	38.737	33.805	56.159	41.767	43.153	67.491	29.594	33.779	39.256	57.075	41.998	45.777	69.607	31.348
