	MG1655-1	ADIP1-9_1	ADIP4-8_1	ADIP6-3_1	ADIP8-3_1	kgtP-1	proV-1	ybjL-1	MG1655-2	ADIP1-9_2	ADIP4-8_2	ADIP6-3_2	ADIP8-3_2	kgtP-2	proV-2	ybjL-2	MG1655-3	ADIP1-9_3	ADIP4-8_3	ADIP6-3_3	ADIP8-3_3	kgtP-3	proV-3	ybjL-3	kgtP_proV-1	kgtP_ybjL-1	kgtP_sspA-1	kgtP_proV_ybjL-1	ADIP3-2_4	ADIP4-1_4	ADIP3-2_5	ADIP4-1_5	kgtP_proV-2	kgtP_ybjL-2	kgtP_sspA-2	kgtP_proV_ybjL-2	ADIP3-4_4	ADIP7-2_4	ADIP3-4_5	ADIP7-2_5	kgtP_proV-3	kgtP_ybjL-3	kgtP_sspA-3	kgtP_proV_ybjL-3	ADIP3-8_4	ADIP7-5_4	ADIP3-8_5	ADIP7-5_5
0.00508	0.0	0.353	0.0	0.071	0.076	0.015	0.0	0.0	0.034	0.428	0.212	0.111	0.093	0.064	0.003	0.0	0.0	0.599	0.153	0.164	0.028	0.05	0.044	0.0	0.07	0.0	0.631	0.115	0.326	0.021	0.543	0.0	0.068	0.0	0.707	0.057	0.287	0.0	0.234	0.019	0.0	0.0	0.512	0.0	0.616	0.089	0.297	0.0
0.17161	0.206	0.122	0.002	0.0	0.0	0.0	0.077	0.123	0.0	0.138	0.0	0.0	0.0	0.0	0.0	0.136	0.068	0.329	0.001	0.0	0.0	0.0	0.044	0.088	0.0	0.069	0.358	0.0	0.239	0.0	0.305	0.156	0.0	0.01	0.399	0.0	0.193	0.163	0.217	0.186	0.259	0.227	0.558	0.193	0.56	0.137	0.273	0.06
0.33827	0.305	0.059	0.09	0.195	0.123	0.242	0.095	0.36	0.182	0.0	0.128	0.287	0.17	0.19	0.061	0.299	0.215	0.137	0.0	0.11	0.183	0.114	0.0	0.206	0.231	0.137	0.104	0.179	0.086	0.072	0.124	0.342	0.188	0.102	0.132	0.166	0.028	0.247	0.0	0.104	0.43	0.369	0.134	0.191	0.17	0.04	0.0	0.169
0.50498	0.415	0.001	0.189	0.269	0.283	0.337	0.068	0.45	0.269	0.055	0.241	0.321	0.353	0.257	0.185	0.419	0.321	0.136	0.034	0.231	0.166	0.293	0.151	0.389	0.289	0.137	0.038	0.211	0.017	0.261	0.0	0.329	0.202	0.152	0.0	0.29	0.0	0.233	0.053	0.0	0.586	0.389	0.0	0.384	0.073	0.0	0.075	0.316
0.67167	0.585	0.0	0.186	0.458	0.371	0.412	0.152	0.711	0.362	0.114	0.197	0.469	0.409	0.413	0.181	0.575	0.433	0.0	0.044	0.412	0.395	0.372	0.307	0.69	0.379	0.215	0.0	0.355	0.0	0.458	0.093	0.559	0.327	0.147	0.056	0.338	0.003	0.415	0.138	0.006	0.614	0.356	0.111	0.34	0.0	0.155	0.076	0.306
0.83839	0.595	0.195	0.243	0.49	0.406	0.357	0.241	0.682	0.484	0.231	0.317	0.536	0.496	0.523	0.209	0.74	0.385	0.185	0.165	0.429	0.436	0.484	0.435	0.588	0.416	0.255	0.178	0.393	0.057	0.413	0.297	0.537	0.424	0.211	0.107	0.384	0.117	0.414	0.254	0.123	0.646	0.539	0.145	0.871	0.055	0.209	0.134	0.377
1.00495	0.558	0.181	0.254	0.504	0.589	0.532	0.257	0.718	0.45	0.249	0.336	0.447	0.538	0.589	0.302	0.751	0.538	0.325	0.185	0.399	0.458	0.553	0.38	0.687	0.435	0.243	0.064	0.413	0.092	0.57	0.319	0.712	0.366	0.171	0.275	0.217	0.188	0.45	0.325	0.196	0.743	0.4	0.133	0.812	0.172	0.356	0.231	0.373
1.1718	0.476	0.291	0.418	0.558	0.452	0.5	0.257	0.768	0.509	0.333	0.339	0.534	0.621	0.613	0.215	0.831	0.455	0.559	0.216	0.545	0.408	0.468	0.305	0.687	0.604	0.267	0.319	0.36	0.109	0.572	0.296	0.676	0.4	0.109	0.232	0.307	0.049	0.445	0.271	0.142	0.659	0.492	0.132	1.345	0.215	0.435	0.229	0.323
1.3384	0.646	0.345	0.387	0.585	0.454	0.524	0.341	0.678	0.43	0.419	0.342	0.65	0.62	0.581	0.238	0.911	0.707	0.516	0.192	0.469	0.385	0.493	0.398	0.771	0.523	0.29	0.242	0.362	0.265	0.519	0.496	0.723	0.462	0.215	0.469	0.399	0.271	0.495	0.411	0.227	0.797	0.529	0.243	1.437	0.287	0.459	0.451	0.329
1.50497	0.69	0.501	0.289	0.627	0.554	0.424	0.385	0.662	0.56	0.547	0.359	0.584	0.72	0.623	0.336	0.813	0.583	0.735	0.265	0.6	0.515	0.535	0.446	0.899	0.484	0.262	0.289	0.379	0.233	0.48	0.515	0.609	0.425	0.242	0.436	0.39	0.259	0.563	0.315	0.271	0.672	0.408	0.287	1.261	0.367	0.557	0.523	0.264
1.67175	0.682	0.49	0.36	0.644	0.432	0.522	0.375	0.786	0.553	0.595	0.351	0.661	0.709	0.721	0.406	0.771	0.516	0.624	0.23	0.541	0.537	0.579	0.443	0.889	0.476	0.413	0.369	0.399	0.435	0.612	0.594	0.614	0.448	0.194	0.55	0.359	0.248	0.689	0.445	0.234	0.829	0.489	0.361	1.117	0.456	0.712	0.597	0.427
1.83835	0.707	0.515	0.44	0.781	0.401	0.46	0.371	0.838	0.522	0.706	0.32	0.687	0.649	0.632	0.402	0.907	0.597	0.737	0.369	0.539	0.535	0.603	0.555	0.717	0.557	0.303	0.367	0.424	0.465	0.468	0.536	0.673	0.418	0.225	0.466	0.386	0.357	0.713	0.499	0.259	0.797	0.46	0.386	1.228	0.486	0.652	0.537	0.397
2.00505	0.676	0.567	0.405	0.777	0.51	0.623	0.452	0.773	0.549	0.704	0.374	0.658	0.644	0.682	0.338	0.844	0.678	0.827	0.481	0.682	0.506	0.682	0.784	0.769	0.527	0.37	0.509	0.393	0.444	0.607	0.762	0.652	0.446	0.178	0.442	0.301	0.297	0.592	0.467	0.227	0.764	0.404	0.353	1.257	0.379	0.73	0.504	0.368
2.17177	0.741	0.547	0.442	0.757	0.547	0.517	0.461	0.781	0.558	0.684	0.383	0.667	0.738	0.718	0.375	0.937	0.658	0.723	0.404	0.634	0.543	0.605	0.509	0.863	0.62	0.211	0.376	0.402	0.596	0.615	0.686	0.577	0.54	0.131	0.48	0.395	0.39	0.77	0.475	0.235	0.829	0.442	0.333	1.266	0.559	0.795	0.569	0.434
2.33847	0.642	0.674	0.368	0.684	0.475	0.756	0.389	0.933	0.545	0.67	0.426	0.654	0.694	0.644	0.471	0.92	0.643	0.8	0.476	0.594	0.501	0.532	0.584	0.762	0.606	0.263	0.478	0.359	0.505	0.658	0.816	0.684	0.443	0.098	0.5	0.327	0.46	0.81	0.575	0.278	0.955	0.459	0.375	1.226	0.524	0.75	0.611	0.251
2.50502	0.653	0.627	0.405	0.751	0.543	0.507	0.514	0.798	0.643	0.711	0.466	0.752	0.875	0.596	0.451	0.929	0.74	0.846	0.603	0.637	0.628	0.598	0.513	0.887	0.561	0.313	0.378	0.313	0.609	0.641	0.688	0.675	0.542	0.289	0.546	0.312	0.557	0.79	0.643	0.403	0.852	0.501	0.414	1.269	0.571	0.817	0.65	0.463
2.67184	0.753	0.641	0.505	0.822	0.472	0.52	0.528	0.782	0.657	0.697	0.452	0.766	0.661	0.609	0.436	0.942	0.611	0.948	0.532	0.652	0.557	0.755	0.529	0.787	0.661	0.302	0.393	0.242	0.569	0.627	0.731	0.663	0.5	0.221	0.648	0.327	0.514	0.774	0.629	0.246	0.865	0.46	0.457	1.284	0.531	0.83	0.664	0.393
2.83844	0.727	0.559	0.566	0.797	0.532	0.554	0.531	0.845	0.659	0.756	0.512	0.654	0.693	0.585	0.412	0.947	0.671	0.833	0.563	0.625	0.445	0.644	0.501	0.847	0.607	0.27	0.509	0.273	0.624	0.63	0.875	0.547	0.473	0.189	0.618	0.443	0.545	0.922	0.546	0.334	0.898	0.432	0.317	1.114	0.557	0.806	0.639	0.252
3.00507	0.61	0.556	0.533	0.851	0.614	0.578	0.385	0.811	0.686	0.725	0.481	0.681	0.804	0.78	0.465	0.942	0.668	0.862	0.532	0.624	0.529	0.697	0.614	0.815	0.804	0.331	0.45	0.413	0.541	0.656	0.817	0.606	0.5	0.221	0.676	0.413	0.485	0.803	0.657	0.274	0.865	0.431	0.428	1.227	0.645	0.83	0.664	0.307
3.17181	0.753	0.756	0.59	0.679	0.443	0.606	0.442	0.782	0.6	0.725	0.623	0.681	0.661	0.609	0.465	0.885	0.668	0.862	0.618	0.624	0.443	0.612	0.843	0.873	0.661	0.216	0.393	0.242	0.569	0.656	0.874	0.577	0.5	0.049	0.476	0.242	0.485	0.803	0.629	0.246	1.123	0.374	0.428	1.227	0.531	0.802	0.693	0.221
3.33848	0.753	0.727	0.619	0.736	0.443	0.606	0.528	0.897	0.6	0.725	0.623	0.509	0.661	0.552	0.465	0.771	0.668	0.919	0.618	0.624	0.443	0.669	0.529	0.815	0.661	0.245	0.393	0.213	0.484	0.627	0.731	0.606	0.5	0.164	0.562	0.299	0.485	0.803	0.543	0.274	0.922	0.345	0.428	1.113	0.588	0.887	0.693	0.278
3.50522	0.787	0.79	0.738	0.712	0.563	0.695	0.59	0.899	0.635	0.76	0.659	0.687	0.751	0.669	0.382	0.888	0.644	0.873	0.654	0.574	0.478	0.616	0.48	0.849	0.61	0.259	0.429	0.247	0.61	0.662	0.739	0.561	0.507	0.005	0.544	0.335	0.462	0.835	0.577	0.28	0.87	0.382	0.376	1.063	0.686	0.834	0.64	0.314
3.67184	0.701	0.618	0.738	0.77	0.505	0.724	0.562	0.813	0.807	0.817	0.773	0.716	0.694	0.669	0.411	0.831	0.788	0.987	0.797	0.488	0.507	0.73	0.509	0.734	0.696	0.202	0.487	0.276	0.61	0.605	0.681	0.647	0.45	0.091	0.515	0.249	0.519	0.749	0.577	0.28	0.87	0.382	0.462	1.177	0.542	0.863	0.726	0.257
3.83858	0.899	0.7	0.734	0.737	0.617	0.633	0.587	0.779	0.805	0.758	0.714	0.657	0.719	0.521	0.521	0.913	0.756	1.017	0.767	0.516	0.448	0.64	0.709	0.702	0.779	0.205	0.457	0.387	0.555	0.717	0.766	0.677	0.477	0.065	0.573	0.219	0.573	0.945	0.603	0.334	0.924	0.352	0.401	1.262	0.602	0.888	0.752	0.197
4.00525	0.701	0.79	0.709	0.684	0.563	0.609	0.562	0.756	0.693	0.817	0.745	0.601	0.58	0.641	0.411	0.745	0.644	0.901	0.625	0.431	0.392	0.501	0.566	0.734	0.581	0.116	0.487	0.333	0.61	0.519	0.825	0.561	0.45	0.005	0.429	0.278	0.433	0.835	0.52	0.308	0.87	0.324	0.404	1.149	0.714	0.92	0.698	0.343
4.17194	0.75	0.81	0.814	0.617	0.697	0.456	0.496	0.717	0.799	0.752	0.851	0.565	0.714	0.659	0.43	0.706	0.722	1.01	0.732	0.538	0.528	0.463	0.674	0.783	0.687	0.198	0.422	0.353	0.52	0.453	0.789	0.556	0.443	0.029	0.481	0.184	0.539	0.911	0.597	0.3	0.889	0.26	0.424	1.199	0.738	0.997	0.718	0.335
4.33854	0.825	0.798	0.831	0.72	0.542	0.672	0.513	0.646	0.731	0.884	0.812	0.553	0.616	0.503	0.503	0.751	0.825	1.174	0.779	0.557	0.431	0.536	0.549	0.627	0.619	0.162	0.354	0.456	0.626	0.613	0.864	0.576	0.489	0.079	0.414	0.317	0.585	1.013	0.528	0.317	0.82	0.249	0.355	1.274	0.673	0.956	0.648	0.267
4.5052	0.827	0.973	0.72	0.695	0.689	0.534	0.487	0.652	0.791	0.858	0.929	0.556	0.677	0.594	0.565	0.727	0.713	1.173	0.723	0.529	0.49	0.455	0.664	0.66	0.679	0.216	0.442	0.43	0.509	0.616	0.694	0.66	0.434	0.134	0.528	0.376	0.53	0.846	0.674	0.32	0.824	0.308	0.387	1.276	0.642	0.989	0.652	0.269
4.67192	0.739	0.97	0.746	0.52	0.686	0.445	0.513	0.821	0.788	0.74	0.868	0.438	0.76	0.505	0.39	0.811	0.653	1.255	0.72	0.44	0.43	0.538	0.661	0.686	0.504	0.126	0.439	0.456	0.592	0.527	0.834	0.571	0.459	0.13	0.439	0.287	0.47	0.929	0.586	0.374	0.821	0.334	0.384	1.187	0.725	1.072	0.649	0.18
4.83869	0.739	0.97	0.746	0.463	0.887	0.531	0.513	0.707	0.816	0.941	1.012	0.524	0.674	0.505	0.505	0.753	0.653	1.227	0.835	0.526	0.487	0.509	0.805	0.686	0.619	0.212	0.496	0.542	0.592	0.527	0.777	0.714	0.431	0.044	0.554	0.344	0.528	0.986	0.7	0.374	0.821	0.334	0.413	1.244	0.725	1.101	0.706	0.237
5.00525	0.65	0.967	0.828	0.659	0.884	0.469	0.51	0.787	0.987	0.795	0.809	0.55	0.555	0.5	0.443	0.777	0.65	1.171	0.833	0.611	0.456	0.476	0.603	0.711	0.53	0.215	0.437	0.54	0.393	0.725	0.804	0.688	0.458	0.047	0.497	0.314	0.496	0.867	0.554	0.314	0.903	0.332	0.41	1.3	0.842	1.183	0.646	0.177
5.17198	0.721	1.068	0.9	0.559	1.042	0.714	0.524	0.631	0.886	0.838	0.851	0.622	0.599	0.573	0.487	0.764	0.664	1.326	0.761	0.538	0.499	0.577	0.616	0.754	0.63	0.284	0.422	0.525	0.606	0.625	0.875	0.47	0.529	0.116	0.481	0.356	0.568	0.854	0.54	0.3	0.889	0.346	0.395	1.285	0.796	1.255	0.718	0.249
5.33868	0.796	1.228	0.832	0.692	1.116	0.531	0.513	0.907	0.988	0.769	0.926	0.639	0.703	0.505	0.505	0.753	0.567	1.399	0.978	0.584	0.516	0.509	0.891	0.6	0.447	0.212	0.41	0.686	0.592	0.585	0.748	0.628	0.373	0.102	0.353	0.258	0.528	0.929	0.672	0.374	0.964	0.305	0.413	1.33	0.811	1.187	0.706	0.323
5.50527	0.747	1.18	1.012	0.757	1.097	0.565	0.55	0.855	0.941	0.778	0.965	0.591	0.739	0.626	0.454	0.73	0.69	1.472	0.932	0.623	0.468	0.544	0.702	0.808	0.627	0.23	0.392	0.637	0.665	0.622	0.73	0.529	0.498	0.147	0.481	0.413	0.507	0.935	0.651	0.354	1.029	0.373	0.363	1.37	0.827	1.367	0.772	0.362
5.67201	0.73	1.364	0.937	0.625	1.223	0.55	0.504	0.782	0.837	0.789	1.033	0.659	0.722	0.667	0.495	0.714	0.644	1.451	0.914	0.691	0.68	0.586	0.54	0.705	0.553	0.208	0.374	0.649	0.53	0.461	0.769	0.48	0.394	0.126	0.462	0.366	0.49	0.948	0.692	0.394	0.754	0.441	0.433	1.294	0.806	1.35	0.726	0.344
5.83865	0.69	1.381	0.954	0.67	1.241	0.479	0.464	0.682	0.941	0.951	1.137	0.677	0.739	0.453	0.54	0.759	0.69	1.615	0.932	0.71	0.698	0.602	0.76	0.693	0.541	0.316	0.536	0.724	0.579	0.564	0.874	0.586	0.383	0.147	0.51	0.384	0.507	0.964	0.537	0.44	0.943	0.431	0.421	1.312	0.769	1.309	0.657	0.362
6.00531	0.644	1.45	1.024	0.797	1.51	0.377	0.619	0.839	0.923	0.847	1.061	0.717	0.779	0.667	0.495	0.829	0.644	1.709	1.028	0.72	0.709	0.471	0.626	0.762	0.639	0.208	0.517	0.62	0.53	0.519	0.798	0.509	0.48	0.126	0.404	0.308	0.461	1.005	0.548	0.48	0.926	0.498	0.433	1.351	0.806	1.522	0.669	0.43
6.17207	0.658	1.522	1.009	0.811	1.525	0.563	0.547	0.737	0.852	0.804	1.163	0.847	0.793	0.623	0.508	0.785	0.6	1.727	1.015	0.793	0.695	0.599	0.699	0.891	0.625	0.255	0.446	0.749	0.662	0.475	0.871	0.439	0.553	0.23	0.593	0.41	0.562	0.932	0.62	0.437	0.912	0.428	0.332	1.395	0.823	1.565	0.683	0.301
6.33876	0.75	1.701	1.101	0.731	1.474	0.482	0.466	0.771	0.829	0.896	1.083	0.939	0.742	0.6	0.514	0.762	0.664	1.935	1.05	0.799	0.701	0.576	0.705	0.696	0.573	0.262	0.395	0.813	0.554	0.539	0.733	0.446	0.501	0.179	0.571	0.473	0.51	0.88	0.654	0.357	0.86	0.434	0.452	1.373	0.772	1.657	0.688	0.393
6.50537	0.644	1.796	1.138	0.854	1.627	0.518	0.647	0.808	0.838	0.79	1.264	0.89	0.894	0.694	0.464	0.741	0.615	2.032	1.145	0.895	0.739	0.555	0.628	0.733	0.668	0.33	0.375	0.851	0.65	0.547	0.828	0.456	0.597	0.19	0.609	0.511	0.518	0.975	0.663	0.423	0.954	0.529	0.346	1.382	0.927	1.925	0.754	0.546
6.67213	0.635	2.046	1.273	0.932	1.56	0.683	0.553	0.886	0.743	0.81	1.169	0.939	0.828	0.6	0.428	0.762	0.434	2.165	1.194	0.971	0.787	0.547	0.446	0.782	0.573	0.406	0.366	0.813	0.582	0.395	0.733	0.503	0.473	0.237	0.513	0.559	0.424	0.967	0.654	0.414	1.032	0.434	0.366	1.402	0.945	2.002	0.775	0.537
6.83866	0.566	2.033	1.463	0.834	1.806	0.586	0.426	0.675	0.76	0.884	1.329	0.956	0.874	0.79	0.618	0.78	0.423	2.409	1.267	0.959	0.862	0.536	0.693	0.713	0.619	0.305	0.383	0.887	0.569	0.527	0.778	0.404	0.576	0.223	0.471	0.461	0.556	1.128	0.614	0.432	0.992	0.421	0.326	1.389	0.931	2.076	0.735	0.525
7.00544	0.644	2.141	1.34	1.055	2.144	0.605	0.647	0.779	0.867	0.819	1.437	1.034	0.836	0.636	0.436	0.741	0.586	2.377	1.232	1.096	0.883	0.613	0.772	0.733	0.668	0.359	0.404	0.994	0.593	0.576	0.915	0.456	0.654	0.161	0.523	0.511	0.49	1.147	0.721	0.596	1.127	0.529	0.432	1.468	0.927	2.27	0.869	0.489
7.17209	0.555	2.253	1.48	1.053	2.17	0.66	0.616	0.892	0.835	0.787	1.52	1.146	1.064	0.691	0.606	0.767	0.784	2.719	1.372	0.978	0.966	0.61	0.654	0.788	0.751	0.327	0.401	1.02	0.503	0.544	0.912	0.51	0.651	0.158	0.491	0.594	0.429	1.202	0.545	0.449	1.095	0.555	0.458	1.465	1.096	2.44	0.694	0.658
7.33873	0.747	2.445	1.5	1.274	2.132	0.565	0.464	0.855	0.855	0.807	1.683	1.137	1.084	0.769	0.454	0.874	0.488	2.679	1.478	1.083	0.957	0.659	0.558	0.894	0.714	0.345	0.536	0.982	0.493	0.536	0.874	0.5	0.556	0.348	0.424	0.47	0.421	1.136	0.623	0.526	0.943	0.546	0.421	1.485	0.999	2.517	0.657	0.707
7.50536	0.736	2.605	1.575	1.205	2.32	0.727	0.682	0.787	0.843	0.853	1.671	1.211	1.072	0.615	0.587	0.777	0.506	3.009	1.465	1.214	1.06	0.648	0.689	0.94	0.817	0.417	0.523	1.085	0.565	0.467	0.804	0.429	0.802	0.219	0.583	0.63	0.496	1.212	0.611	0.572	1.018	0.591	0.41	1.559	1.014	2.763	0.732	0.694
7.67211	0.652	2.838	1.635	1.294	2.323	0.73	0.685	0.933	0.846	0.942	1.789	1.272	1.133	0.704	0.532	0.837	0.566	3.041	1.641	1.332	0.976	0.766	0.549	0.771	0.791	0.42	0.469	1.06	0.655	0.556	0.893	0.519	0.662	0.309	0.558	0.576	0.47	1.301	0.614	0.575	1.078	0.594	0.412	1.562	1.247	2.766	0.821	0.64
7.83877	0.624	2.924	1.894	1.352	2.783	0.558	0.541	0.876	0.904	0.798	1.703	1.358	1.075	0.704	0.503	0.866	0.652	3.271	1.727	1.39	1.206	0.68	0.606	0.972	0.705	0.391	0.354	1.232	0.483	0.47	0.721	0.433	0.662	0.309	0.558	0.547	0.499	1.214	0.7	0.661	0.992	0.709	0.412	1.476	1.333	3.111	0.648	0.784
8.00545	0.664	3.306	1.905	1.363	2.677	0.829	0.582	0.86	0.713	0.867	1.913	1.54	1.115	0.688	0.602	1.022	0.664	3.535	1.88	1.37	1.188	0.721	0.702	0.869	0.774	0.456	0.336	1.242	0.462	0.51	0.932	0.47	0.701	0.23	0.538	0.643	0.453	1.284	0.626	0.644	1.061	0.69	0.395	1.543	1.513	3.292	0.746	0.88
8.17211	0.693	3.598	2.136	1.536	3.084	0.597	0.639	0.944	0.916	0.896	2.06	1.543	1.374	0.686	0.543	0.934	0.779	3.833	2.027	1.575	1.334	0.835	0.734	0.897	0.832	0.521	0.539	1.244	0.582	0.539	0.905	0.446	0.731	0.323	0.571	0.588	0.424	1.283	0.654	0.788	1.176	0.779	0.366	1.459	1.635	3.526	0.746	0.825
8.33881	0.655	3.697	2.326	1.497	2.954	0.821	0.602	0.996	0.791	0.858	2.362	1.502	1.307	0.737	0.393	0.842	0.627	3.925	1.956	1.533	1.264	0.713	0.607	1.004	0.851	0.445	0.499	1.377	0.624	0.415	0.837	0.46	0.749	0.306	0.729	0.691	0.444	1.247	0.76	0.664	1.168	0.681	0.387	1.505	1.502	3.483	0.652	0.928
8.5056	0.549	3.851	2.507	1.621	3.366	0.714	0.438	0.946	0.742	0.781	2.429	1.77	1.431	0.659	0.43	0.907	0.578	4.396	2.224	1.657	1.388	0.721	0.674	0.955	0.888	0.485	0.422	1.501	0.548	0.625	0.932	0.498	0.787	0.374	0.653	0.729	0.539	1.427	0.626	0.644	1.148	0.69	0.338	1.629	1.771	3.923	0.832	0.966
8.67229	0.661	3.991	2.533	1.647	3.448	0.826	0.607	1.03	0.796	0.749	2.656	1.795	1.485	0.829	0.484	0.905	0.575	4.65	2.393	1.654	1.5	0.919	0.785	0.952	0.857	0.538	0.419	1.411	0.545	0.679	1.13	0.495	0.87	0.485	0.477	0.812	0.393	1.367	0.68	0.756	1.173	0.802	0.393	1.769	1.767	4.15	0.657	0.963
8.839	0.827	4.328	2.698	1.813	3.441	0.849	0.659	1.024	0.791	0.829	2.534	1.817	1.336	0.823	0.393	0.756	0.57	4.929	2.415	1.906	1.637	0.799	0.722	1.032	0.937	0.56	0.499	1.491	0.624	0.673	0.923	0.488	0.835	0.449	0.614	0.806	0.473	1.448	0.588	0.807	1.311	0.795	0.387	1.763	2.104	4.315	0.738	1.1
9.00566	0.713	4.414	2.985	2.071	3.757	0.821	0.516	1.197	0.791	0.858	2.907	2.047	1.566	0.995	0.508	1.014	0.57	5.187	2.673	1.992	1.58	0.827	0.492	0.86	0.966	0.56	0.442	1.749	0.624	0.587	0.923	0.402	0.921	0.449	0.557	1.035	0.616	1.505	0.531	0.807	1.254	0.824	0.301	1.82	2.162	4.515	0.824	1.043
9.17225	0.664	4.826	2.995	1.994	3.911	0.829	0.61	1.004	0.886	0.752	3.061	2.143	1.603	0.946	0.43	0.907	0.664	5.515	2.913	2.174	1.647	0.836	0.674	1.041	1.06	0.657	0.422	1.73	0.606	0.51	0.846	0.47	0.959	0.46	0.567	0.902	0.453	1.513	0.683	0.845	1.434	0.805	0.395	1.773	2.345	5.014	0.746	1.282
9.33888	0.647	5.205	3.463	2.148	3.804	0.755	0.507	0.931	0.81	0.734	3.327	2.295	1.729	0.729	0.499	0.977	0.705	5.661	2.978	2.354	1.742	0.962	0.856	1.024	1.043	0.692	0.404	1.74	0.528	0.665	1.028	0.478	0.912	0.553	0.69	0.854	0.436	1.583	0.608	0.913	1.388	0.815	0.321	1.84	2.58	4.82	0.701	1.177
9.50563	0.684	5.494	3.582	2.269	4.036	0.794	0.487	1.055	0.789	0.828	3.56	2.215	1.622	0.882	0.538	0.987	0.628	6.261	3.068	2.502	1.891	0.886	0.69	1.004	1.079	0.667	0.325	1.804	0.59	0.587	0.835	0.54	0.976	0.528	0.581	1.004	0.416	1.734	0.588	0.892	1.368	0.85	0.302	1.817	2.983	5.539	0.795	1.183
