	MG1655-1	COUM2-4_1	COUM4-2_1	COUM7-6_1	COUM8-6_1	nadR-1	mprA-1	yhjK-1	MG1655-2	COUM2-4_2	COUM4-2_2	COUM7-6_2	COUM8-6_2	nadR-2	mprA-2	yhjK-2	MG1655-3	COUM2-4_3	COUM4-2_3	COUM7-6_3	COUM8-6_3	nadR-3	mprA-3	yhjK-3	ypjA-1	nadR_mprA-1	nadR_yhjK-1	mprA_yhjK-1	ypjA_mprA-1	nadR_mprA_yhjK-1	ypjA_mprA_nadR-1	ypjA_mprA_yhjK-1	ypjA-2	nadR_mprA-2	nadR_yhjK-2	mprA_yhjK-2	ypjA_mprA-2	nadR_mprA_yhjK-2	ypjA_mprA_nadR-2	ypjA_mprA_yhjK-2	ypjA-3	nadR_mprA-3	nadR_yhjK-3	mprA_yhjK-3	ypjA_mprA-3	nadR_mprA_yhjK-3	ypjA_mprA_nadR-3	ypjA_mprA_yhjK-3
10.8387	0.845	10.82	16.137	15.578	2.074	0.735	1.73	1.152	0.754	14.658	17.907	16.924	4.3	0.58	0.982	1.22	0.738	13.07	18.768	16.302	1.198	0.831	3.151	1.19	0.524	3.154	1.074	1.045	2.419	1.193	2.062	1.091	0.692	1.388	1.422	1.95	2.592	1.098	5.201	0.908	0.194	2.044	1.277	1.943	1.77	0.986	1.389	0.748
11.00557	0.916	10.855	17.395	16.073	2.172	1.378	1.72	1.25	0.798	14.827	18.101	17.473	4.777	0.57	0.998	1.155	0.509	13.512	19.206	15.788	1.297	0.848	2.909	1.178	0.512	3.604	1.116	0.952	2.488	1.345	2.214	1.16	0.653	1.593	1.328	2.019	2.661	1.14	5.35	1.222	0.184	2.168	1.266	2.148	1.866	0.975	1.404	0.818
11.17217	0.82	12.055	17.665	15.392	2.402	0.712	1.733	1.344	0.73	15.317	19.459	17.824	5.277	0.692	1.067	1.142	0.631	14.003	19.528	15.596	1.501	0.807	2.744	1.328	0.389	3.831	1.184	1.048	2.636	1.467	2.307	1.199	2.543	1.578	1.26	2.112	2.727	1.152	5.821	1.097	0.17	2.179	1.279	2.296	2.15	0.825	1.443	0.83
11.3388	1.015	12.11	18.056	15.752	2.707	0.795	2.008	1.294	0.596	15.759	20.263	18.053	5.67	0.722	1.178	1.089	0.58	14.634	20.417	16.068	1.476	0.864	2.59	1.522	0.503	4.197	1.461	1.159	2.861	1.607	2.531	1.396	0.534	1.803	1.455	2.283	2.844	1.349	6.353	1.133	0.282	2.378	1.31	2.412	2.43	0.91	1.586	0.863
11.5054	0.861	11.917	18.593	15.991	3.152	0.97	2.101	1.604	0.743	15.835	20.225	18.235	6.465	0.706	1.243	1.237	0.509	14.683	21.03	16.06	1.596	0.875	2.855	1.424	0.485	4.856	1.307	1.224	2.978	1.671	2.731	1.242	1.007	1.838	1.601	2.373	3.097	1.494	6.602	1.141	0.211	2.685	1.429	2.611	3.146	0.975	1.622	0.981
11.67203	0.758	12.366	18.98	15.593	3.073	0.677	2.215	1.661	0.776	16.47	21.452	18.513	6.843	0.847	1.222	1.351	0.487	15.318	21.574	16.176	1.819	0.908	3.188	1.537	0.543	4.527	1.365	1.338	3.17	1.893	2.951	1.462	0.658	2.003	1.822	2.511	3.207	1.469	6.952	1.414	0.19	2.849	1.515	2.83	2.874	1.034	1.76	0.902
11.83878	0.902	12.735	20.412	15.882	3.599	0.929	2.386	1.833	0.702	16.46	21.771	18.912	7.616	0.937	1.284	1.359	0.74	15.553	22.275	17.01	1.936	0.834	3.206	1.409	0.498	5.517	1.455	1.347	3.425	1.983	3.15	1.716	1.156	1.986	1.885	2.819	3.57	2.022	7.371	1.288	0.252	3.185	1.497	2.949	2.667	0.988	1.769	1.047
12.00559	0.818	13.138	20.27	16.067	4.004	0.872	2.41	2.021	0.7	16.862	23.613	19.232	8.619	0.771	1.554	1.384	0.737	15.819	22.404	16.759	2.205	1.076	2.955	1.624	0.576	5.405	1.67	1.453	3.721	2.035	3.392	1.713	0.582	2.336	2.045	3.197	3.648	1.801	7.857	1.366	0.249	3.291	1.738	3.353	2.99	1.066	2.065	1.071
12.1722	0.818	13.274	21.358	16.203	4.411	0.872	2.655	2.184	0.808	16.862	23.885	19.558	9.244	0.88	1.472	1.493	0.737	16.091	24.144	17.439	2.504	0.94	3.173	1.624	0.549	5.514	1.588	1.67	4.074	2.225	3.718	1.713	0.664	2.472	2.154	3.36	4.274	1.965	8.455	1.529	0.331	3.699	1.602	3.598	3.153	1.202	2.065	1.044
12.33882	1.171	13.709	21.521	16.475	4.847	0.845	2.9	2.102	0.7	17.379	23.804	19.694	9.951	0.771	1.581	1.493	0.574	16.553	24.498	17.521	2.45	0.995	2.928	1.733	0.576	6.058	1.616	1.67	4.074	2.388	3.718	1.876	0.637	2.581	2.154	3.36	4.22	2.101	8.455	1.611	0.304	3.78	1.766	3.598	3.425	1.284	2.174	1.071
12.50549	0.774	14.356	22.146	17.069	5.214	0.937	3.102	2.305	0.738	17.429	24.893	20.182	10.731	0.972	1.673	1.503	0.803	16.658	25.643	17.709	2.87	1.115	3.142	1.826	0.643	6.672	1.791	1.872	4.387	2.455	4.194	1.998	0.675	2.648	2.33	3.646	4.533	2.631	9.098	1.787	0.206	4.039	1.859	4.074	3.602	1.35	2.35	1.084
12.67217	1.084	14.649	22.704	16.898	5.927	0.867	3.112	2.504	0.857	17.53	24.795	19.98	11.301	0.792	1.738	1.868	0.868	16.732	25.135	17.807	3.178	1.017	3.433	1.836	0.38	6.892	1.909	1.964	4.53	2.763	4.337	2.06	0.74	2.955	2.229	4.114	4.865	2.502	9.425	1.849	0.298	4.616	1.896	4.189	3.69	1.496	2.548	1.147
12.83887	0.933	15.163	22.963	17.36	6.441	1.231	3.371	2.712	0.841	17.722	25.142	20.398	12.375	0.722	1.778	1.743	0.743	17.196	25.541	18.494	3.439	1.137	3.572	1.958	0.748	7.604	2.061	2.14	5.151	3.052	4.903	2.241	0.779	3.193	2.573	4.3	5.215	2.739	9.733	2.223	0.363	4.858	2.183	4.566	4.393	1.537	2.84	1.408
13.00553	1.481	15.305	23.651	17.557	7.127	0.797	3.565	2.988	0.898	17.864	26.131	21.004	12.489	1.079	2.026	1.855	0.746	17.393	26.83	18.773	3.906	1.194	3.687	2.125	0.669	7.69	2.146	2.307	5.236	3.164	4.988	2.408	0.755	3.36	2.903	4.413	5.655	2.961	10.31	2.227	0.203	5.108	2.322	4.651	4.697	1.649	2.952	1.357
13.17218	1.028	15.435	24.018	18.012	7.675	0.891	4.037	3.077	0.882	17.937	26.358	20.583	13.549	1.117	2.09	1.975	0.675	17.439	26.456	18.953	4.431	1.123	3.623	2.243	0.57	8.073	2.508	2.534	5.459	3.608	5.321	2.552	0.901	3.747	3.074	4.609	5.878	3.267	10.5	2.614	0.186	5.33	2.331	5.065	4.756	1.686	3.068	1.501
13.33891	3.15	15.917	24.674	18.142	8.58	0.912	4.335	3.403	0.986	18.367	26.746	21.181	13.59	0.894	2.168	2.188	0.67	17.487	27.501	19.25	4.867	1.2	3.672	2.295	0.784	8.326	2.643	2.64	6.007	3.661	5.923	2.769	0.761	3.994	3.264	5.129	6.29	4.304	10.81	2.561	0.344	5.552	2.41	5.177	5.031	1.873	3.205	1.691
13.50559	3.171	16.396	25.069	18.43	9.608	0.906	4.492	3.424	0.844	18.3	27.549	21.386	14.098	1.052	2.271	2.1	0.774	17.938	27.648	19.564	5.487	1.303	3.523	2.507	0.669	9.081	2.691	2.88	6.654	3.873	6.161	3.008	0.837	4.014	3.421	5.231	6.855	3.724	10.692	2.718	0.339	6.362	2.649	5.333	5.324	2.058	3.525	1.657
13.67226	1.015	16.69	25.116	18.56	9.821	0.904	4.871	3.857	0.759	18.703	28.141	21.488	14.229	1.24	2.459	2.506	0.743	17.932	27.531	20.021	5.974	1.382	3.817	2.694	0.748	9.322	2.933	3.285	6.895	4.251	6.239	3.305	0.943	4.447	3.636	5.718	7.342	4.021	11.178	2.905	0.363	6.358	2.728	5.765	6.219	2.137	4.475	1.763
13.8389	0.946	16.878	26.06	19.074	10.589	1.136	5.181	4.003	0.828	18.7	28.21	22.026	14.747	1.144	2.608	2.247	0.675	18.337	27.954	19.96	6.446	1.422	3.868	2.815	0.679	9.38	2.998	3.297	7.066	4.479	6.928	3.396	1.092	4.837	3.728	5.835	7.321	4.765	11.181	3.186	0.214	6.991	2.903	5.855	5.982	2.339	3.831	1.747
14.00556	1.099	16.696	26.705	18.893	11.298	1.261	5.446	4.269	0.926	18.982	28.83	21.577	15.624	1.325	2.625	2.537	0.746	18.347	28.793	20.109	6.823	1.467	4.259	2.943	0.669	10.117	3.1	3.697	7.581	4.882	7.306	3.799	0.918	5.05	3.993	6.049	7.945	4.76	11.128	3.372	0.366	7.234	3.331	6.096	6.087	2.358	4.343	1.902
14.17227	0.933	17.017	26.615	19.841	11.702	1.122	5.852	4.456	0.977	19.03	28.904	22.306	16.082	1.131	3.031	2.697	0.607	18.614	29.439	20.648	8.155	1.6	4.335	3.185	0.748	10.521	3.342	3.721	8.067	5.287	7.492	3.904	1.079	5.373	4.344	6.29	8.077	4.947	11.178	3.532	0.282	7.721	3.327	6.038	6.492	2.627	4.557	2.063
14.33889	1.342	16.908	27.542	19.677	11.975	1.149	5.879	4.947	1.059	19.357	29.476	22.497	16.6	1.513	3.222	2.779	0.662	18.559	29.875	20.838	8.564	1.6	4.199	3.267	0.694	10.521	3.533	4.103	8.367	5.451	8.147	3.986	1.188	5.591	4.453	6.617	8.486	5.165	11.014	3.804	0.445	7.83	3.546	6.174	6.955	2.954	4.775	2.144
14.50565	0.87	17.407	27.764	19.931	12.723	1.114	6.604	5.018	1.051	19.366	29.533	22.912	18.081	1.477	3.267	2.934	0.817	18.758	29.577	21.036	9.396	1.701	4.344	3.448	0.739	10.506	3.768	4.366	8.763	5.685	8.597	4.411	0.934	5.934	4.742	6.768	9.263	5.399	11.163	4.011	0.328	8.334	3.672	6.271	7.488	2.999	5.091	2.38
14.67235	0.936	17.323	28.177	19.684	13.261	1.234	6.81	5.196	1.144	19.636	30.084	23.076	18.324	1.57	3.634	3.109	0.91	18.947	30.647	21.309	9.876	1.876	4.859	3.597	0.778	10.635	4.081	4.379	8.971	6.109	8.614	4.671	0.864	6.277	5.193	6.839	9.309	6.423	11.019	4.299	0.421	8.597	3.794	6.287	7.832	3.367	6.987	2.475
14.83896	0.992	17.568	28.269	20.144	13.379	1.318	7.457	5.517	1.119	19.987	30.826	22.931	19.575	1.408	3.823	3.109	0.993	18.999	30.814	21.165	10.735	1.931	4.938	3.894	0.751	10.754	4.295	4.73	9.721	6.183	9.338	4.801	0.838	6.731	5.323	6.721	9.431	6.033	11.085	4.482	0.342	8.747	4.145	6.415	7.956	3.446	5.589	2.553
15.00564	1.099	17.759	28.586	20.556	13.588	1.424	7.655	5.905	1.171	20.127	30.657	22.858	19.114	1.652	4.07	3.518	0.746	19.22	30.865	21.609	12.548	2.012	5.159	4.197	0.86	11.262	4.572	5.17	9.707	6.463	9.732	5.38	0.946	7.204	5.847	7.03	9.854	6.26	10.856	4.68	0.421	8.706	4.339	6.614	8.35	3.803	6.006	2.802
15.17225	1.135	17.969	28.746	20.494	14.531	1.487	8.185	6.435	1.207	20.255	30.791	23.588	20.251	1.606	4.217	3.664	0.836	19.648	31.819	21.875	12.236	2.048	5.287	4.371	0.842	10.868	4.774	5.289	10.212	6.802	9.909	5.473	1.009	7.38	5.832	7.097	10.468	6.572	10.624	5.047	0.429	8.965	4.514	6.135	8.199	4.059	6.454	2.976
15.339	1.342	18.298	30.023	20.877	14.646	2.512	8.55	6.746	1.086	20.23	31.82	23.587	20.389	1.976	4.776	3.869	0.771	19.595	31.729	21.765	12.707	2.2	5.671	4.603	0.939	10.93	5.223	5.411	10.711	7.032	10.273	5.812	1.025	7.718	6.498	7.108	10.585	7.128	10.633	5.276	0.282	9.465	4.827	6.256	8.945	4.317	6.738	2.989
15.50577	1.059	18.172	29.527	21.08	16.016	1.738	9.312	7.125	1.185	20.841	31.545	24.067	20.701	1.749	4.906	4.134	0.869	19.988	32.492	22.217	13.146	2.463	5.819	4.978	0.93	10.796	5.354	5.76	10.958	7.41	10.546	5.945	1.015	8.235	6.685	7.214	11.46	6.662	10.797	5.519	0.462	9.22	5.094	6.143	8.918	4.557	6.844	3.31
15.67235	2.597	18.519	29.77	21.209	16.879	1.665	9.133	7.301	1.275	20.697	32.499	23.57	21.485	1.949	5.407	4.335	0.85	20.145	32.219	22.402	13.407	2.5	5.92	5.235	0.966	10.81	5.748	6.263	10.918	7.341	10.642	6.121	1.051	8.33	6.916	7.063	10.737	6.948	10.429	5.886	0.388	9.671	5.487	6.318	9.15	4.677	7.649	3.512
15.83916	1.033	18.688	30.134	21.593	17.082	1.768	9.601	7.688	1.16	20.864	32.394	23.838	21.241	2.076	5.283	4.486	0.98	20.393	32.492	22.779	14.517	2.681	6.087	5.627	0.984	10.779	5.893	6.463	11.188	7.292	10.613	6.4	1.261	8.767	7.467	7.177	11.17	6.707	10.264	5.836	0.41	10.023	5.769	6.353	9.041	4.961	7.515	3.687
16.00574	1.141	18.718	30.891	21.516	17.817	1.793	9.557	8.053	1.185	21.278	33.264	24.203	21.793	2.185	5.752	4.844	0.924	20.316	32.656	22.353	13.992	2.654	6.637	5.742	0.93	10.959	6.282	6.525	11.449	7.219	10.901	6.682	1.124	9.135	7.668	7.133	11.514	7.072	10.47	6.365	0.38	9.52	5.912	6.525	9.3	5.294	7.991	3.938
16.17236	1.471	19.188	31.254	21.769	18.342	1.877	10.38	8.412	1.379	21.367	33.218	24.456	22.727	2.297	6.192	5.093	0.954	20.65	33.702	22.961	14.734	3.203	6.835	6.074	1.015	10.801	6.832	6.747	11.563	7.223	11.069	6.823	1.1	9.522	7.863	7.191	11.465	7.021	10.502	6.369	0.437	9.525	6.298	6.775	9.714	5.68	7.995	4.215
16.33911	3.928	19.352	31.364	21.96	18.915	1.877	10.708	8.576	1.379	21.694	33.437	24.238	22.7	2.625	6.438	5.147	0.927	20.677	33.565	22.934	15.662	3.285	7.381	6.237	1.178	10.801	6.75	6.747	11.7	7.223	11.069	7.096	1.427	9.932	8.218	7.464	11.219	7.158	10.42	6.833	0.464	9.607	6.708	6.775	9.496	5.789	8.541	4.351
16.50575	3.072	19.251	31.393	21.94	19.414	1.951	11.104	8.672	1.425	21.756	34.31	24.87	23.061	2.588	7.108	5.573	0.918	20.957	34.301	23.021	16.3	3.276	7.688	6.717	1.196	10.786	7.174	6.762	11.712	7.047	10.973	7.165	1.336	9.89	8.75	7.424	11.123	6.736	10.624	6.766	0.511	9.484	6.614	6.926	9.536	5.859	8.964	4.613
16.67248	3.662	19.558	31.694	22.083	20.186	2.242	11.008	9.095	1.58	22.063	33.928	24.712	23.176	2.852	7.451	5.999	0.91	21.21	34.764	23.735	16.965	3.43	8.131	6.896	1.187	10.526	7.707	6.805	11.752	7.145	11.368	7.37	1.273	10.285	8.737	7.603	10.835	7.05	10.365	6.889	0.53	9.579	6.93	7.023	9.468	6.175	8.868	4.819
16.83926	1.132	20.008	31.929	22.451	19.817	2.33	11.454	9.431	1.368	22.24	34.383	24.89	23.518	3.103	7.786	6.115	0.943	21.605	34.483	23.695	17.086	3.954	8.308	7.34	1.33	10.645	8.07	6.895	11.544	7.044	10.887	7.461	2.07	10.049	9.564	7.748	10.845	6.513	10.538	7.143	0.426	9.343	7.347	7.168	9.45	6.401	10.623	5.154
17.00583	1.65	19.817	33.102	22.315	20.772	2.357	11.536	9.84	1.749	22.404	34.656	25.19	23.981	3.131	7.868	6.525	0.997	21.551	34.783	23.832	17.822	3.709	8.718	7.559	1.275	10.89	8.37	6.922	11.217	7.044	11.187	7.379	1.442	10.049	9.237	7.748	10.927	6.813	10.783	7.252	0.508	9.261	7.51	7.168	9.613	6.483	9.505	5.509
17.17249	1.369	20.233	32.312	22.812	20.943	2.539	11.549	10.29	1.686	22.41	35.173	24.677	24.096	3.366	8.756	6.595	1.261	21.912	35.082	23.81	19.303	4.19	8.86	7.955	1.239	10.93	8.548	7.047	11.202	7.059	11.036	7.311	1.434	10.634	9.496	8.389	10.503	6.746	10.687	7.239	0.527	9.002	8.043	7.455	9.436	6.471	9.518	5.47
17.33901	1.381	20.506	32.947	22.54	21.46	2.633	11.868	10.363	1.671	23.011	35.156	25.28	24.316	3.352	8.882	7.047	1.164	22.049	35.638	24.03	19.41	4.476	9.57	8.217	1.415	10.977	9.111	7.09	10.949	7.157	10.728	7.492	1.746	10.463	9.814	8.297	10.14	7.009	10.897	7.42	0.511	9.266	8.224	7.499	9.127	6.487	9.455	5.758
17.5058	1.395	20.621	33.32	22.793	21.849	2.866	11.482	10.496	1.958	22.718	36.186	25.317	25.172	3.696	9.148	7.475	1.124	21.974	36.124	23.713	19.797	4.739	9.743	8.402	1.376	10.647	9.298	7.028	11.218	7.341	10.56	7.35	1.542	10.487	9.919	8.155	10.0	6.948	10.648	7.416	0.552	9.043	8.463	7.52	8.85	6.452	9.642	6.024
17.67258	1.844	20.976	34.039	22.984	22.122	3.343	12.183	10.788	1.888	23.074	35.923	25.457	25.037	3.846	9.575	7.573	1.217	22.412	36.983	24.18	20.205	4.917	10.21	8.857	1.552	10.83	9.589	7.043	10.828	7.521	10.497	7.504	1.855	10.343	10.512	8.282	10.073	7.129	10.585	7.434	0.535	9.143	8.508	7.673	8.922	6.44	9.88	6.341
17.83914	1.664	20.839	33.966	23.231	22.259	3.273	11.929	10.89	1.954	23.239	36.125	25.706	25.176	4.407	9.949	7.999	1.311	22.468	36.503	24.374	20.833	5.122	10.486	9.284	1.483	11.014	9.334	7.305	10.573	7.51	10.434	7.712	1.73	10.198	10.476	8.546	10.174	7.31	10.713	7.534	0.656	9.271	8.908	7.635	8.804	6.401	9.899	6.221
18.00586	1.376	21.133	34.439	23.497	22.225	3.777	11.987	10.62	2.131	23.149	36.651	25.367	25.057	4.253	10.445	8.252	1.214	22.432	37.109	24.391	21.046	5.733	10.803	9.59	1.686	10.743	9.995	7.367	10.85	7.571	10.356	7.445	1.688	10.529	10.507	8.524	9.741	7.453	10.744	7.375	0.56	9.084	9.296	7.751	8.453	6.136	10.094	6.665
18.17251	1.823	21.318	34.33	23.709	22.765	3.732	11.236	10.798	2.113	23.143	36.598	26.046	25.9	4.564	11.061	8.592	1.277	22.535	37.003	24.523	22.077	5.361	11.291	9.959	1.722	11.004	10.009	7.379	10.864	7.912	10.67	7.594	1.806	10.27	10.603	8.701	10.001	7.384	10.758	7.443	0.65	9.235	9.091	8.037	8.576	6.065	9.862	6.514
18.33924	1.58	21.481	35.103	23.407	22.573	3.652	11.281	10.678	2.362	23.387	37.122	26.148	26.085	4.563	10.941	8.668	1.418	22.807	38.069	24.708	21.831	5.66	11.667	10.086	1.779	10.801	10.135	7.593	10.799	7.988	10.305	7.805	2.355	10.477	10.647	8.966	10.045	7.677	11.13	7.598	0.601	9.334	9.055	7.894	8.704	6.28	9.742	6.671
18.50592	1.577	21.591	35.315	23.545	23.066	4.169	10.908	11.208	2.495	23.662	37.336	26.319	26.228	5.001	11.58	8.948	1.442	23.11	37.823	24.851	22.241	6.099	12.138	10.451	1.804	10.949	10.227	7.625	10.755	8.103	10.342	7.922	2.134	10.134	10.685	8.865	9.837	7.766	10.594	7.716	0.787	8.906	9.364	8.201	8.412	6.147	9.589	7.006
18.67262	1.553	21.563	35.595	23.816	23.719	4.17	11.145	11.087	2.416	23.605	37.777	26.312	26.794	5.409	11.515	9.597	1.445	22.998	38.151	24.544	22.596	5.988	12.322	10.004	1.861	11.21	10.544	7.702	10.717	8.151	10.305	8.106	2.082	9.986	10.347	8.884	9.827	7.977	10.748	8.007	0.546	9.361	9.574	8.33	8.213	6.362	9.469	6.726
18.83918	1.853	22.227	35.761	23.88	23.839	4.473	10.967	11.377	2.58	23.779	38.139	26.3	26.427	5.442	11.12	9.636	1.39	23.226	38.735	25.296	23.233	6.513	12.693	10.811	1.944	10.708	10.752	7.793	10.678	8.271	10.511	8.2	2.138	10.385	10.635	8.952	9.951	7.935	10.845	8.049	0.626	9.184	9.642	8.342	8.061	6.397	9.511	6.955
19.00591	1.516	21.933	35.897	23.859	24.418	4.709	10.981	10.925	2.708	23.757	38.246	26.276	26.759	5.541	11.898	9.704	1.381	23.259	38.404	24.999	22.993	6.584	12.833	10.688	2.017	11.103	10.464	8.136	10.691	8.341	10.087	8.105	2.046	10.261	10.703	9.157	10.019	8.085	10.831	7.953	0.891	9.553	9.437	8.493	8.294	6.44	10.262	7.052
19.17252	2.217	22.267	36.142	23.947	24.178	4.672	10.803	10.528	2.726	24.309	38.653	26.281	26.435	5.584	11.474	9.883	1.536	23.265	38.919	25.004	23.518	6.845	12.864	10.892	2.034	11.225	10.613	8.042	10.731	8.656	10.428	8.447	2.091	10.274	10.361	9.471	10.005	8.236	10.98	8.076	0.773	9.594	9.451	8.753	8.144	6.783	9.456	6.902
19.33927	2.005	22.144	36.844	23.961	24.438	5.143	10.867	10.756	2.732	24.16	38.755	26.87	27.243	5.865	11.866	10.192	1.706	23.334	39.404	24.828	23.368	6.744	12.825	11.366	2.041	11.153	10.869	8.296	10.823	8.637	10.164	8.456	2.289	10.092	9.961	9.234	10.096	8.6	10.771	8.194	0.806	9.357	9.515	8.653	8.207	6.846	8.919	6.911
19.50593	1.799	22.327	36.768	24.007	24.319	5.208	10.681	10.514	2.935	24.342	38.951	27.104	27.259	6.173	11.842	10.033	1.5	23.407	39.489	25.527	23.742	6.834	13.004	11.26	2.352	11.21	10.763	8.275	10.99	8.643	10.551	8.679	2.246	10.232	10.183	9.621	9.963	8.332	10.748	8.389	0.846	9.689	9.41	8.904	8.376	6.99	9.196	7.053
19.67265	2.263	22.473	37.484	24.126	25.069	5.376	10.803	10.475	2.991	24.408	39.561	26.764	27.712	6.181	11.995	10.565	1.773	23.773	39.31	25.542	23.807	7.115	13.24	11.249	2.355	11.2	10.642	8.559	10.678	8.846	10.784	8.802	2.384	10.275	9.87	9.581	10.005	8.427	10.955	8.76	0.817	9.321	9.806	8.78	8.225	6.89	9.156	7.174
19.83928	1.887	22.642	37.088	24.841	25.235	5.706	10.717	10.25	3.187	24.275	39.544	26.874	27.465	5.935	11.47	10.261	1.752	23.749	39.674	25.406	24.084	6.923	13.375	11.215	2.413	11.821	10.636	8.666	11.082	8.897	10.506	8.77	4.136	10.433	10.083	9.657	10.0	8.641	11.058	8.508	0.934	9.371	9.255	8.639	8.467	6.998	9.205	7.117
20.00605	2.075	22.727	37.33	24.407	25.049	6.063	10.753	10.48	3.295	24.47	39.38	27.319	28.048	6.403	11.07	10.816	1.885	23.726	40.086	25.796	24.005	6.763	13.412	11.39	2.522	11.205	10.674	8.645	10.764	9.096	10.379	8.861	2.524	10.362	10.312	9.667	9.955	9.416	10.932	8.792	0.957	9.572	9.4	8.921	8.311	7.276	9.27	7.315
20.17276	2.014	22.931	38.076	24.912	25.636	6.411	10.908	10.251	3.48	24.674	39.688	27.085	28.278	6.396	11.225	10.588	1.77	23.848	40.721	25.999	24.921	7.275	13.095	11.052	2.433	11.414	10.747	8.719	10.782	9.306	10.862	9.016	2.353	10.352	9.482	9.767	10.11	9.161	11.004	8.673	0.869	9.645	9.091	8.939	8.385	7.46	9.097	7.334
20.33935	2.06	23.21	37.8	24.972	25.886	6.154	10.894	9.745	3.306	24.679	40.012	27.28	27.926	6.357	11.402	10.875	1.952	24.318	40.607	25.839	24.57	6.935	13.235	11.147	2.615	11.317	10.322	8.843	10.823	9.211	10.52	9.166	2.672	10.447	9.851	10.163	9.85	8.846	10.99	9.014	1.025	9.357	8.995	9.063	8.371	7.529	9.219	7.485
20.50603	3.429	23.108	37.865	25.061	25.375	6.267	10.899	9.641	3.637	24.659	40.05	27.069	28.617	6.552	11.024	10.716	1.982	24.243	40.289	25.929	25.37	7.021	12.833	11.125	2.837	11.103	10.081	8.874	10.773	9.324	10.606	9.28	2.839	10.534	10.184	10.168	10.155	9.069	10.995	9.155	1.055	9.608	9.218	9.149	8.403	7.506	9.224	7.735
20.67276	2.427	23.321	38.387	25.056	25.643	6.524	10.995	10.037	3.647	24.845	40.655	27.667	28.615	6.4	11.065	10.893	1.991	24.129	40.759	26.171	25.502	7.088	13.076	10.92	2.929	11.282	10.232	9.215	10.924	9.31	10.784	9.622	2.602	10.631	9.979	9.936	10.279	9.193	10.763	9.088	1.063	9.649	8.74	9.163	8.334	7.683	9.265	7.748
20.83936	2.172	23.272	38.575	25.307	26.167	6.568	10.981	10.16	3.719	25.151	40.624	27.807	28.836	6.443	10.723	10.798	2.146	24.352	41.109	26.011	25.726	7.021	12.751	10.824	2.837	11.24	9.808	9.421	10.773	9.57	10.661	9.581	2.729	10.452	10.102	10.25	10.101	9.179	10.858	9.319	1.109	9.69	8.754	9.204	8.321	7.807	9.333	7.899
21.00601	2.944	23.56	38.923	25.596	26.429	7.177	10.744	10.005	3.917	24.838	41.164	27.468	29.126	6.341	10.705	10.561	2.289	24.668	41.568	26.491	26.315	7.002	12.904	10.396	2.761	11.523	9.817	9.348	10.618	9.634	10.862	9.59	2.982	10.188	10.111	10.15	9.919	9.407	11.004	9.275	1.115	9.563	8.653	9.076	8.494	7.924	9.097	7.881
21.1727	2.455	23.403	38.605	25.33	26.573	6.743	10.885	10.447	3.975	25.173	41.311	27.749	29.544	6.482	11.229	10.374	2.319	24.757	41.689	26.444	25.748	6.595	12.666	10.702	2.792	11.419	9.986	9.27	10.678	9.748	10.702	9.622	2.821	10.357	10.061	10.483	10.087	9.411	10.927	9.526	1.2	9.376	8.685	9.381	8.334	7.847	9.101	8.159
21.3393	3.029	23.731	39.18	25.33	27.011	7.098	10.803	10.256	3.811	25.255	41.393	28.104	29.298	6.4	11.12	10.401	2.292	24.593	41.689	26.773	26.159	6.842	12.666	10.291	2.956	11.173	9.849	9.707	10.623	9.748	10.62	9.95	3.013	10.713	10.198	10.51	9.923	9.521	11.091	9.526	1.364	9.54	9.013	9.491	8.334	8.011	9.32	8.241
