	MG1655-1	COUM2-4_1	COUM4-2_1	COUM7-6_1	COUM8-6_1	nadR-1	mprA-1	yhjK-1	MG1655-2	COUM2-4_2	COUM4-2_2	COUM7-6_2	COUM8-6_2	nadR-2	mprA-2	yhjK-2	MG1655-3	COUM2-4_3	COUM4-2_3	COUM7-6_3	COUM8-6_3	nadR-3	mprA-3	yhjK-3	ypjA-1	nadR_mprA-1	nadR_yhjK-1	mprA_yhjK-1	ypjA_mprA-1	nadR_mprA_yhjK-1	ypjA_mprA_nadR-1	ypjA_mprA_yhjK-1	ypjA-2	nadR_mprA-2	nadR_yhjK-2	mprA_yhjK-2	ypjA_mprA-2	nadR_mprA_yhjK-2	ypjA_mprA_nadR-2	ypjA_mprA_yhjK-2	ypjA-3	nadR_mprA-3	nadR_yhjK-3	mprA_yhjK-3	ypjA_mprA-3	nadR_mprA_yhjK-3	ypjA_mprA_nadR-3	ypjA_mprA_yhjK-3
21.50607	2.907	23.784	39.576	25.573	27.088	7.001	11.14	10.456	4.044	25.307	41.679	27.826	29.675	6.384	10.773	10.137	2.307	24.673	41.864	26.495	26.155	6.498	12.279	10.109	3.352	11.426	10.131	9.772	10.686	9.921	10.438	9.849	3.218	10.939	10.043	10.409	10.26	9.638	10.935	9.588	1.27	9.467	8.64	9.636	8.645	8.24	9.329	8.55
21.67269	2.606	24.03	39.795	25.71	27.061	6.919	11.058	10.401	4.126	25.471	41.597	27.99	29.374	6.275	10.855	9.864	2.389	24.809	42.137	26.741	26.784	6.525	12.634	10.027	3.161	11.344	10.076	9.854	10.987	10.003	10.683	9.904	2.89	10.529	10.097	10.491	9.987	10.021	11.154	9.806	1.352	9.603	8.504	9.445	8.481	8.322	9.465	8.55
21.83942	4.201	24.134	40.044	25.814	27.194	6.849	11.099	10.443	4.3	25.767	41.711	28.233	30.11	6.204	11.061	9.877	2.644	25.133	42.252	26.874	26.67	6.674	11.892	10.15	3.089	11.605	10.583	10.004	10.782	9.989	10.834	9.918	2.982	10.626	10.193	10.478	10.356	9.817	11.442	9.767	1.361	9.535	8.817	9.623	8.303	8.499	9.261	8.701
22.00604	2.783	24.005	39.754	25.849	27.475	7.016	10.831	10.174	4.166	25.775	42.596	28.104	29.872	6.181	10.956	9.8	2.62	24.867	42.837	26.937	27.198	6.158	12.009	9.745	3.175	11.419	10.095	9.68	11.115	10.158	10.839	10.224	2.931	10.713	10.28	10.756	9.951	9.904	11.283	9.908	1.501	9.376	8.685	9.901	8.225	8.421	9.511	8.623
22.17281	3.093	24.191	40.222	25.954	27.882	6.919	10.899	10.38	4.177	25.825	42.054	28.129	29.761	5.946	11.052	9.238	2.876	25.245	43.199	26.551	27.084	6.224	12.279	10.305	3.185	11.708	10.493	9.94	10.938	10.199	10.853	10.156	2.913	10.454	10.294	10.689	10.101	9.836	11.133	10.115	1.373	9.581	8.424	9.669	8.402	8.489	9.498	9.048
22.3395	3.005	24.094	40.147	26.021	28.222	6.692	10.917	10.288	4.225	25.892	42.607	27.839	30.236	5.61	10.714	9.613	2.623	25.039	42.821	27.027	27.014	5.861	12.674	9.804	3.206	11.534	10.155	10.122	10.929	10.245	10.789	10.365	3.071	10.608	10.531	10.734	10.119	9.826	11.288	10.105	1.449	9.572	8.99	9.796	8.339	8.507	9.571	9.038
22.5062	2.992	24.584	40.488	25.909	28.353	6.732	11.254	10.624	4.129	25.862	42.564	28.408	30.776	5.404	10.86	9.677	2.857	25.364	43.05	27.404	27.721	5.846	11.959	9.977	3.329	11.677	10.136	10.159	10.746	10.5	11.071	10.1	3.167	10.917	10.293	10.742	9.991	9.971	11.186	10.085	1.738	9.526	8.672	9.942	8.485	8.654	9.306	9.102
22.6728	3.087	24.395	40.776	25.994	28.058	7.294	11.191	10.644	4.06	25.865	42.853	28.577	30.482	5.364	10.878	9.448	2.979	25.558	43.204	27.382	27.506	5.587	12.099	10.406	3.288	11.534	10.428	10.204	10.929	10.491	10.871	10.529	3.235	10.964	10.777	11.062	10.256	10.127	11.342	10.324	1.668	9.736	8.908	9.824	8.421	8.972	9.434	9.284
22.83953	3.151	24.527	40.753	26.016	28.0	6.348	11.177	10.384	4.235	26.079	43.132	28.027	30.618	5.375	11.002	9.407	2.961	25.39	43.621	27.297	28.461	5.544	11.849	10.146	3.38	11.686	10.415	10.218	11.107	10.423	11.05	10.544	3.08	10.869	10.408	10.94	10.133	10.251	11.357	10.175	1.786	9.805	8.757	9.837	8.407	8.904	9.366	9.299
23.00616	3.143	24.682	40.898	26.172	28.624	6.397	11.616	10.386	4.118	26.125	42.924	28.158	30.477	5.206	11.331	9.569	2.926	25.627	43.716	27.538	28.099	5.209	12.06	10.173	3.456	11.387	10.608	10.3	10.889	10.643	10.887	10.601	3.21	10.57	10.601	11.024	10.216	10.5	11.249	10.233	1.722	9.779	8.783	9.838	8.379	9.012	9.558	9.245
23.17296	3.496	24.592	40.476	26.191	28.479	6.366	11.145	10.847	4.033	26.336	43.105	28.479	31.126	5.065	11.189	9.346	2.978	25.866	43.705	27.092	28.666	5.069	12.244	10.415	3.453	11.41	10.302	10.378	11.131	10.638	11.074	10.486	3.042	10.757	10.733	11.102	10.075	10.358	11.244	10.556	1.719	9.829	8.888	9.916	8.676	9.008	9.444	9.405
23.33954	3.24	25.117	40.883	26.333	28.345	6.273	11.296	10.722	4.077	26.231	43.318	27.961	31.1	4.78	11.175	9.333	2.995	25.597	44.163	27.478	28.723	5.113	12.604	10.237	3.223	11.559	10.206	10.391	10.816	10.952	10.813	10.8	3.005	10.879	10.5	11.169	10.033	10.261	11.148	10.349	1.765	9.568	9.04	10.148	8.361	9.186	9.43	9.336
23.50619	3.322	24.816	41.212	26.059	29.275	5.999	11.186	10.996	3.995	26.341	43.592	28.235	31.456	4.862	11.011	9.579	3.159	25.733	43.917	27.259	28.806	5.195	12.22	10.566	3.223	11.641	10.507	10.446	10.952	10.843	11.141	10.663	3.087	10.825	10.664	11.032	10.033	10.508	11.449	10.431	1.957	9.596	8.93	10.093	8.334	9.104	9.43	9.336
23.67293	3.486	24.898	41.54	26.387	29.303	6.465	11.597	10.832	4.105	26.642	44.003	28.208	31.045	4.78	11.093	9.306	3.296	25.733	44.246	27.67	28.751	5.222	12.357	10.018	3.387	11.477	10.753	10.638	11.117	10.925	11.032	10.8	3.197	10.879	10.746	11.087	10.115	10.644	11.531	10.705	2.011	9.76	8.93	10.011	8.252	9.35	9.54	9.555
23.8396	3.647	25.116	41.587	26.551	29.087	5.668	11.136	11.14	3.937	26.642	43.807	28.347	31.161	4.641	11.537	9.336	3.347	25.87	44.655	27.289	29.384	5.138	12.412	10.269	3.303	11.814	10.65	10.588	10.986	11.068	10.928	10.78	3.193	10.75	10.588	11.396	10.23	10.597	11.401	10.741	1.896	9.848	8.714	10.208	8.31	9.218	9.49	9.78
24.00627	3.715	25.304	41.463	26.246	29.465	5.599	11.2	10.655	4.088	26.665	44.201	28.862	31.4	4.544	11.107	9.565	3.252	25.702	44.609	27.585	29.433	5.124	12.052	10.607	3.371	11.656	10.467	10.871	10.967	11.104	11.156	10.98	3.097	10.839	11.062	11.458	10.157	10.577	11.737	10.94	2.103	9.856	8.971	10.326	8.429	9.364	9.691	9.651
24.17291	4.322	25.066	41.994	26.336	29.309	5.356	11.205	11.098	3.844	26.837	44.102	28.569	31.491	4.603	11.03	9.953	3.31	26.038	44.346	27.62	29.332	5.237	12.169	10.53	3.237	11.881	10.362	10.711	10.972	11.109	10.914	11.012	3.046	10.844	11.177	11.381	10.161	12.007	11.496	10.808	2.133	9.669	8.701	10.276	8.434	9.423	9.723	9.738
24.33974	3.653	25.269	42.212	26.292	29.378	5.346	11.228	10.958	3.834	26.739	44.158	28.391	31.397	4.538	10.943	9.701	3.518	26.077	44.925	27.662	29.648	5.063	12.263	10.69	3.419	11.66	10.825	10.652	10.913	11.078	11.075	10.927	3.035	10.787	11.009	11.241	9.993	11.046	11.74	10.971	2.121	9.967	9.134	10.3	8.374	9.556	9.472	9.625
24.5063	3.599	25.378	42.322	26.704	29.707	5.209	11.667	10.547	3.751	26.904	44.35	28.61	31.123	4.703	11.053	9.975	3.326	26.05	45.144	27.305	30.169	5.31	12.51	10.91	3.419	11.989	10.742	10.981	10.913	11.242	11.02	11.174	2.98	11.006	10.707	11.406	10.075	10.964	11.932	10.999	2.066	9.94	9.052	10.3	8.401	9.611	9.637	9.845
24.6729	3.684	25.496	42.305	26.547	29.386	5.13	11.15	11.155	3.7	26.939	44.361	28.454	31.653	4.734	11.222	9.595	3.522	26.387	45.019	27.642	29.574	5.012	12.628	10.613	3.313	11.747	10.5	11.096	11.028	11.384	11.162	10.96	3.038	10.792	11.014	11.575	10.162	10.941	11.662	10.922	2.234	9.972	9.303	10.305	8.323	9.78	9.477	9.877
24.83952	3.657	25.496	42.415	26.931	29.524	5.103	11.479	10.963	3.59	27.076	44.389	28.481	31.543	4.761	11.03	9.952	3.494	26.25	45.073	27.642	29.958	5.231	11.887	10.64	3.148	11.994	10.583	11.013	11.028	11.467	11.327	11.179	3.038	11.121	10.877	11.493	10.244	11.106	11.992	11.004	2.234	9.643	9.056	10.524	8.406	9.643	10.135	10.124
25.00634	3.701	25.535	42.551	26.832	30.005	5.066	11.091	11.042	3.524	27.116	45.104	28.769	31.834	4.669	10.917	9.727	3.456	26.426	45.296	27.464	30.549	5.194	12.173	10.718	3.166	12.432	10.909	11.119	10.969	11.436	11.104	11.232	2.972	10.899	10.736	11.738	10.268	11.324	11.88	10.865	2.332	10.051	9.161	10.631	8.4	9.831	9.528	10.203
25.17295	3.674	25.699	43.156	26.53	30.252	5.203	11.118	11.344	3.607	27.281	44.857	28.659	31.779	4.669	11.136	9.919	3.456	26.509	45.681	27.793	30.22	5.276	12.915	10.718	3.166	12.432	10.662	11.284	11.189	11.683	11.214	11.397	2.917	11.036	10.819	11.573	10.213	11.241	11.88	11.167	2.305	9.968	8.941	10.576	8.4	9.721	9.583	10.121
25.33971	3.828	25.586	43.09	26.61	29.61	5.192	11.397	11.125	3.488	27.057	45.116	28.569	32.148	4.877	11.03	9.761	3.337	26.586	45.47	27.757	30.373	5.292	12.553	10.858	3.128	12.072	10.362	11.04	11.136	11.629	11.215	11.341	3.046	11.009	10.82	11.846	10.298	11.267	11.797	11.274	2.352	9.751	8.948	10.523	8.379	9.917	9.476	10.286
25.50636	3.763	25.872	43.199	26.457	30.146	4.99	11.557	11.123	3.34	27.398	45.447	28.61	31.809	4.758	11.19	10.304	3.354	26.571	45.775	27.908	30.58	5.502	12.675	10.827	3.09	12.235	10.879	11.173	11.023	11.626	11.514	11.339	2.815	11.034	10.707	11.872	10.349	11.293	12.069	11.383	2.368	10.022	9.216	10.465	8.538	10.022	9.582	10.393
25.67302	4.072	25.907	43.106	26.931	29.931	4.997	11.228	11.093	3.156	27.514	45.57	28.342	31.646	4.818	11.08	9.866	3.169	26.77	45.704	27.831	30.446	5.535	12.846	10.881	2.987	11.958	11.179	11.282	10.967	11.706	11.156	11.5	2.659	11.059	11.007	11.704	10.239	11.344	12.285	11.269	2.349	10.158	9.053	10.874	8.347	9.967	9.691	10.309
25.83967	3.914	25.986	43.545	26.762	30.702	5.306	11.439	11.06	3.106	27.539	45.575	28.835	32.146	4.909	11.291	9.91	3.339	26.85	46.124	27.859	30.861	5.407	12.899	10.544	3.077	12.256	10.734	11.329	11.262	11.756	11.094	11.606	2.801	11.109	11.056	11.892	10.204	11.615	12.117	11.431	2.49	10.398	9.152	10.951	8.419	10.206	9.683	10.194
26.00634	4.195	26.194	43.32	26.778	30.444	5.203	11.338	11.18	3.14	27.885	45.845	28.742	32.383	4.916	11.054	10.249	3.291	26.838	46.258	28.013	30.357	5.414	12.997	10.746	3.029	12.294	10.607	11.339	11.299	11.931	11.433	11.397	2.753	11.036	10.956	12.012	10.131	11.461	12.291	11.25	2.387	10.078	9.106	10.96	8.51	10.215	9.665	10.506
26.17305	3.575	26.044	43.101	26.794	30.401	5.185	11.26	11.237	3.042	27.817	45.623	28.701	32.202	4.981	11.277	10.309	3.357	26.963	46.006	28.164	30.644	5.423	12.6	10.64	2.764	12.323	10.884	11.425	10.918	11.961	11.19	11.454	2.654	11.121	10.548	11.822	10.19	11.627	12.321	11.388	2.316	10.274	9.166	10.908	8.378	10.246	9.724	10.426
26.33972	3.767	26.264	43.704	26.794	30.593	5.13	11.233	11.155	3.014	27.68	45.541	28.893	32.202	4.844	11.36	9.98	3.247	26.99	46.335	27.889	30.589	5.505	12.683	10.805	2.764	12.762	10.967	11.397	11.192	11.906	11.491	11.673	2.599	10.957	11.261	11.877	10.19	11.517	12.403	11.333	2.371	10.191	9.166	10.908	8.378	10.164	9.751	10.59
26.50642	3.876	26.327	44.37	27.048	30.662	5.296	11.352	11.414	2.957	27.909	45.962	28.876	31.943	4.955	11.7	10.097	3.274	27.192	46.513	27.736	30.575	5.507	12.884	10.815	2.957	12.447	10.786	11.463	11.066	12.001	11.311	11.659	2.543	11.299	11.163	12.083	10.31	11.889	12.554	11.513	2.424	10.258	9.037	10.81	8.414	10.367	9.625	10.713
26.67306	4.575	26.314	43.715	26.763	30.614	5.802	11.461	11.108	3.111	27.977	45.851	28.421	31.755	5.076	11.286	10.181	3.179	27.452	46.288	27.637	31.294	5.491	12.514	10.895	2.833	12.329	10.865	11.406	10.981	12.132	11.472	11.68	2.586	11.238	10.912	12.131	10.39	12.319	12.629	11.449	2.441	10.419	9.148	10.889	8.36	10.31	9.568	10.488
26.83978	3.674	26.551	44.364	27.107	30.444	5.313	11.173	11.317	3.057	27.885	45.928	28.769	32.164	5.109	11.164	10.386	3.264	27.442	46.669	27.876	31.263	5.743	12.722	11.158	2.781	12.624	11.019	11.778	11.134	12.068	11.378	11.781	2.533	11.229	11.505	12.15	10.543	11.955	12.621	11.524	2.497	10.573	9.188	11.015	8.345	10.462	9.693	10.753
27.00645	3.866	26.633	44.034	26.942	30.307	5.313	11.256	11.344	2.948	28.104	46.202	28.961	31.862	5.109	11.493	10.084	3.126	27.36	47.054	27.793	31.126	5.524	12.86	11.075	2.781	12.624	10.826	11.833	11.217	12.233	11.543	11.891	2.588	11.229	11.203	12.177	10.515	11.818	12.758	11.36	2.332	10.49	9.326	10.96	8.4	10.27	9.885	10.698
27.17314	3.629	26.41	44.48	26.691	30.388	5.296	11.105	11.194	3.04	28.156	46.127	28.931	32.575	5.12	11.343	10.07	3.136	27.494	47.035	27.653	31.125	5.59	12.691	10.733	2.792	12.887	11.253	11.766	11.231	12.44	11.613	11.879	2.515	11.464	11.328	12.165	10.53	12.053	12.939	11.843	2.396	10.505	9.422	11.057	8.661	10.724	9.625	10.933
27.3398	3.427	26.706	44.439	26.77	30.979	5.805	11.465	11.305	3.005	28.149	46.356	28.868	32.449	5.052	11.373	10.268	3.1	27.487	46.738	28.029	31.221	5.577	12.577	11.037	2.754	12.883	11.116	11.822	11.15	12.302	11.559	11.904	2.507	11.435	11.274	12.054	10.477	12.187	12.909	11.454	2.307	10.698	9.153	10.976	8.447	10.397	10.176	10.795
27.50639	3.492	26.511	44.308	26.931	31.115	5.597	11.479	11.402	3.096	28.366	46.83	28.865	31.818	5.09	11.387	10.199	3.165	27.594	47.213	28.054	31.247	5.642	12.6	10.997	2.764	13.064	11.131	11.809	11.028	12.646	11.683	11.947	2.435	11.45	11.48	12.234	10.354	12.285	13.062	11.799	2.453	10.548	9.358	11.1	8.488	10.603	9.971	10.892
27.67305	3.51	26.953	44.521	26.88	30.65	5.531	11.493	10.784	3.032	28.232	46.96	28.786	32.531	5.217	11.62	10.432	3.155	27.707	47.177	28.139	31.111	5.796	12.769	10.9	2.672	13.157	11.281	11.822	11.507	12.631	11.86	11.904	2.507	11.408	11.274	12.273	10.504	12.27	12.909	11.811	2.444	10.917	8.988	11.168	8.639	10.589	9.737	10.904
27.83982	3.269	26.996	44.626	27.005	30.749	5.538	11.584	11.095	3.121	28.604	46.572	29.131	32.302	5.251	11.19	10.222	2.915	27.833	47.421	28.21	31.129	5.749	12.812	11.129	2.679	13.141	11.401	11.886	11.434	12.723	11.651	11.942	2.651	11.61	11.037	12.311	10.569	12.116	13.056	11.959	2.286	10.845	9.134	11.233	8.566	10.763	9.966	10.805
28.00646	3.522	26.912	44.738	27.331	31.248	6.014	11.741	11.529	3.125	28.686	46.853	28.967	32.392	5.288	11.402	10.487	3.03	27.887	47.294	28.376	31.71	5.841	13.111	11.04	2.768	13.277	11.121	12.183	11.291	12.665	11.893	12.049	2.546	11.551	11.14	12.528	10.699	12.333	13.219	11.793	2.345	10.895	9.426	11.282	8.776	10.811	10.014	10.965
28.17314	3.352	26.832	44.681	26.923	30.996	5.538	11.392	11.369	3.038	28.687	46.956	28.802	32.577	5.251	11.218	10.194	2.86	27.805	47.338	28.046	30.827	5.803	12.592	10.827	2.679	13.387	11.209	11.914	11.352	12.806	11.843	11.942	2.431	11.582	11.558	12.228	10.679	12.253	13.221	12.041	2.231	11.092	9.271	11.315	8.566	11.01	10.021	10.969
28.33976	3.242	27.024	44.873	27.088	30.941	5.511	11.557	11.616	3.038	28.934	47.065	29.159	32.741	5.142	11.218	10.194	2.942	27.833	47.914	27.991	31.403	5.831	12.894	10.827	2.816	13.415	11.291	11.969	11.27	12.833	11.816	12.271	2.568	11.665	11.421	12.393	10.596	12.527	13.303	11.904	2.313	11.064	9.271	11.397	8.62	10.9	9.966	11.052
28.50656	3.285	27.129	45.102	27.245	30.862	5.585	11.453	11.599	3.135	28.876	47.301	29.184	32.391	5.382	11.334	10.088	2.984	28.241	47.908	28.154	31.737	5.797	12.778	11.027	2.778	13.651	11.136	12.143	11.471	12.901	12.155	12.175	2.39	11.512	11.815	12.736	10.741	12.68	13.62	11.947	2.271	11.13	9.412	11.627	8.872	10.991	10.084	10.981
28.6733	3.275	27.325	45.096	27.056	30.589	5.409	11.604	11.749	3.29	29.181	47.485	29.462	32.419	5.343	11.43	10.157	2.947	28.079	47.817	28.459	31.655	5.758	12.589	10.573	2.795	13.607	11.203	12.128	11.291	12.967	12.003	12.077	2.711	11.991	11.47	12.583	10.864	12.471	13.768	12.096	2.18	11.224	9.124	11.447	9.05	11.113	9.904	11.295
28.83991	3.252	27.185	45.099	27.248	30.583	5.796	11.653	11.549	3.13	28.958	47.265	29.321	32.521	5.4	11.314	10.208	2.924	28.104	48.363	28.619	32.088	5.842	12.891	10.787	2.771	13.596	11.251	12.175	11.531	12.931	11.94	12.205	2.441	11.707	11.573	12.546	10.83	12.433	13.511	11.893	2.24	11.326	9.449	11.522	8.826	11.107	10.118	10.847
29.00666	3.236	27.393	45.4	27.343	31.457	5.565	11.463	11.279	3.224	29.058	47.765	29.119	32.546	5.527	11.426	10.042	2.991	28.588	48.015	28.638	31.617	5.887	12.656	11.201	2.867	13.91	11.228	12.235	11.645	12.911	12.193	12.213	2.452	11.769	11.358	12.609	10.668	12.773	13.548	12.233	2.333	11.47	9.339	11.582	8.936	11.165	10.176	11.293
29.17325	3.185	27.153	45.329	27.516	31.246	5.651	11.467	11.477	3.227	29.396	47.556	29.595	32.638	5.393	11.431	10.266	2.994	28.349	47.945	28.509	31.873	5.973	12.472	11.206	2.898	13.75	11.563	12.295	11.65	13.301	12.17	12.301	2.565	11.912	11.417	12.669	10.756	12.778	13.636	11.991	2.088	11.337	9.426	11.642	8.885	11.253	10.263	11.409
29.33997	3.218	27.455	46.216	27.265	30.892	5.687	11.817	11.665	3.37	29.287	47.896	29.597	32.204	5.485	11.479	10.311	2.861	28.515	48.591	28.428	31.962	5.818	13.24	10.896	2.85	13.971	11.503	12.29	11.535	13.272	12.221	12.326	2.487	12.075	11.467	12.888	11.218	12.833	14.213	12.046	2.119	11.719	9.499	11.72	9.152	11.385	10.34	11.185
29.50655	3.112	27.426	45.777	27.402	31.244	5.689	11.729	11.574	3.264	29.339	47.867	29.4	33.078	5.542	11.363	10.472	3.004	28.566	48.312	28.755	31.9	5.874	12.936	10.698	2.826	14.097	11.138	12.338	11.693	13.317	12.268	12.372	2.492	12.093	11.653	12.768	10.908	12.877	13.844	12.145	2.125	11.738	9.439	11.685	8.816	11.35	10.278	11.314
29.67336	3.195	27.839	45.584	27.375	30.997	5.854	11.646	11.629	3.402	29.366	48.06	29.372	32.913	5.377	11.39	10.555	2.976	28.566	48.642	28.727	31.625	5.957	12.771	10.918	2.909	14.262	11.468	12.338	11.748	13.4	12.598	12.454	2.712	12.203	11.735	12.878	11.018	12.85	14.147	12.145	2.097	11.821	9.219	11.575	9.367	11.488	10.608	11.397
29.83997	3.205	27.698	46.004	27.426	31.216	5.865	11.578	11.727	3.522	29.639	48.069	29.425	32.857	5.498	11.57	10.293	2.931	28.894	48.542	28.835	31.954	6.133	13.07	11.318	2.919	14.279	11.566	12.27	11.845	13.416	12.531	12.388	2.667	12.219	11.778	13.059	11.253	12.894	14.191	12.272	1.969	11.919	9.48	11.7	9.188	11.42	10.403	11.412
30.00677	3.122	28.056	45.921	27.261	31.105	5.782	12.019	11.947	3.329	29.694	48.014	29.645	32.83	5.691	11.735	10.458	2.931	29.005	49.01	28.863	32.423	6.078	13.125	11.07	2.891	14.279	11.676	12.711	11.708	13.609	12.779	12.553	2.805	12.219	11.695	12.949	11.363	12.949	14.494	12.354	2.052	12.001	9.536	11.7	9.299	11.531	10.54	11.66
30.1733	3.219	27.968	46.178	27.559	31.511	5.795	11.917	11.734	3.426	29.605	48.379	29.942	32.793	5.813	11.578	10.193	3.001	28.806	49.263	28.912	32.056	6.118	13.203	11.161	2.905	14.422	11.243	12.663	12.018	13.505	12.676	12.559	2.654	12.363	11.565	13.038	11.343	13.12	14.417	12.497	2.094	11.898	9.38	11.762	9.335	11.593	10.631	11.419
30.33987	3.102	27.814	46.54	27.791	30.943	5.761	11.99	11.697	3.31	29.974	48.437	29.43	33.106	5.641	11.458	10.431	2.967	29.092	48.936	28.619	31.681	6.028	13.187	11.151	2.871	14.466	11.728	12.515	12.091	13.659	12.941	12.521	2.62	12.352	12.298	13.082	11.388	13.246	14.626	12.459	2.116	12.218	9.591	11.835	9.408	11.556	10.703	11.464
30.50671	3.172	27.781	46.383	27.649	31.266	6.021	11.998	11.539	3.297	29.775	48.471	29.918	32.299	5.626	11.522	10.441	2.816	29.251	49.271	28.833	32.085	5.931	12.688	11.022	3.187	14.69	11.433	12.633	11.906	13.555	12.562	12.692	2.635	12.716	11.948	13.171	11.534	13.141	14.549	12.436	1.938	11.894	9.325	11.732	9.334	11.646	10.739	11.388
30.67347	3.265	28.097	46.27	27.637	31.304	5.975	12.057	11.789	3.528	29.843	48.603	29.629	32.777	5.607	11.608	10.391	3.102	29.263	49.126	28.818	31.904	6.241	12.868	11.025	3.032	14.744	11.353	12.607	12.128	13.611	13.031	12.555	2.618	12.744	11.675	13.281	11.536	13.279	14.576	12.436	2.006	12.171	9.825	11.789	9.394	11.703	11.455	11.582
30.84005	3.099	28.411	47.133	27.535	31.815	6.005	12.013	11.967	3.471	30.13	48.562	29.751	33.179	5.719	11.646	10.867	2.991	29.441	49.363	29.134	32.112	6.189	12.932	11.201	3.142	14.955	11.943	12.675	11.976	13.709	13.018	12.598	2.782	12.787	11.908	13.159	11.494	13.488	14.731	12.453	2.113	12.268	9.614	11.802	9.569	11.908	11.029	11.624
31.00664	3.23	28.366	46.642	27.932	31.467	5.915	12.581	11.957	3.547	30.361	48.813	29.734	32.913	5.794	11.444	10.363	3.149	29.424	49.861	28.786	32.424	6.182	12.998	11.302	3.108	14.613	11.933	12.968	12.213	13.863	12.843	12.698	2.555	13.024	12.2	13.176	11.704	13.229	14.884	12.524	1.996	12.367	9.825	12.067	9.752	11.898	10.909	11.696
31.17336	3.275	28.177	46.387	27.496	31.66	6.014	12.071	11.969	3.4	30.363	48.887	29.984	32.996	5.783	11.595	10.349	3.14	29.371	49.411	29.146	32.397	6.17	12.837	11.04	3.015	14.844	11.918	12.732	12.28	13.847	13.239	12.819	2.766	12.596	11.965	13.215	11.441	13.378	14.703	12.425	2.152	12.571	9.921	11.942	9.655	11.938	10.839	11.762
31.34011	3.22	28.451	47.02	27.908	31.523	6.014	12.126	11.969	3.455	30.418	49.217	30.066	33.051	5.865	11.76	10.569	3.057	29.728	49.795	29.008	32.178	6.253	12.699	11.424	3.097	14.844	11.78	12.787	12.28	14.012	13.377	12.846	2.766	12.843	11.965	13.49	11.634	13.378	15.033	12.755	2.097	12.653	9.728	12.107	9.875	12.02	11.004	11.707
31.50673	3.334	28.475	47.075	28.017	31.9	6.043	12.449	12.016	3.542	30.715	49.104	30.117	32.905	5.866	11.561	10.373	3.034	29.614	50.064	29.113	32.362	6.281	13.055	11.336	3.183	15.05	11.91	13.026	12.574	13.892	13.203	12.699	2.907	12.805	12.231	13.342	12.01	13.421	14.911	12.798	2.158	12.616	9.971	12.098	9.951	12.012	11.188	11.753
