	MG1655-1	HEXA4-10_1	HEXA7-2_1	ompR-1	proQ-1	ompC-1	ompR_proQ-1	ompR_ompC-1	MG1655-2	HEXA4-10_2	HEXA7-2_2	ompR-2	proQ-2	ompC-2	ompR_proQ-2	ompR_ompC-2	MG1655-3	HEXA4-10_3	HEXA7-2_3	ompR-3	proQ-3	ompC-3	ompR_proQ-3	ompR_ompC-3	proQ_ompC-1	ompR_proQ_ompC-1	MG1655-1dup	IBUA8-3_1	phoU-1	cheR-1	rph-1	proQ_ompC-2	ompR_proQ_ompC-2	MG1655-2dup	IBUA8-3_2	phoU-2	cheR-2	rph-2	proQ_ompC-3	ompR_proQ_ompC-3	MG1655-3dup	IBUA8-3_3	phoU-3	cheR-3	rph-3
0.0051	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.173	0.0	0.0	0.0
0.17173	0.0	0.165	0.103	0.163	0.093	0.202	0.227	0.0	0.296	0.302	0.372	0.302	0.304	0.112	0.21	0.215	0.486	0.294	0.323	0.312	0.17	0.307	0.117	0.293	0.289	0.352	0.245	0.365	0.551	0.226	0.39	0.209	0.24	0.282	0.361	0.45	0.386	0.256	0.193	0.256	0.377	0.336	0.39	0.292	0.324
0.33845	0.004	0.334	0.369	0.264	0.062	0.336	0.196	0.101	0.432	0.337	0.473	0.304	0.207	0.213	0.311	0.382	0.49	0.33	0.26	0.182	0.337	0.408	0.119	0.395	0.523	0.222	0.346	0.435	0.555	0.394	0.393	0.279	0.31	0.416	0.53	0.452	0.587	0.457	0.197	0.226	0.445	0.306	0.228	0.295	0.228
0.5051	0.029	0.523	0.238	0.267	0.165	0.206	0.2	0.065	0.391	0.371	0.472	0.173	0.372	0.113	0.277	0.281	0.54	0.29	0.32	0.279	0.305	0.539	0.248	0.388	0.352	0.284	0.377	0.327	0.671	0.387	0.452	0.432	0.266	0.479	0.489	0.58	0.548	0.517	0.247	0.286	0.41	0.365	0.354	0.289	0.189
0.67173	0.019	0.382	0.33	0.326	0.225	0.297	0.358	0.155	0.25	0.396	0.431	0.199	0.529	0.303	0.434	0.338	0.595	0.478	0.377	0.435	0.363	0.564	0.174	0.379	0.442	0.407	0.468	0.284	0.66	0.444	0.509	0.257	0.388	0.536	0.414	0.571	0.473	0.606	0.203	0.212	0.435	0.356	0.345	0.411	0.213
0.83848	0.081	0.674	0.352	0.281	0.245	0.253	0.279	0.378	0.41	0.419	0.455	0.32	0.486	0.228	0.326	0.462	0.365	0.407	0.502	0.361	0.518	0.456	0.265	0.406	0.403	0.301	0.492	0.412	0.792	0.504	0.47	0.354	0.22	0.561	0.508	0.597	0.5	0.535	0.368	0.238	0.459	0.383	0.306	0.372	0.339
1.00506	0.065	0.658	0.504	0.269	0.266	0.241	0.301	0.364	0.361	0.505	0.541	0.176	0.473	0.412	0.346	0.382	0.61	0.392	0.487	0.282	0.406	0.64	0.383	0.555	0.585	0.386	0.512	0.396	0.51	0.555	0.587	0.468	0.401	0.448	0.426	0.582	0.682	0.52	0.25	0.322	0.413	0.302	0.455	0.423	0.192
1.17179	0.239	0.667	0.578	0.243	0.339	0.347	0.308	0.076	0.469	0.578	0.483	0.315	0.547	0.222	0.354	0.555	0.522	0.566	0.398	0.455	0.513	0.483	0.391	0.499	0.496	0.427	0.586	0.406	0.818	0.465	0.464	0.446	0.378	0.655	0.534	0.69	0.593	0.693	0.262	0.298	0.553	0.278	0.365	0.366	0.135
1.33845	0.16	0.72	0.436	0.333	0.396	0.304	0.463	0.164	0.457	0.601	0.472	0.404	0.668	0.212	0.343	0.379	0.54	0.751	0.485	0.444	0.502	0.374	0.446	0.684	0.55	0.317	0.607	0.327	0.77	0.65	0.584	0.366	0.463	0.479	0.39	0.777	0.647	0.418	0.313	0.418	0.41	0.299	0.386	0.289	0.123
1.50515	0.38	0.776	0.585	0.283	0.478	0.354	0.38	0.118	0.479	0.751	0.556	0.289	0.588	0.329	0.526	0.3	0.566	0.773	0.538	0.463	0.487	0.656	0.301	0.475	0.505	0.502	0.429	0.349	0.796	0.408	0.407	0.39	0.52	0.564	0.412	0.633	0.602	0.505	0.372	0.439	0.561	0.221	0.374	0.474	0.144
1.67181	0.189	0.98	0.524	0.453	0.515	0.359	0.385	0.222	0.419	0.822	0.463	0.294	0.56	0.368	0.532	0.503	0.673	0.878	0.544	0.369	0.624	0.596	0.372	0.58	0.478	0.739	0.599	0.422	0.936	0.48	0.512	0.496	0.527	0.603	0.451	0.804	0.608	0.544	0.347	0.544	0.467	0.293	0.381	0.381	0.15
1.83858	0.189	0.947	0.623	0.387	0.515	0.326	0.418	0.222	0.584	0.822	0.76	0.327	0.692	0.302	0.532	0.371	0.64	0.911	0.643	0.402	0.591	0.662	0.57	0.712	0.609	0.607	0.533	0.158	0.738	0.579	0.479	0.562	0.494	0.603	0.319	0.837	0.575	0.609	0.38	0.544	0.467	0.194	0.315	0.447	0.15
2.00531	0.278	1.135	0.517	0.347	0.409	0.418	0.51	0.378	0.508	0.814	0.554	0.32	0.75	0.294	0.425	0.396	0.727	0.868	0.634	0.592	0.616	0.654	0.463	0.67	0.666	0.598	0.492	0.313	0.727	0.603	0.635	0.486	0.583	0.66	0.343	0.63	0.599	0.502	0.368	0.535	0.459	0.218	0.404	0.471	0.207
2.17188	0.245	1.135	0.583	0.38	0.673	0.418	0.378	0.214	0.574	0.913	0.686	0.287	0.684	0.327	0.524	0.495	0.628	1.0	0.502	0.493	0.814	0.489	0.397	0.703	0.6	0.796	0.624	0.214	0.792	0.57	0.47	0.486	0.682	0.561	0.409	0.729	0.599	0.6	0.467	0.666	0.525	0.185	0.503	0.537	0.207
2.3386	0.239	1.129	0.676	0.474	0.504	0.446	0.505	0.373	0.601	1.039	0.581	0.447	0.745	0.354	0.716	0.358	0.654	0.994	0.694	0.488	0.809	0.549	0.49	0.663	0.66	0.79	0.586	0.307	0.884	0.564	0.695	0.643	0.773	0.688	0.337	0.888	0.56	0.594	0.459	0.693	0.651	0.081	0.497	0.531	0.3
2.50531	0.245	1.168	0.681	0.479	0.673	0.517	0.279	0.378	0.508	1.144	0.587	0.518	0.75	0.458	0.622	0.462	0.661	1.099	0.733	0.559	0.781	0.555	0.463	0.703	0.666	0.73	0.525	0.346	0.825	0.57	0.503	0.584	0.813	0.693	0.211	0.927	0.665	0.502	0.533	0.798	0.558	0.087	0.503	0.537	0.207
2.67197	0.248	1.237	0.684	0.448	0.609	0.322	0.315	0.414	0.577	1.146	0.556	0.421	0.785	0.296	0.625	0.465	0.665	1.069	0.703	0.694	0.718	0.59	0.465	0.673	0.768	0.733	0.495	0.119	0.829	0.606	0.539	0.588	0.817	0.663	0.346	0.798	0.7	0.636	0.438	0.801	0.627	0.122	0.506	0.474	0.111
2.83867	0.291	1.445	0.692	0.554	0.682	0.461	0.486	0.291	0.389	1.253	0.597	0.429	0.76	0.436	0.732	0.506	0.776	1.475	0.811	0.504	1.022	0.565	0.606	0.781	0.81	0.841	0.437	0.227	0.742	0.582	0.614	0.664	0.827	0.573	0.256	0.84	0.578	0.547	0.548	1.008	0.536	0.0	0.614	0.45	0.153
3.00534	0.173	1.655	0.709	0.54	0.8	0.545	0.571	0.471	0.568	1.5	0.647	0.447	0.876	0.354	0.65	0.555	0.818	1.521	0.793	0.685	0.776	0.681	0.49	0.894	0.792	0.823	0.619	0.109	0.884	0.663	0.629	0.676	0.905	0.589	0.435	0.822	0.659	0.496	0.459	0.99	0.454	0.212	0.596	0.531	0.135
3.1719	0.239	1.754	0.775	0.54	0.701	0.314	0.571	0.406	0.601	1.698	0.779	0.545	0.975	0.321	0.65	0.555	0.654	1.685	0.925	0.652	0.908	0.483	0.589	0.795	0.693	0.888	0.586	0.241	0.818	0.597	0.497	0.742	1.103	0.688	0.238	0.986	0.757	0.594	0.525	1.056	0.553	0.212	0.398	0.432	0.135
3.33872	0.16	2.234	0.699	0.826	0.889	0.436	0.661	0.46	0.588	1.983	0.637	0.535	0.866	0.343	0.836	0.577	0.54	1.968	0.715	0.74	0.963	0.572	0.643	0.881	0.78	0.975	0.476	0.294	0.901	0.486	0.485	0.761	0.99	0.577	0.423	0.81	0.745	0.582	0.51	0.944	0.64	0.266	0.584	0.42	0.123
3.50535	0.433	2.376	0.904	0.636	0.798	0.641	0.668	0.403	0.565	2.255	0.645	0.51	1.071	0.417	0.746	0.618	0.65	2.275	0.79	0.682	0.806	0.645	0.783	0.957	0.756	1.116	0.682	0.337	0.814	0.66	0.593	0.837	1.066	0.75	0.597	0.885	0.688	0.493	0.62	1.184	0.451	0.473	0.659	0.528	0.198
3.67207	0.309	2.84	0.851	0.617	0.845	0.621	0.78	0.38	0.375	2.79	0.821	0.49	0.918	0.527	0.921	0.596	0.784	2.739	0.798	0.726	0.95	0.723	0.826	0.931	0.929	0.993	0.659	0.18	0.784	0.536	0.503	0.711	1.137	0.629	0.605	0.894	0.632	0.666	0.589	1.126	0.495	0.645	0.667	0.635	0.109
3.83881	0.334	3.397	0.904	0.669	0.798	0.542	0.898	0.732	0.664	3.308	0.743	0.74	0.939	0.417	1.009	0.552	0.716	3.196	0.922	0.781	1.004	0.678	1.08	0.957	0.855	1.116	0.583	0.337	0.88	0.66	0.593	0.772	1.363	0.652	0.696	1.016	0.656	0.69	0.653	1.283	0.649	0.703	0.659	0.627	0.297
4.00549	0.315	4.163	0.856	0.655	0.784	0.692	0.884	0.517	0.579	3.749	0.727	0.692	1.022	0.533	1.19	0.568	0.726	3.733	1.002	0.764	1.054	0.662	1.029	0.97	0.935	1.065	0.665	0.317	0.89	0.674	0.509	0.751	1.177	0.733	0.775	0.801	0.572	0.573	0.597	1.33	0.435	0.75	0.575	0.608	0.18
4.1722	0.437	4.906	1.045	0.812	0.974	0.618	1.172	0.607	0.668	4.331	1.015	0.619	1.047	0.525	1.083	0.691	0.715	4.543	0.959	0.854	1.079	0.851	1.02	0.961	0.926	1.056	0.591	0.505	0.846	0.632	0.565	0.904	1.264	0.659	0.897	0.956	0.727	0.597	0.684	1.452	0.591	0.872	0.73	0.599	0.171
4.33876	0.506	5.699	0.982	0.748	0.976	0.686	1.306	0.61	0.638	5.419	0.821	0.72	1.148	0.527	1.184	0.891	1.014	5.533	0.897	1.021	1.048	0.657	1.155	0.865	0.765	1.289	0.462	0.508	0.784	0.733	0.568	0.809	1.367	0.629	0.999	0.795	0.927	0.567	0.622	1.521	0.594	1.04	0.733	0.504	0.109
4.50545	0.66	6.704	1.073	0.741	0.936	0.777	1.496	0.568	0.661	6.13	0.812	0.679	1.041	0.618	1.504	0.751	1.101	6.144	1.085	0.816	1.073	0.747	1.31	0.922	0.952	1.246	0.782	0.597	0.871	0.658	0.592	0.733	1.356	0.653	1.055	0.852	0.754	0.657	0.676	1.544	0.52	0.964	0.559	0.527	0.1
4.67214	0.421	7.313	0.934	0.832	0.962	0.704	1.488	0.658	0.816	7.234	0.804	0.573	1.033	0.708	1.495	0.743	1.057	7.016	1.075	0.807	1.131	0.739	1.53	0.945	0.91	1.27	0.544	0.751	0.761	0.649	0.452	0.788	1.411	0.612	1.176	0.777	0.712	0.549	0.697	1.534	0.511	1.184	0.616	0.584	0.058
4.83881	0.519	8.626	1.163	0.865	0.863	0.868	1.586	0.691	0.947	8.055	0.936	0.77	1.23	0.675	1.528	0.743	1.057	8.723	1.206	0.906	1.065	0.838	1.629	1.01	1.042	1.27	0.676	0.85	0.761	0.649	0.583	0.919	1.411	0.644	1.439	0.843	0.647	0.746	0.796	1.633	0.61	1.48	0.747	0.682	0.288
5.00554	0.615	9.867	1.062	0.928	1.123	0.866	1.781	0.852	0.911	9.231	0.834	0.767	1.031	0.705	1.624	0.937	0.954	9.374	1.17	0.936	1.161	0.835	1.724	1.007	1.006	1.365	0.673	0.879	0.823	0.548	0.58	0.916	1.505	0.707	1.468	0.774	0.644	0.743	0.694	1.793	0.607	1.476	0.613	0.515	0.285
5.17226	0.66	10.94	1.171	0.938	1.166	1.04	1.725	0.7	1.022	10.498	1.108	0.909	1.173	0.913	1.8	0.883	1.167	10.905	1.117	0.914	1.27	0.911	1.835	1.02	1.051	1.444	0.585	0.958	0.772	0.56	0.559	0.996	1.618	0.752	1.744	0.753	0.951	0.69	0.873	1.938	0.618	1.621	0.461	0.691	0.264
5.33889	0.67	12.074	1.278	0.88	0.976	1.048	1.93	0.807	0.967	11.268	1.018	0.785	1.247	0.823	1.809	0.793	1.113	11.415	1.225	1.021	1.246	0.953	2.042	1.03	1.126	1.552	0.659	1.067	0.784	0.569	0.568	1.006	1.794	0.727	1.557	0.795	0.665	0.502	0.885	2.046	0.594	1.828	0.667	0.602	0.207
5.50559	0.743	12.645	1.316	0.885	1.145	1.25	2.034	0.681	1.137	12.626	1.056	0.824	1.186	1.124	1.946	0.963	1.285	12.38	1.429	1.027	1.152	1.122	2.18	1.168	1.231	1.591	0.665	1.172	0.693	0.542	0.673	1.145	1.9	0.766	1.86	0.768	0.769	0.508	0.959	1.954	0.599	1.901	0.575	0.641	0.18
5.67232	0.841	13.962	1.289	0.86	1.055	1.322	2.204	0.849	1.137	13.753	1.127	0.798	1.028	1.063	1.981	0.934	1.475	13.075	1.364	0.999	1.224	1.127	2.344	1.201	1.134	1.657	0.473	1.335	0.819	0.709	0.675	1.076	1.961	0.606	2.088	0.87	0.706	0.576	0.952	2.282	0.604	2.063	0.61	0.512	0.249
5.83887	0.966	14.802	1.376	1.044	1.14	1.409	2.456	0.906	1.262	14.127	1.149	0.884	1.05	1.086	2.137	0.957	1.376	14.504	1.39	0.923	1.18	1.38	2.469	1.063	1.225	1.782	0.659	1.363	0.685	0.668	0.601	1.105	1.925	0.76	2.149	0.861	0.73	0.699	1.049	2.408	0.594	2.124	0.569	0.635	0.207
6.00561	1.071	16.656	1.382	1.082	1.079	1.546	2.56	0.681	1.368	16.046	1.122	0.824	1.252	1.223	2.373	0.798	1.318	16.325	1.528	1.06	1.185	1.254	2.574	1.168	1.362	1.854	0.599	1.567	0.791	0.674	0.509	1.342	2.13	0.634	2.255	0.768	0.671	0.672	1.057	2.678	0.632	2.427	0.772	0.707	0.279
6.17235	1.039	16.59	1.48	1.148	1.047	1.678	2.856	1.109	1.401	16.572	1.155	0.824	1.449	1.355	2.341	0.864	1.482	16.654	1.593	1.225	1.284	1.451	2.673	1.135	1.362	1.854	0.599	1.567	0.758	0.674	0.575	1.309	2.327	0.667	2.419	0.801	0.736	0.606	1.09	2.711	0.632	2.591	0.64	0.707	0.213
6.33898	1.022	17.113	1.467	1.069	1.133	1.631	2.94	0.897	1.384	16.244	1.042	0.909	1.238	1.406	2.456	0.883	1.758	15.732	1.676	1.046	1.238	1.47	2.656	1.25	1.347	2.035	0.585	1.582	0.838	0.527	0.461	1.324	2.21	0.719	2.5	0.786	0.721	0.591	1.235	2.792	0.717	2.672	0.527	0.527	0.297
6.5057	1.219	17.573	1.565	1.135	1.363	1.598	3.072	0.864	1.548	17.032	1.141	0.975	1.337	1.636	2.752	0.981	1.495	16.586	1.708	1.144	1.238	1.535	3.083	1.217	1.412	2.035	0.651	1.746	0.641	0.56	0.559	1.423	2.374	0.719	2.631	0.655	0.656	0.591	1.169	2.956	0.618	2.869	0.527	0.527	0.166
6.6723	1.392	17.162	1.644	1.052	1.051	1.94	3.346	0.974	1.622	18.364	1.22	0.989	1.219	1.582	2.697	0.928	1.566	18.439	1.685	1.026	1.317	1.548	3.223	1.457	1.423	2.208	0.468	1.82	1.008	0.702	0.472	1.364	2.445	0.633	2.606	0.733	0.799	0.538	1.239	2.931	0.5	3.138	0.505	0.67	0.243
6.83898	1.498	17.635	1.658	1.133	1.099	1.822	3.522	1.051	1.435	18.545	1.2	1.036	1.135	1.79	3.002	0.908	1.538	17.078	1.761	1.071	1.102	1.691	3.428	1.303	1.368	2.283	0.613	1.991	0.687	0.583	0.517	1.437	2.647	0.613	2.94	0.712	0.712	0.517	1.277	3.102	0.58	3.472	0.583	0.681	0.125
7.00567	1.533	17.708	1.653	1.224	1.255	2.112	3.946	0.95	1.665	17.531	1.294	1.063	1.227	1.689	3.264	0.97	1.939	18.002	1.958	1.231	1.358	1.655	3.758	1.303	1.629	2.35	0.574	2.027	0.659	0.712	0.482	1.67	2.785	0.543	3.207	0.742	0.709	0.546	1.35	3.335	0.673	3.838	0.449	0.581	0.383
7.17242	1.675	17.467	1.76	1.165	1.262	2.154	4.087	0.959	1.774	18.306	1.368	1.103	1.367	1.83	3.274	1.077	1.787	17.63	2.001	1.338	1.432	2.025	3.933	1.312	1.639	2.622	0.583	2.334	0.736	0.623	0.491	1.616	2.797	0.552	3.579	0.685	0.817	0.588	1.46	3.477	0.615	4.211	0.556	0.623	0.195
7.33905	1.689	17.332	1.869	1.274	1.173	2.33	4.461	1.07	1.985	17.643	1.445	1.114	1.181	1.907	3.452	1.154	1.901	17.757	2.113	1.317	1.377	1.873	4.276	1.358	1.619	2.57	0.561	2.25	0.685	0.668	0.503	1.927	3.075	0.727	3.825	0.697	0.632	0.6	1.477	3.657	0.626	4.359	0.47	0.602	0.306
7.50589	1.836	18.148	1.764	1.304	1.336	2.289	4.579	1.028	1.74	17.223	1.602	1.175	1.339	2.258	3.634	1.048	2.041	17.329	2.131	1.276	1.536	2.028	4.519	1.411	1.967	2.719	0.523	2.526	0.6	0.723	0.46	1.841	3.347	0.622	4.032	0.656	0.721	0.657	1.584	3.801	0.588	4.696	0.493	0.658	0.232
7.67237	1.828	17.38	1.948	1.355	1.255	2.67	5.422	1.18	2.026	17.4	1.556	1.292	1.424	2.214	4.051	1.134	2.07	18.1	2.286	1.428	1.358	2.311	4.775	1.401	1.892	3.039	0.542	2.848	0.757	0.646	0.547	1.966	3.277	0.707	4.257	0.676	0.644	0.645	1.612	3.893	0.509	5.085	0.449	0.581	0.252
7.83904	2.306	17.089	1.937	1.41	1.376	2.822	5.146	1.266	2.111	17.57	1.446	1.249	1.446	2.595	4.365	1.22	2.25	16.465	2.272	1.416	1.511	2.201	5.055	1.388	1.878	3.123	0.531	3.127	0.644	0.634	0.469	1.983	3.556	0.63	4.765	0.73	0.697	0.567	1.792	4.009	0.563	5.724	0.699	0.601	0.175
8.00581	2.135	16.22	1.858	1.461	1.295	2.942	5.498	1.123	2.365	17.026	1.663	1.268	1.367	2.453	4.489	1.241	2.542	17.301	2.46	1.437	1.563	2.419	5.542	1.476	2.098	3.049	0.484	3.22	0.572	0.754	0.655	1.977	3.683	0.716	5.057	0.75	0.718	0.555	1.854	4.331	0.615	6.05	0.556	0.688	0.163
8.17245	2.226	17.125	1.984	1.554	1.487	3.198	5.59	1.216	2.325	17.899	1.723	1.262	1.361	2.513	4.58	1.268	2.336	16.565	2.486	1.431	1.755	2.347	5.665	1.568	2.19	3.501	0.479	3.245	0.63	0.748	0.583	2.199	3.872	0.743	5.245	0.646	0.647	0.582	1.912	4.29	0.511	6.992	0.55	0.682	0.255
8.33919	2.423	16.731	2.082	1.456	1.487	3.296	6.41	1.216	2.424	17.899	1.658	1.295	1.558	2.808	5.171	1.235	2.533	16.664	2.749	1.562	1.525	2.511	5.96	1.568	2.19	3.337	0.479	3.606	0.761	0.715	0.583	2.199	3.937	0.513	5.869	0.679	0.712	0.582	2.01	4.487	0.577	7.189	0.419	0.617	0.19
8.5058	2.32	16.297	2.145	1.453	1.451	3.26	6.669	1.278	2.551	18.384	1.753	1.391	1.523	2.805	5.265	1.363	2.529	16.69	2.581	1.559	1.555	2.836	6.481	1.467	1.99	3.695	0.542	3.93	0.626	0.712	0.416	2.392	4.064	0.609	5.963	0.742	0.742	0.579	2.137	4.483	0.706	7.972	0.515	0.581	0.187
8.67256	2.681	17.183	1.981	1.617	1.55	3.49	6.636	1.41	2.551	17.006	1.753	1.358	1.359	3.002	5.593	1.462	2.66	17.149	2.745	1.559	1.719	2.967	6.678	1.532	2.318	3.793	0.542	4.553	0.659	0.548	0.482	2.458	4.36	0.838	6.848	0.676	0.939	0.579	2.203	5.107	0.673	8.267	0.515	0.679	0.187
8.83915	2.747	16.921	2.178	1.683	1.747	3.687	7.161	1.377	2.879	18.089	1.819	1.489	1.523	3.297	6.184	1.363	2.759	16.854	2.876	1.625	1.555	2.934	6.94	1.729	2.482	3.727	0.739	4.619	0.725	0.646	0.482	2.655	4.819	0.74	7.505	0.742	0.709	0.678	2.465	5.008	0.574	8.497	0.547	0.778	0.187
9.00591	2.874	16.487	2.076	1.647	1.646	3.88	7.78	1.472	2.941	16.901	1.848	1.585	1.914	3.425	6.081	1.262	2.853	16.65	2.938	1.654	1.519	3.128	7.264	1.627	2.511	4.019	0.539	5.041	0.622	0.741	0.544	2.651	4.552	0.54	7.992	0.575	0.739	0.445	2.592	5.004	0.67	9.804	0.347	0.676	0.151
9.1726	2.98	17.092	2.148	1.85	1.684	4.182	8.477	1.413	2.883	17.078	1.92	1.59	1.821	3.464	6.483	1.596	3.091	16.861	3.044	1.857	1.722	3.528	7.568	1.667	2.715	4.092	0.479	5.214	0.663	0.616	0.583	2.691	4.659	0.743	8.264	0.646	0.647	0.779	2.666	5.078	0.577	9.618	0.518	0.781	0.058
9.33928	3.054	17.73	2.219	1.756	1.754	4.288	8.683	1.517	3.252	17.453	2.024	1.53	1.728	3.832	7.115	1.701	3.1	17.203	2.986	1.765	1.957	3.634	8.694	1.739	2.722	4.231	0.681	5.748	0.572	0.721	0.556	2.864	5.029	0.716	9.358	0.75	0.817	0.654	2.872	5.021	0.583	10.974	0.556	0.688	0.163
9.50589	3.031	17.588	2.3	1.872	1.837	4.3	9.641	1.499	3.065	17.774	1.908	1.71	1.842	3.746	7.09	1.485	3.533	16.439	3.226	1.911	1.907	3.515	8.894	1.752	2.898	4.208	0.533	6.803	0.746	0.735	0.44	3.003	5.002	0.699	9.916	0.667	0.7	0.669	3.272	5.455	0.566	10.973	0.604	0.506	0.243
9.67264	3.412	16.878	2.259	1.962	1.731	4.781	9.693	1.555	3.348	17.492	1.932	1.669	1.702	4.194	7.568	1.64	3.519	16.517	3.215	1.836	2.03	3.8	9.142	1.807	3.084	4.393	0.525	6.756	0.702	0.628	0.562	3.09	5.251	0.592	9.9	0.626	0.724	0.529	3.127	5.246	0.558	11.907	0.595	0.661	0.267
9.83936	3.361	17.358	2.326	2.06	1.861	4.955	10.305	1.724	3.362	18.622	2.165	1.736	1.868	4.336	8.639	1.677	3.507	17.191	3.358	2.07	1.966	3.841	9.628	2.045	3.028	4.505	0.558	7.338	0.583	0.566	0.565	3.27	5.01	0.659	10.589	0.694	0.662	0.663	3.575	5.46	0.624	12.864	0.467	0.632	0.204
10.00593	3.71	17.041	2.318	2.052	2.017	4.911	10.554	1.813	3.646	18.142	2.156	1.891	1.925	4.259	8.264	1.799	3.691	16.678	3.412	2.028	2.088	3.962	9.58	2.035	3.116	4.92	0.648	7.718	0.637	0.557	0.556	3.422	5.587	0.716	11.557	0.586	0.751	0.654	3.364	5.579	0.615	13.601	0.458	0.491	0.163
10.17256	3.67	17.65	2.279	2.145	1.881	5.232	10.742	1.708	4.032	17.275	2.117	1.918	1.821	4.744	8.649	1.793	3.977	17.254	3.503	2.021	1.951	4.217	10.489	1.929	3.306	4.617	0.577	8.791	0.761	0.748	0.485	3.545	5.381	0.513	12.136	0.646	0.647	0.648	3.651	5.537	0.479	14.737	0.452	0.715	0.091
10.33934	3.776	16.023	2.383	2.15	2.116	5.568	11.605	1.846	4.072	16.829	2.254	1.891	2.056	4.751	8.986	1.799	3.888	17.301	3.609	2.126	2.187	4.75	10.729	2.133	3.707	4.888	0.648	9.392	0.736	0.721	0.425	3.75	5.62	0.716	13.166	0.685	0.751	0.654	3.857	5.874	0.615	15.833	0.524	0.82	0.261
10.50602	4.178	16.867	2.398	2.134	2.1	5.906	11.903	2.023	4.048	17.61	2.138	2.005	2.17	4.926	9.352	1.78	3.861	16.964	3.685	2.239	2.333	4.531	11.55	2.145	3.685	4.962	0.566	9.262	0.615	0.637	0.407	3.889	5.461	0.502	14.047	0.766	0.831	0.538	4.19	5.816	0.566	16.415	0.538	0.801	0.276
10.67271	4.153	17.209	2.47	2.435	2.171	6.242	12.011	2.03	4.286	17.787	2.242	2.011	2.143	4.835	9.853	1.951	4.362	17.601	3.66	2.54	2.339	4.834	12.61	2.119	3.758	5.2	0.441	10.519	0.721	0.643	0.446	4.127	5.667	0.639	15.142	0.771	0.936	0.576	4.134	5.759	0.506	16.987	0.544	0.61	0.184
10.8393	4.318	17.069	2.428	2.49	2.488	6.273	13.563	2.056	4.483	18.136	2.365	2.133	2.298	5.522	10.484	2.074	4.596	17.198	3.789	2.336	2.462	4.765	12.459	2.278	3.788	5.002	0.495	11.287	0.652	0.635	0.47	4.358	6.0	0.563	14.899	0.795	0.73	0.502	4.171	6.055	0.626	17.7	0.667	0.734	0.174
11.0062	4.72	18.339	2.509	2.539	2.373	6.545	13.334	2.036	4.294	17.604	2.248	2.181	2.182	5.499	11.11	2.154	4.469	17.911	3.897	2.251	2.641	5.235	13.212	2.323	4.257	4.912	0.446	11.744	0.63	0.551	0.485	4.496	5.972	0.513	16.829	0.745	0.647	0.484	4.504	5.866	0.61	17.788	0.714	0.781	0.255
11.1727	4.597	17.664	2.613	2.577	2.313	7.177	14.789	2.141	4.401	18.602	2.517	2.318	2.45	5.802	11.416	2.095	4.84	16.809	3.97	2.455	2.384	5.439	13.552	2.363	4.2	4.888	0.583	11.986	0.736	0.754	0.589	4.308	5.916	0.716	17.401	0.75	0.62	0.654	4.907	5.743	0.681	19.543	0.556	0.59	0.195
