	MG1655-1	HEXA4-10_1	HEXA7-2_1	ompR-1	proQ-1	ompC-1	ompR_proQ-1	ompR_ompC-1	MG1655-2	HEXA4-10_2	HEXA7-2_2	ompR-2	proQ-2	ompC-2	ompR_proQ-2	ompR_ompC-2	MG1655-3	HEXA4-10_3	HEXA7-2_3	ompR-3	proQ-3	ompC-3	ompR_proQ-3	ompR_ompC-3	proQ_ompC-1	ompR_proQ_ompC-1	MG1655-1dup	IBUA8-3_1	phoU-1	cheR-1	rph-1	proQ_ompC-2	ompR_proQ_ompC-2	MG1655-2dup	IBUA8-3_2	phoU-2	cheR-2	rph-2	proQ_ompC-3	ompR_proQ_ompC-3	MG1655-3dup	IBUA8-3_3	phoU-3	cheR-3	rph-3
22.50718	13.584	20.658	3.101	7.736	6.219	14.254	15.762	8.915	13.617	20.638	3.071	8.399	5.867	15.379	16.793	8.539	14.095	20.952	5.124	8.57	6.096	14.587	16.798	9.172	9.137	6.141	0.805	30.958	1.494	1.045	0.715	9.908	5.728	1.071	31.482	1.764	1.14	0.911	10.38	6.669	1.726	31.028	1.735	1.21	0.88
22.67392	13.821	20.041	3.236	7.773	6.157	13.832	16.492	8.295	12.768	21.106	3.173	8.337	6.331	14.102	16.636	8.741	13.905	20.104	4.996	8.97	5.935	13.047	15.784	8.98	8.977	6.112	0.906	31.758	1.695	0.95	0.784	10.045	5.831	1.14	30.604	1.8	1.275	0.98	10.288	6.509	1.992	31.467	1.936	1.147	1.015
22.84052	13.053	20.512	3.213	7.744	5.902	14.942	15.923	8.327	13.743	20.889	3.183	8.208	6.238	13.929	18.561	8.74	13.922	21.232	4.869	8.936	6.302	14.354	16.067	8.649	9.041	5.984	0.854	30.237	1.536	1.059	0.697	10.202	5.93	0.954	32.108	1.843	1.22	0.893	10.442	6.544	1.806	30.21	2.011	1.388	0.96
23.00715	11.855	21.062	3.157	7.756	6.143	15.355	16.27	8.638	13.171	20.714	3.062	8.484	5.822	14.078	17.267	8.886	13.647	21.618	5.013	8.786	6.018	14.536	15.758	8.762	9.352	6.226	0.961	30.17	1.547	0.97	0.87	9.43	6.01	1.029	32.732	1.952	1.164	1.067	10.362	6.656	1.684	32.247	1.956	1.233	1.068
23.17387	13.097	20.37	3.137	7.542	5.993	13.898	16.624	8.493	13.064	20.711	3.206	8.304	5.541	14.925	16.734	9.07	14.201	21.19	5.029	9.101	6.198	14.264	15.521	8.783	9.076	6.342	0.906	29.915	1.761	1.147	0.784	9.716	6.028	0.975	32.808	2.096	1.176	0.914	10.748	6.772	1.696	33.474	1.936	1.345	1.015
23.3405	12.876	20.627	3.01	8.195	5.698	15.554	15.222	8.449	12.746	20.94	3.045	7.805	5.737	14.508	17.332	8.764	13.547	21.118	4.959	8.73	6.163	13.817	16.153	8.934	9.293	6.172	1.045	30.709	1.626	1.02	0.855	9.993	5.92	1.113	31.299	1.87	1.345	0.887	10.035	6.995	1.8	31.569	2.07	1.315	0.888
23.50726	12.889	20.643	3.148	7.12	5.803	14.745	16.022	8.623	12.528	21.612	3.085	7.978	6.041	15.144	16.524	9.036	14.053	20.411	4.968	8.575	5.58	13.303	15.377	9.437	9.041	5.918	0.952	30.402	1.568	1.059	0.697	10.005	5.798	1.119	31.812	1.745	1.22	0.959	10.869	7.201	1.872	30.605	1.945	1.223	1.058
23.67398	11.975	20.815	3.085	7.814	5.807	14.028	16.192	8.464	12.731	21.915	3.187	8.311	6.307	14.428	17.418	9.172	14.027	21.142	4.906	8.152	6.175	13.736	15.778	8.818	9.506	6.415	0.889	31.201	1.572	1.062	0.864	10.076	6.0	1.056	30.476	1.847	1.519	0.995	10.316	7.304	1.908	31.995	2.014	1.522	0.996
23.8406	12.778	20.988	3.142	7.736	5.665	14.733	16.01	8.252	12.516	21.958	3.045	8.298	5.475	14.541	16.478	9.453	14.302	21.085	5.091	8.369	5.901	14.145	15.561	8.934	9.326	5.975	0.98	31.103	1.56	1.053	0.855	9.862	6.019	1.211	31.134	1.936	1.247	1.051	10.889	7.126	1.899	30.256	2.004	1.315	0.987
24.00731	12.498	20.79	3.134	7.834	6.055	14.057	15.367	8.685	13.189	21.329	2.907	8.234	5.932	13.471	16.135	8.769	15.247	21.248	4.827	8.768	5.8	13.535	15.909	9.074	9.367	6.338	1.167	31.747	1.658	1.177	0.715	9.908	6.221	1.137	31.021	1.994	1.272	1.076	10.775	6.965	2.187	29.976	2.031	1.243	1.012
24.17387	12.745	21.547	3.142	7.703	5.369	14.504	15.452	8.646	12.352	22.385	3.144	8.199	5.836	14.541	17.201	8.731	13.908	20.395	4.894	8.631	5.901	14.047	15.332	9.295	9.786	6.205	1.045	31.366	1.659	1.118	0.888	10.158	6.511	1.113	32.415	2.034	1.214	1.15	10.856	7.028	1.964	30.781	2.366	1.48	1.085
24.34074	12.71	20.536	3.026	7.822	5.715	15.486	16.369	8.572	12.973	20.714	3.16	7.695	5.724	14.67	16.149	8.525	13.285	21.618	5.111	8.885	5.394	14.043	15.561	8.927	9.516	6.424	1.092	31.715	1.679	1.068	0.903	10.285	6.01	1.325	31.253	2.05	1.262	1.067	10.888	7.511	1.98	32.444	2.317	1.43	1.167
24.50722	12.729	21.086	3.167	7.933	5.495	13.892	15.433	8.356	13.058	20.901	3.071	8.399	5.439	14.359	17.09	8.999	13.404	20.952	4.992	8.965	5.47	13.896	15.317	9.041	9.762	6.535	1.2	30.3	1.757	1.243	1.077	10.697	6.221	1.235	32.6	2.06	1.469	1.175	11.038	7.623	2.187	31.325	2.426	1.605	1.209
24.67399	12.169	21.152	3.167	7.867	5.43	14.221	15.038	8.027	12.992	22.316	3.302	8.3	5.669	14.162	16.135	8.802	13.964	21.577	4.992	8.965	5.635	13.864	15.284	8.942	9.828	6.404	1.101	32.044	1.658	1.243	0.913	10.204	6.353	1.235	31.811	2.06	1.436	1.109	10.38	7.459	2.055	31.95	2.229	1.407	1.209
24.84073	11.954	22.278	3.322	7.427	5.584	14.007	15.152	8.999	12.184	21.733	3.062	8.287	5.296	13.749	16.018	8.623	13.482	21.651	5.078	8.458	5.887	14.043	15.495	9.551	9.549	6.489	1.191	31.617	1.778	1.167	0.969	10.614	6.634	1.259	31.581	2.248	1.361	1.362	11.315	7.839	2.046	31.885	2.383	1.43	1.265
25.00741	13.419	21.316	3.167	7.538	5.528	14.32	14.15	8.586	12.992	22.743	3.302	7.839	5.307	14.59	16.662	8.736	13.964	21.577	4.827	8.603	5.635	14.456	14.692	8.942	9.926	6.7	1.2	30.695	1.757	1.177	0.913	10.631	6.353	1.466	32.107	1.994	1.37	1.175	11.334	8.248	2.088	30.272	2.393	1.506	1.341
25.17406	12.292	21.547	3.179	7.62	5.542	14.343	14.765	8.178	13.609	22.446	3.315	8.021	5.454	14.68	15.832	8.657	13.531	21.61	5.041	8.589	5.749	14.019	15.639	9.094	10.277	6.52	1.211	31.725	1.707	1.157	1.024	10.82	6.471	1.379	32.314	2.007	1.449	1.121	10.866	7.938	2.1	32.058	2.341	1.552	1.189
25.34081	12.899	21.16	3.268	7.674	5.696	14.951	14.55	8.46	12.866	21.863	3.173	8.337	5.574	13.74	15.056	9.004	13.609	22.046	4.93	9.266	5.902	14.1	14.83	8.848	10.261	6.803	1.203	31.692	1.892	1.18	1.015	10.604	6.654	1.469	32.315	2.162	1.374	1.375	11.012	8.319	2.157	31.072	2.496	1.509	1.278
25.50753	12.301	21.613	3.265	7.834	5.594	13.794	14.611	8.29	12.992	22.349	3.17	8.958	5.636	14.557	15.806	8.967	12.878	22.63	5.025	8.965	5.8	14.094	14.56	8.975	10.453	7.128	1.2	30.859	1.79	1.275	0.979	10.927	6.715	1.367	31.482	1.994	1.469	1.306	11.038	8.117	2.285	30.634	2.525	1.703	1.209
25.67406	12.65	21.399	3.325	7.662	5.521	13.881	15.027	8.577	12.092	22.201	3.098	8.094	5.629	14.545	14.676	9.187	13.292	22.153	5.017	8.265	5.364	14.345	13.66	8.734	10.014	6.921	1.194	31.627	1.65	1.269	1.005	11.113	7.231	1.624	31.099	2.086	1.331	1.267	11.42	8.502	2.279	31.304	2.584	1.697	1.334
25.84073	13.426	22.016	3.104	7.608	5.433	14.129	14.649	8.657	12.768	21.534	3.009	7.712	5.311	14.497	14.727	8.971	13.082	21.783	4.996	8.608	5.474	14.067	13.908	9.046	10.359	6.606	1.268	30.277	1.761	1.246	1.015	11.263	7.213	1.436	32.117	2.162	1.439	1.276	11.9	8.253	2.354	31.072	2.496	1.509	1.179
26.00747	11.532	21.596	3.259	7.497	5.521	14.111	13.185	8.248	12.585	22.136	3.098	8.192	5.431	14.742	14.709	8.858	13.391	21.561	5.115	8.166	5.463	13.622	13.791	8.636	9.85	7.119	1.161	30.476	1.782	1.236	1.104	10.784	7.132	1.328	31.493	2.185	1.43	1.3	12.078	8.206	2.279	31.337	2.419	1.795	1.203
26.1742	12.683	21.793	3.226	7.662	5.324	13.914	13.613	8.116	13.144	21.642	3.196	8.291	5.234	14.479	14.807	8.365	12.437	21.034	5.017	8.791	5.299	13.885	13.857	8.932	10.409	7.119	1.26	31.956	1.847	1.368	1.071	10.784	7.395	1.591	32.743	2.35	1.463	1.3	11.716	8.502	2.378	31.041	2.617	1.729	1.433
26.34082	13.158	22.031	3.085	7.748	5.215	14.193	13.465	8.562	12.731	21.915	3.154	8.212	5.486	13.869	14.986	8.778	13.239	22.128	4.774	8.645	5.616	13.933	13.346	9.212	10.492	7.204	1.382	31.102	1.638	1.391	1.094	11.095	7.512	1.352	30.574	2.175	1.552	1.258	12.452	8.882	2.368	29.629	2.672	1.719	1.325
26.50756	12.874	22.607	3.256	8.315	5.518	14.04	14.199	8.671	13.171	22.194	3.094	8.188	5.329	14.144	14.078	9.051	13.581	22.309	4.98	9.279	5.394	14.142	13.095	8.828	10.305	7.41	1.257	30.729	1.942	1.331	1.002	11.107	7.588	1.588	33.061	2.248	1.525	1.461	11.874	8.661	2.44	31.819	2.679	1.726	1.43
26.67423	12.25	22.475	3.091	7.493	5.321	14.04	13.509	8.572	13.039	22.621	3.094	7.794	5.428	14.538	14.176	8.426	13.45	22.506	4.914	8.359	5.558	14.142	13.785	8.631	10.239	7.574	1.388	32.307	1.975	1.364	1.101	11.469	7.489	1.325	31.68	2.28	1.525	1.461	12.104	9.056	2.276	30.636	2.613	1.627	1.199
26.84092	12.283	22.607	3.322	7.526	5.288	13.612	13.706	8.638	12.184	22.391	3.16	7.695	5.559	14.637	14.275	8.722	13.647	22.966	5.078	8.458	5.459	13.846	13.555	8.828	10.634	7.673	1.29	31.255	1.876	1.233	1.068	11.107	7.588	1.522	31.976	2.083	1.525	1.56	12.663	9.089	2.374	30.833	2.777	1.693	1.43
27.00749	11.727	22.762	3.142	7.407	5.402	13.551	13.481	8.088	12.746	22.057	3.177	8.068	5.113	13.753	14.147	8.698	12.496	22.497	5.091	8.533	5.244	13.948	13.033	8.737	10.673	7.453	1.341	32.089	1.758	1.348	1.15	10.979	7.792	1.605	32.218	2.067	1.641	1.576	12.728	9.031	2.556	31.077	2.661	1.611	1.61
27.17415	12.232	22.943	3.246	7.415	5.376	13.267	12.835	8.13	12.068	22.466	2.888	8.208	5.219	14.06	14.191	8.248	13.133	22.481	4.869	8.476	5.35	13.401	13.012	8.747	10.585	7.659	1.544	31.42	1.93	1.355	1.157	11.352	7.868	1.71	31.845	2.468	1.549	1.353	12.511	8.975	2.463	30.309	2.701	1.683	1.453
27.34091	12.348	22.804	3.124	7.756	5.189	13.382	13.081	7.914	12.48	23.049	3.193	7.892	5.428	14.67	14.604	8.886	13.351	22.539	4.98	8.49	5.459	14.142	13.161	8.828	10.897	7.673	1.454	30.565	2.041	1.562	1.199	11.567	7.916	1.719	32.074	2.379	1.624	1.494	12.466	9.155	2.539	32.148	2.876	1.496	1.364
27.50762	12.895	22.951	3.217	7.584	5.051	13.568	13.136	7.938	12.961	22.77	2.891	7.916	5.42	13.77	14.0	8.252	12.779	22.719	4.807	8.58	5.781	13.309	13.346	8.358	10.327	7.861	1.547	32.614	1.868	1.456	1.193	11.916	8.07	1.582	32.907	2.241	1.65	1.586	13.307	9.473	2.565	33.605	2.803	1.884	1.522
27.67425	12.213	22.72	3.237	7.305	5.366	13.874	12.918	8.018	13.199	22.87	3.272	7.899	5.536	13.583	14.075	8.956	13.146	22.489	5.087	8.528	5.536	14.435	12.896	8.633	10.404	7.744	1.436	31.552	1.819	1.476	1.147	11.826	8.247	1.766	32.207	2.425	1.605	1.475	13.181	9.748	2.421	31.362	2.789	1.706	1.509
27.84092	11.888	22.87	3.157	7.526	5.156	13.777	13.377	8.145	11.757	23.936	3.062	7.695	5.132	14.341	13.749	8.755	13.088	23.525	4.914	8.293	5.163	14.175	13.391	8.96	10.733	8.068	1.553	32.537	2.041	1.397	1.166	12.027	8.64	1.785	32.042	2.248	1.657	1.658	11.808	9.779	2.572	30.504	2.876	1.989	1.462
28.00769	11.969	23.074	3.246	7.284	5.146	13.595	12.934	8.459	12.364	23.813	3.15	7.715	5.022	14.849	13.731	8.708	12.838	22.645	5.165	8.378	5.678	12.613	13.045	8.911	11.176	8.25	1.577	31.092	2.225	1.552	1.288	11.812	8.427	1.874	31.944	2.271	1.647	1.55	13.103	9.632	2.759	31.393	2.865	1.88	1.716
28.17429	12.264	23.501	3.148	7.514	5.08	14.187	13.032	8.163	13.546	23.616	3.183	7.814	5.022	13.403	13.272	7.952	12.739	23.039	5.0	8.969	5.383	13.631	13.735	8.649	11.012	8.349	1.577	32.176	1.963	1.65	1.157	11.45	8.558	1.907	32.897	2.369	1.713	1.583	12.84	9.566	2.661	30.309	2.898	1.979	1.518
28.34097	12.698	22.951	3.118	7.025	5.182	14.193	12.939	7.806	12.567	23.0	2.989	7.719	5.42	13.606	13.277	8.318	13.469	23.048	5.103	8.35	4.86	12.848	12.952	8.719	11.379	8.65	1.58	30.807	2.032	1.456	1.357	11.719	8.662	1.779	31.954	2.471	1.65	1.586	13.405	9.67	2.762	32.061	2.967	1.982	1.653
28.50769	11.643	22.834	3.198	7.198	4.932	13.534	13.465	7.779	12.137	23.444	3.265	8.186	5.004	14.326	13.44	8.487	12.935	23.456	5.177	7.469	5.266	13.602	13.311	8.591	10.656	8.752	1.562	32.253	2.008	1.568	1.239	12.011	8.827	1.793	32.153	2.517	1.795	1.534	13.2	9.344	2.71	29.667	3.044	1.962	1.535
28.67447	12.154	23.451	3.076	7.506	4.844	13.124	13.646	8.351	12.844	23.961	3.275	7.805	5.212	13.424	13.26	8.731	13.218	23.121	4.894	8.467	5.08	13.587	13.46	8.54	11.099	8.339	1.571	31.957	2.152	1.545	1.183	12.489	9.007	1.967	32.481	2.231	1.641	1.773	13.023	9.753	2.753	30.091	3.186	2.005	1.709
28.8411	11.41	23.666	3.115	7.382	4.686	13.168	12.868	8.229	11.936	23.616	3.183	8.011	5.088	13.699	13.042	8.346	12.871	23.532	4.902	8.772	5.284	13.336	13.045	8.32	10.815	8.743	1.478	31.88	2.061	1.683	1.452	12.239	9.018	1.809	32.207	2.435	1.746	1.747	13.497	9.928	2.923	31.196	2.865	2.11	1.617
29.00778	12.644	23.823	3.223	7.23	5.058	13.152	13.311	8.046	12.349	23.936	3.16	8.287	5.132	13.223	12.828	8.064	13.088	23.525	5.308	8.359	4.802	14.175	12.766	8.269	11.423	8.889	1.849	32.504	2.238	1.693	1.396	12.554	9.034	1.917	34.113	2.544	1.854	1.56	13.715	10.141	2.933	32.378	3.106	1.891	1.627
29.17444	11.398	24.206	3.142	7.276	4.942	12.763	13.646	7.825	12.746	23.895	3.078	7.575	4.982	14.016	13.162	8.435	13.645	23.679	5.255	8.336	5.244	14.047	13.328	8.934	11.296	8.668	1.636	31.892	1.922	1.644	1.446	12.292	9.303	1.999	33.499	2.461	1.739	1.773	13.516	10.311	2.851	32.719	3.154	2.071	1.61
29.34118	10.917	24.421	3.148	6.988	4.982	13.07	13.788	8.525	12.462	25.094	3.052	7.091	5.384	13.436	12.352	8.215	12.739	23.894	5.263	8.049	4.758	13.007	13.045	9.043	11.308	9.236	1.774	31.913	2.127	1.486	1.485	12.633	8.919	2.006	32.404	2.435	1.746	1.681	13.234	10.585	3.219	32.51	3.26	2.012	1.617
29.50792	11.876	23.51	3.019	7.518	4.854	13.305	13.761	7.938	11.975	24.281	3.187	8.081	4.993	13.015	13.277	8.417	12.516	24.297	5.103	8.547	4.992	13.933	13.543	8.654	11.313	9.143	1.645	31.398	2.032	1.752	1.357	12.935	9.516	2.009	34.978	2.34	1.848	1.783	14.687	10.426	3.058	32.225	3.066	2.081	1.62
29.67455	11.664	24.227	3.358	7.3	4.601	13.059	12.988	7.623	11.335	24.043	3.163	7.601	4.839	12.867	13.262	8.233	12.338	24.224	5.115	7.969	4.97	12.931	13.167	8.866	11.198	9.19	1.884	32.022	2.242	1.664	1.498	13.152	9.467	1.986	33.729	2.547	1.956	1.892	14.018	10.212	2.97	33.178	3.274	2.091	1.729
29.84115	11.661	23.977	3.142	7.506	4.778	12.96	13.35	7.924	12.056	24.684	3.177	7.772	4.785	13.687	13.227	7.844	12.496	24.566	5.091	8.566	4.981	13.324	13.066	8.441	11.756	9.62	1.735	33.074	2.152	1.644	1.38	12.719	9.532	2.098	33.302	2.428	1.903	1.773	13.746	10.607	3.147	33.802	3.252	2.071	1.61
30.00784	11.138	24.128	3.226	7.135	5.061	12.5	13.678	7.952	12.256	24.964	3.196	7.403	5.103	13.328	13.459	8.266	12.47	24.75	5.576	8.1	4.772	13.161	13.364	8.833	11.494	9.453	1.786	32.713	2.143	1.795	1.498	13.546	9.467	2.084	34.321	2.547	2.055	1.892	14.577	10.442	3.266	33.047	3.209	2.091	1.827
30.17452	11.008	23.687	3.245	7.983	4.785	13.092	13.118	8.079	12.193	24.685	3.282	7.626	5.125	12.869	13.296	8.36	12.938	24.606	5.305	8.523	4.926	13.36	13.136	8.6	11.561	9.418	1.969	33.701	2.201	1.782	1.518	12.4	9.764	2.104	32.15	2.765	1.943	1.912	14.522	10.178	3.088	33.046	3.231	2.013	1.65
30.34138	11.149	23.916	3.232	7.407	4.805	12.708	13.689	7.731	11.873	24.75	3.4	7.412	4.912	13.142	13.372	7.98	12.055	24.933	5.124	7.814	4.78	13.535	13.211	8.152	12.295	9.661	1.858	34.149	2.086	1.868	1.373	13.132	9.774	2.091	35.166	2.488	2.028	1.866	14.592	10.815	3.174	33.858	3.183	2.098	1.768
30.50786	11.101	24.304	3.143	7.122	5.012	12.395	14.002	7.679	12.187	25.401	3.476	7.72	5.121	13.686	12.599	8.257	12.272	25.355	5.301	8.518	5.416	12.959	13.822	8.2	11.753	9.578	1.801	32.01	2.164	1.812	1.515	13.942	9.791	2.133	32.929	2.564	1.841	2.073	15.107	10.831	3.151	33.134	3.128	2.141	1.943
30.67447	10.967	24.81	3.157	7.329	4.992	11.936	13.18	7.651	11.954	25.054	3.094	7.728	4.934	13.618	13.387	7.801	11.97	25.136	5.407	8.688	5.262	12.761	13.095	8.072	11.982	9.481	1.881	31.945	2.139	1.858	1.561	13.244	9.725	2.081	34.409	2.675	2.018	2.086	14.866	10.733	3.229	34.285	3.073	2.219	1.758
30.84127	11.149	24.376	3.002	7.242	5.002	12.247	13.591	7.567	12.268	24.652	3.071	7.51	5.241	13.241	12.977	7.651	11.759	24.67	5.321	7.484	4.911	12.942	13.474	8.448	12.295	9.891	1.956	33.261	2.152	1.901	1.472	13.461	9.84	2.222	33.587	2.751	1.93	1.898	14.822	10.716	3.042	33.891	3.315	2.328	2.032
31.008	10.903	24.205	3.143	7.32	5.012	13.119	13.508	7.317	11.759	25.5	3.213	7.424	4.726	12.764	12.928	7.895	12.009	24.762	5.333	8.025	5.119	13.782	13.492	8.398	12.148	10.17	1.867	33.195	2.197	1.812	1.614	13.777	10.154	2.133	34.279	2.465	2.137	1.875	15.206	10.93	3.25	32.805	3.194	2.405	1.778
31.1747	11.715	25.504	3.236	6.851	5.104	13.108	13.728	7.439	12.077	25.779	3.107	7.416	5.048	12.687	12.884	8.182	11.404	25.172	5.523	7.884	4.816	12.981	13.908	7.729	11.906	9.995	1.894	34.128	2.09	1.904	1.673	13.467	10.241	2.226	34.191	2.886	2.032	2.0	14.796	10.919	3.473	32.717	3.417	2.332	1.936
31.34136	10.875	25.641	3.095	6.807	4.995	12.335	13.81	7.656	12.092	25.852	2.999	7.272	4.905	13.525	13.459	7.609	11.779	24.652	5.609	7.509	5.101	13.424	13.397	8.636	12.284	9.947	2.082	35.212	2.538	1.992	1.597	13.744	10.026	2.314	33.828	2.744	1.923	2.155	15.07	11.034	3.233	32.849	3.472	2.289	2.123
31.50808	11.066	25.007	3.322	7.099	4.992	12.593	13.607	7.717	11.823	25.876	3.094	7.695	5.099	13.158	13.19	7.801	11.444	25.333	5.308	7.8	5.295	13.32	13.391	8.664	12.574	9.843	1.947	33.228	2.435	1.989	1.659	14.46	10.547	2.311	33.521	2.774	1.953	1.987	15.622	10.535	3.525	33.562	3.271	2.318	2.021
31.67464	10.95	24.323	3.411	6.758	4.85	12.314	13.459	7.44	12.331	24.996	3.183	7.814	5.022	12.615	13.731	7.591	12.575	25.306	5.362	8.246	4.791	13.303	14.129	8.451	13.049	10.353	1.938	34.968	2.16	1.979	1.682	14.44	10.332	2.17	33.521	2.829	2.041	2.174	15.435	11.209	3.515	34.087	3.49	2.176	1.946
31.84137	10.589	25.637	3.082	6.988	4.982	11.723	13.558	7.835	11.115	25.62	3.249	7.518	5.186	12.286	13.337	7.788	11.852	25.438	5.625	7.589	4.89	13.5	13.57	8.616	12.885	10.452	2.069	34.147	2.16	2.143	1.781	14.276	10.135	2.367	35.393	2.763	2.239	2.076	15.501	11.012	3.876	32.214	3.391	2.275	2.143
32.00803	10.014	25.336	3.124	6.704	5.156	12.889	13.673	7.191	11.56	26.336	3.16	7.399	5.099	12.862	13.387	7.867	11.97	25.432	5.637	7.668	5.098	13.419	13.785	8.828	12.475	10.205	1.947	33.721	2.271	1.858	1.659	14.263	10.152	2.18	34.639	2.839	2.018	2.152	15.556	11.193	3.624	33.233	3.665	2.318	2.021
32.17468	10.639	25.73	3.124	6.31	4.959	12.166	13.673	7.52	11.625	25.679	3.193	7.531	4.803	12.434	13.552	7.44	11.937	25.235	5.407	8.49	4.966	13.32	13.785	8.368	13.198	10.172	2.177	33.425	2.468	2.055	1.692	14.165	10.711	2.278	33.159	2.774	2.117	2.086	15.326	11.094	3.525	33.167	3.271	2.285	1.956
32.34138	11.682	25.57	3.367	6.719	5.104	11.562	13.892	7.143	10.694	25.548	3.173	7.449	5.048	13.345	13.378	7.984	11.897	25.567	5.588	7.357	4.981	12.751	13.875	8.256	12.893	10.588	2.091	33.568	2.287	1.904	1.673	13.928	10.537	2.423	34.158	2.689	2.262	2.165	15.454	11.248	3.835	34.33	3.713	2.431	2.134
32.508	11.132	25.73	3.091	6.474	5.156	11.212	13.87	7.191	11.658	26.27	3.193	7.498	5.0	13.848	13.256	7.111	11.773	25.432	5.604	7.274	5.065	12.958	13.753	8.138	12.607	10.402	1.98	33.918	2.238	2.153	1.692	13.902	10.612	2.311	33.422	2.839	2.216	2.25	15.918	10.93	3.985	33.43	3.468	2.318	2.219
32.67482	10.743	26.2	3.16	6.576	5.291	11.776	14.139	7.327	11.138	25.326	3.098	6.877	5.004	13.13	13.788	7.346	11.977	26.559	5.642	6.982	5.068	13.03	14.055	8.274	13.369	10.67	2.148	33.14	2.439	2.058	1.761	14.697	10.717	2.314	34.552	2.58	2.318	2.352	16.813	11.231	3.825	32.882	3.504	2.289	2.156
32.84156	10.842	25.97	2.897	6.379	5.16	12.072	13.81	7.294	11.368	26.378	3.065	7.009	5.234	12.144	13.919	7.115	11.648	25.836	5.74	7.377	5.068	12.569	14.153	7.912	13.27	10.374	2.148	33.6	2.472	1.992	1.761	14.467	10.52	2.413	35.407	2.678	2.219	2.484	15.629	11.494	3.726	34.888	3.669	2.42	2.255
33.00817	10.03	25.801	3.148	6.265	5.475	12.018	13.952	6.915	11.509	25.949	3.249	7.058	5.022	12.483	13.666	7.328	12.016	26.095	5.46	7.458	5.185	12.35	13.472	7.893	13.969	10.55	2.135	33.457	2.521	2.176	1.65	14.079	10.891	2.499	33.291	2.763	2.206	2.273	15.534	11.472	4.073	33.2	3.588	2.373	2.044
33.17474	9.707	26.632	3.118	6.663	5.314	11.235	14.221	7.018	11.449	25.924	2.989	7.095	5.223	12.587	14.066	7.497	11.859	25.907	5.727	7.331	5.485	12.454	14.135	7.602	13.153	10.884	2.237	33.6	2.427	2.081	1.85	14.743	10.995	2.502	33.729	2.767	2.242	2.342	16.034	11.116	3.814	32.258	3.362	2.475	2.245
33.34152	10.31	26.059	3.256	6.375	5.518	10.686	14.495	6.665	11.329	26.336	3.094	7.169	5.23	12.434	13.848	7.308	11.641	26.254	5.802	7.373	5.459	12.432	13.785	8.039	12.804	11.191	2.144	33.819	2.271	2.055	1.955	14.888	10.316	2.476	34.047	2.741	2.446	2.152	16.049	11.292	3.92	35.37	3.665	2.417	2.12
