	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	HEXA6-9_1	ompR-1	proQ-1	ompR_proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	HEXA6-9_2	ompR-2	proQ-2	ompR_proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	HEXA6-9_3	ompR-3	proQ-3	ompR_proQ-3
39.67474	7.934	29.685	24.382	26.65	18.295	10.455	9.83	17.789	7.298	29.856	11.514	26.094	18.161	8.775	9.598	17.094	8.498	28.633	22.212	26.419	18.278	9.328	9.177	19.08
39.84134	7.544	30.251	24.324	26.742	18.144	10.563	9.733	17.585	7.174	29.511	11.652	26.127	18.275	8.885	9.589	17.561	9.018	28.638	22.124	26.481	18.304	9.435	9.197	19.989
40.00797	7.737	30.264	24.527	26.617	18.27	10.552	9.985	18.14	7.54	30.319	12.022	26.678	18.37	8.783	9.725	17.507	8.742	28.774	21.977	26.297	18.369	9.515	9.332	18.965
40.17471	7.68	29.968	24.838	26.931	18.484	10.67	10.369	17.981	7.31	30.286	12.141	26.199	18.35	9.344	9.579	17.724	8.685	29.238	22.227	26.465	18.291	9.279	9.422	19.094
40.34141	7.907	30.182	24.428	26.67	18.451	10.22	10.185	17.659	7.009	29.97	11.81	26.467	18.376	8.837	9.598	17.84	8.528	29.097	22.491	26.469	18.494	9.65	9.531	19.209
40.50798	8.222	30.383	24.013	27.06	18.517	10.559	10.442	18.691	7.27	29.931	11.829	26.68	18.355	9.361	9.673	17.795	8.604	28.64	21.746	26.536	18.417	9.691	9.372	20.077
40.67476	7.685	29.801	24.669	26.939	18.696	10.146	10.727	18.459	7.227	29.59	12.176	26.442	18.503	9.085	9.525	17.672	8.66	28.806	22.557	26.179	18.415	9.342	9.545	19.865
40.8415	7.912	29.985	23.906	27.296	18.369	10.313	10.573	18.785	7.603	30.067	12.168	26.564	18.471	9.548	10.045	18.111	8.622	29.459	22.057	26.301	18.412	9.566	9.565	19.892
41.00802	7.722	30.043	24.959	27.086	18.712	10.269	10.147	18.515	7.532	30.301	12.007	26.206	18.49	9.359	10.148	17.985	9.049	29.338	22.344	26.973	18.285	9.463	9.728	19.913
41.1748	7.691	30.045	23.678	26.918	18.791	10.651	10.292	17.938	7.321	30.157	12.416	26.392	18.539	9.267	10.118	18.384	8.46	28.932	21.506	26.57	18.686	9.817	9.52	19.901
41.34153	7.762	30.209	24.445	26.749	18.577	10.338	10.482	18.914	7.19	30.231	11.87	26.605	18.857	9.547	9.923	18.411	9.089	29.238	22.712	27.138	18.534	9.56	9.414	19.927
41.50807	8.313	30.512	24.063	27.107	18.839	10.623	10.062	18.592	7.654	30.681	11.95	26.491	18.706	9.746	10.002	18.173	8.844	29.392	22.3	26.464	18.472	9.697	9.523	19.777
41.67478	8.268	30.425	23.863	27.199	19.173	10.726	10.664	18.391	7.726	30.417	12.288	26.702	18.686	9.729	10.075	18.977	8.799	29.277	23.161	26.645	18.629	9.506	9.567	20.022
41.84153	7.941	30.177	24.432	26.858	18.793	10.633	10.102	19.227	7.695	30.257	12.167	26.065	18.719	9.344	10.042	18.983	9.002	29.764	22.403	26.599	18.663	9.618	9.887	19.968
42.00821	8.193	30.455	24.547	27.41	19.065	10.799	11.001	18.868	7.561	30.625	12.537	26.765	18.755	9.271	10.148	19.133	8.872	28.897	22.432	27.15	18.727	9.728	9.728	20.56
42.17494	8.311	30.644	23.816	27.611	18.994	10.714	10.852	18.985	7.322	30.376	12.39	26.497	19.035	9.709	10.21	18.878	8.992	29.74	22.029	26.528	18.653	9.94	9.788	20.189
42.34158	8.404	30.625	24.206	27.149	19.088	10.631	10.711	19.228	7.328	30.385	12.513	26.535	18.954	9.48	10.45	19.238	8.674	29.514	21.948	26.683	18.718	9.681	9.617	20.285
42.50829	8.236	30.338	23.994	27.208	19.251	11.019	11.161	19.315	7.72	31.009	12.521	26.828	19.088	9.519	10.398	20.229	9.122	29.282	22.263	26.86	19.059	9.625	9.977	21.628
42.6749	8.183	30.332	24.095	27.594	18.981	10.998	10.93	19.556	7.634	30.24	12.496	26.393	18.993	9.903	10.611	19.539	9.422	29.399	21.985	26.658	18.816	9.784	10.101	21.144
42.8416	8.233	30.442	24.276	27.183	19.229	10.845	10.891	19.324	7.623	30.205	12.635	26.951	18.888	10.04	10.486	18.991	9.122	29.718	22.11	26.804	19.032	10.103	9.83	20.831
43.0082	8.793	31.004	24.651	27.603	19.166	11.427	10.865	19.326	7.749	30.378	12.754	26.605	18.945	9.959	10.63	19.235	9.089	29.621	22.035	26.725	19.005	10.032	10.121	20.898
43.175	8.546	30.484	23.988	27.616	19.33	11.417	10.766	19.839	7.797	30.448	12.89	26.971	19.079	10.065	10.178	19.633	9.402	29.162	21.078	27.15	18.962	9.551	9.904	20.737
43.34171	8.461	30.954	24.417	27.726	19.222	10.976	10.975	19.182	7.684	30.74	12.746	26.815	19.119	9.657	10.356	19.853	9.434	29.362	22.211	26.759	19.18	10.316	10.142	21.34
43.50831	8.428	31.191	23.841	27.527	19.448	11.034	11.089	19.663	7.561	30.595	13.008	27.236	19.256	9.977	10.59	20.281	9.255	29.25	22.285	27.032	18.962	10.199	10.11	20.737
43.67501	8.38	31.034	24.268	27.633	19.52	11.221	11.1	20.239	8.309	30.879	13.284	26.811	19.181	10.253	10.512	19.677	9.324	29.415	22.094	27.138	19.093	10.032	10.209	21.252
43.84172	8.284	31.072	23.945	27.726	19.369	11.094	10.798	19.624	7.949	30.681	12.864	26.668	19.325	9.569	10.208	19.853	9.64	29.451	22.476	27.113	19.209	10.404	10.555	21.251
44.00836	8.693	30.897	24.164	28.057	19.507	11.152	11.119	20.134	7.885	30.978	12.92	26.942	19.285	9.889	10.708	20.958	9.697	29.427	21.549	26.944	19.168	10.434	10.287	21.738
44.17511	9.034	30.866	24.482	27.435	19.379	11.491	11.194	19.717	8.02	30.741	13.201	27.144	19.452	10.318	10.988	20.568	9.595	29.836	22.13	27.146	19.424	10.36	10.303	21.701
44.34169	8.533	30.837	24.659	27.612	19.615	11.491	11.194	20.807	7.814	31.065	13.172	27.085	19.217	10.171	10.988	20.038	9.536	29.424	21.954	26.616	19.189	9.948	10.303	21.495
44.50841	8.759	31.041	23.666	27.777	19.497	11.125	11.422	20.234	8.073	30.973	13.31	26.718	19.601	10.016	10.829	20.458	9.554	29.8	21.901	27.135	19.427	10.227	10.174	21.501
44.67501	8.638	31.178	23.852	27.849	19.826	11.328	11.538	20.364	7.895	30.754	12.451	26.848	19.635	10.428	10.619	20.2	9.344	29.549	21.878	27.089	19.521	10.369	10.201	21.508
44.84164	8.305	31.306	23.793	27.587	19.852	11.526	11.324	20.96	8.007	30.733	13.124	27.207	19.515	10.185	10.877	20.525	9.365	29.704	21.996	27.034	19.223	10.389	10.31	21.064
45.00842	8.507	30.929	24.314	27.969	19.534	11.223	11.381	20.956	7.888	30.767	13.238	27.114	19.464	10.243	10.87	20.748	9.773	30.031	21.625	27.15	19.381	10.675	10.186	21.788
45.17507	8.375	30.899	24.1	27.728	19.584	11.565	11.22	20.715	8.439	31.003	13.107	27.08	19.484	10.082	10.975	21.126	9.849	29.703	21.468	26.909	19.283	10.601	10.528	22.106
45.34188	8.435	30.988	24.011	27.698	20.088	11.832	11.753	20.567	8.261	31.211	13.255	26.784	19.692	10.349	11.301	20.503	9.76	29.821	21.646	27.235	19.55	10.452	10.469	21.75
45.50842	8.748	30.839	24.034	27.576	19.871	11.848	11.415	20.651	8.041	31.032	13.272	27.432	19.623	9.773	11.08	20.733	9.628	29.641	22.024	27.35	19.6	10.437	10.545	21.684
45.67519	8.817	31.162	24.501	28.087	20.081	11.705	11.844	20.954	8.326	30.994	13.462	27.169	19.746	10.352	10.998	21.584	9.873	29.626	21.799	27.506	19.607	10.735	10.94	21.965
45.84192	9.34	30.953	23.749	27.905	19.923	11.811	11.534	21.277	8.344	30.993	13.39	26.897	19.469	10.102	10.984	20.713	9.621	29.742	21.881	27.204	19.569	10.541	10.659	22.435
46.00858	9.245	31.45	24.427	28.433	20.363	12.252	11.945	21.626	8.249	31.013	13.205	27.246	19.939	10.036	11.098	22.017	9.794	29.644	21.993	27.077	19.651	10.566	10.594	22.963
46.1752	9.061	31.046	24.503	27.839	19.861	11.804	11.877	21.389	8.386	30.852	13.823	27.487	19.644	10.384	11.363	21.825	10.237	29.876	22.046	27.049	19.503	10.898	10.858	22.21
46.3418	8.881	30.916	23.561	27.822	20.014	11.266	11.638	21.343	8.267	31.553	13.673	27.144	19.678	10.235	11.182	21.656	9.819	29.802	21.548	27.27	19.389	10.982	10.766	22.426
46.50852	8.764	31.135	24.384	27.869	19.713	11.982	11.758	21.746	8.386	31.001	14.12	27.042	19.881	10.354	11.423	21.172	9.881	29.965	21.868	27.198	19.681	10.898	10.769	22.151
46.67518	8.848	31.66	23.931	27.949	20.032	12.096	11.782	21.262	8.558	31.14	13.817	27.271	19.963	10.556	11.714	21.817	10.054	30.104	21.861	27.219	19.614	11.041	11.09	22.5
46.84194	9.022	31.156	23.885	28.342	20.111	12.33	12.103	21.151	8.166	31.29	13.457	27.161	19.952	10.432	11.504	20.94	10.021	30.138	21.461	27.552	19.721	11.04	10.908	22.277
47.00868	8.774	31.048	24.788	28.058	20.156	11.993	12.062	21.727	8.243	31.153	13.446	27.233	20.146	10.332	11.285	21.933	9.833	29.794	21.565	27.387	19.914	10.941	10.986	22.884
47.1753	9.302	31.571	23.803	27.96	20.268	11.929	11.997	21.036	8.415	31.084	13.973	27.669	19.991	10.593	11.31	21.747	10.183	29.844	21.529	27.289	19.907	10.729	10.951	22.432
47.3419	8.742	31.422	23.848	28.012	20.546	12.05	12.151	21.622	8.451	31.23	14.067	27.334	20.032	10.717	11.52	21.319	10.216	29.543	21.839	27.371	19.95	11.204	11.281	22.21
47.50868	9.133	31.521	23.381	28.169	20.138	12.085	12.245	21.779	8.635	31.417	14.399	27.61	20.187	10.545	11.763	22.069	10.221	29.849	21.253	27.617	19.957	10.705	10.841	22.455
47.67531	9.094	31.038	23.151	28.197	20.179	11.988	12.116	21.925	8.563	31.143	14.27	27.58	20.05	10.474	11.843	21.718	9.946	29.785	21.766	26.963	19.967	11.47	11.307	21.988
47.84204	8.985	31.195	23.648	27.932	20.197	12.53	12.305	22.254	8.368	30.972	14.103	27.343	20.128	10.545	11.792	21.95	10.399	30.145	22.44	27.29	19.868	11.506	11.524	22.099
48.00861	9.261	31.344	24.321	27.943	20.225	11.918	12.608	21.7	8.818	31.509	14.021	27.029	19.977	10.907	11.802	21.436	9.935	30.093	21.87	27.213	19.982	11.608	11.355	22.417
48.17543	9.172	31.522	23.58	28.269	20.225	12.096	12.163	22.145	8.67	31.243	14.732	27.296	20.214	10.818	12.187	21.702	10.616	29.915	21.1	27.509	19.804	11.46	11.236	22.743
48.34208	9.252	31.395	23.468	28.238	20.473	12.768	12.123	22.349	8.805	31.708	14.336	27.769	20.165	10.984	11.853	21.56	10.4	30.354	21.316	27.448	19.933	11.601	11.523	22.069
48.50874	9.045	31.631	23.616	27.942	20.444	12.354	12.241	22.024	8.598	31.235	14.78	27.03	19.988	10.806	11.971	22.358	10.37	30.177	21.464	27.241	20.051	11.306	11.257	21.98
48.67533	9.252	31.61	23.381	28.258	20.375	12.589	12.512	22.402	8.368	31.773	14.785	27.61	20.276	11.494	11.97	22.158	10.221	30.442	21.431	27.854	20.105	11.743	11.405	22.544
48.84203	9.391	31.808	23.803	28.02	20.446	12.758	12.442	22.607	8.83	30.965	14.566	27.283	20.168	11.126	11.843	21.807	10.686	30.17	21.943	27.2	19.907	11.559	11.307	22.877
49.00886	9.261	31.463	23.432	28.358	20.403	12.451	12.637	21.967	9.025	31.568	14.999	27.651	20.243	10.67	11.802	22.087	10.438	30.004	21.425	27.509	20.13	11.608	11.621	22.151
49.17538	9.529	31.384	23.217	27.9	20.635	12.69	12.667	22.042	8.64	31.698	14.525	26.958	20.475	10.996	12.13	22.492	10.145	30.225	21.567	27.17	20.243	11.789	11.623	21.404
49.34221	9.002	31.128	23.727	28.53	20.553	13.051	12.762	22.317	9.179	31.441	15.123	27.795	20.541	10.735	12.047	22.204	10.239	30.5	21.9	27.741	20.279	11.765	11.688	22.624
49.50876	9.635	31.887	23.387	28.252	20.478	12.618	12.685	22.394	8.747	31.312	14.957	27.279	20.229	11.28	11.88	22.664	10.664	30.222	21.233	27.344	20.086	11.538	11.788	22.728
49.67553	9.677	31.592	23.187	28.433	20.812	12.72	12.785	22.485	9.054	31.343	14.969	27.786	20.297	11.084	12.307	22.315	10.648	30.195	21.567	27.495	20.272	11.848	11.712	22.173
49.84213	9.399	31.395	23.912	28.208	20.799	12.798	12.833	22.468	9.249	31.501	14.75	27.237	20.609	11.073	12.207	22.536	10.725	30.206	20.932	27.567	19.992	12.133	11.789	22.276
50.00888	9.727	31.297	23.275	28.388	20.582	12.92	12.714	22.114	9.07	31.524	14.986	27.595	20.48	11.072	12.329	22.368	10.581	29.85	22.1	27.451	20.07	11.816	11.792	22.438
50.17552	9.328	31.601	23.668	28.53	20.73	12.785	12.525	22.317	9.001	31.53	14.856	27.262	20.482	11.357	12.431	22.027	11.038	30.323	21.722	27.593	20.279	12.149	11.776	22.654
50.34225	9.784	31.749	23.35	27.854	20.355	12.975	12.655	21.906	9.515	31.531	14.957	27.237	20.55	11.22	12.119	22.033	10.666	30.029	21.05	27.537	20.258	12.045	11.966	22.808
50.50896	9.82	31.622	23.527	28.263	20.712	13.308	12.897	22.166	9.195	31.316	15.288	27.616	20.404	11.403	12.185	22.268	10.644	30.17	21.376	27.503	20.289	12.26	11.766	22.571
50.67565																								
50.8422																								
51.00882																								
51.1756																								
51.34227																								
51.5089																								
51.67569																								
51.84226																								
52.00906																								
52.17582																								
52.34242																								
52.50914																								
52.67578																								
52.84245																								
53.00904																								
53.17585																								
53.34246																								
53.50911																								
53.67571																								
53.84239																								
54.00916																								
54.17582																								
54.34257																								
54.50927																								
54.67592																								
54.84259																								
55.0093																								
55.17594																								
55.34253																								
55.50935																								
55.676																								
55.8427																								
56.00934																								
56.17596																								
56.34271																								
56.50938																								
56.67603																								
56.84264																								
57.00947																								
57.17614																								
57.34275																								
57.50954																								
57.67617																								
57.84282																								
58.00946																								
58.17616																								
58.34293																								
58.50949																								
58.67622																								
58.84292																								
59.00952																								
59.17635																								
59.3429																								
59.50966																								
59.67641																								
59.84304																								
60.00973																								
60.17642																								
60.34299																								
60.50967																								
60.67636																								
60.84315																								
61.00974																								
61.17645																								
61.3432																								
61.50979																								
61.67653																								
61.84313																								
62.00986																								
62.17655																								
62.34328																								
62.5099																								
62.67659																								
62.84323																								
63.00988																								
63.17662																								
63.34333																								
63.51																								
63.67665																								
63.84338																								
64.00999																								
64.17673																								
64.34328																								
64.51002																								
64.67671																								
64.84335																								
65.01003																								
65.1768																								
65.34341																								
65.51012																								
65.67684																								
65.84351																								
66.01015																								
66.1769																								
66.34343																								
66.51017																								
66.6769																								
66.84353																								
67.01031																								
67.1769																								
67.34354																								
67.51028																								
67.67705																								
67.84368																								
68.01036																								
68.17696																								
68.34367																								
68.51044																								
68.67706																								
68.84373																								
69.01048																								
69.17718																								
69.34374																								
69.51048																								
69.67725																								
69.84382																								
70.01054																								
70.17731																								
70.34386																								
70.51051																								
70.67731																								
70.84393																								
71.01054																								
71.17733																								
71.34396																								
71.51051																								
71.67731																								
71.84407																								
72.01061																								
72.17727																								
72.34402																								
72.51064																								
72.67734																								
72.84407																								
73.01077																								
73.17744																								
73.34407																								
73.5108																								
73.67751																								
73.84409																								
74.01092																								
74.17747																								
74.34423																								
74.51084																								
74.67749																								
74.84422																								
75.01086																								
75.17764																								
75.34436																								
75.51089																								
75.67767																								
75.84425																								
76.01095																								
76.17766																								
76.34438																								
76.51107																								
76.67762																								
76.84431																								
77.01102																								
77.17773																								
77.34439																								
77.51112																								
77.67784																								
77.84449																								
78.01107																								
78.17784																								
78.3445																								
78.5112																								
78.67789																								
78.84464																								
79.01121																								
79.17787																								
79.34461																								
79.51131																								
79.67803																								
79.84465																								
80.01139																								
80.17799																								
80.34475																								
80.51138																								
80.67799																								
80.8447																								
81.01137																								
81.17812																								
81.34469																								
81.51153																								
81.67814																								
81.84483																								
82.0114																								
82.17822																								
82.34486																								
82.5115																								
82.67815																								
82.84495																								
83.01151																								
83.17825																								
83.34493																								
83.51172																								
83.67825																								
83.845																								
84.01165																								
84.17834																								
84.34496																								
84.51166																								
84.67841																								
84.84506																								
85.01177																								
85.17854																								
85.34513																								
85.51173																								
85.67843																								
85.84509																								
86.01182																								
86.17854																								
86.34509																								
86.51183																								
86.67851																								
86.84517																								
87.01192																								
87.17859																								
87.34527																								
87.51189																								
87.6786																								
87.84536																								
88.01193																								
88.17878																								
88.34529																								
88.51195																								
88.6787																								
88.84529																								
89.01201																								
89.17868																								
89.34541																								
89.51216																								
89.6788																								
89.84539																								
90.01215																								
90.17881																								
90.34548																								
90.51224																								
90.67881																								
90.84561																								
91.01234																								
91.17892																								
91.34554																								
91.51236																								
91.6789																								
91.84577																								
92.01241																								
92.17897																								
92.34567																								
92.51242																								
92.67901																								
