	MG1655-1	PUTR3-1_1	ygaC-1	ygaC_ybeX-1	ygaC_mpl-1	ygaC_ybeX_mpl-1	PUTR8-10_1	rpsG1_mreB-1	MG1655-2	PUTR3-1_2	ygaC-2	ygaC_ybeX-2	ygaC_mpl-2	ygaC_ybeX_mpl-2	PUTR8-10_2	rpsG1_mreB-2	MG1655-3	PUTR3-1_3	ygaC-3	ygaC_ybeX-3	ygaC_mpl-3	ygaC_ybeX_mpl-3	PUTR8-10_3	rpsG1_mreB-3	rpsG1_mreB_ybeX-1	rpsG1_mreB_mpl-1	rpsG1_mreB_ybeX_mpl-1	proV_cspC-1	proV_cspC_ybeX-1	proV_cspC_mpl-1	proV_cspC_ybeX_mpl-1	rpsG1_mreB_ybeX-2	rpsG1_mreB_mpl-2	rpsG1_mreB_ybeX_mpl-2	proV_cspC-2	proV_cspC_ybeX-2	proV_cspC_mpl-2	proV_cspC_ybeX_mpl-2	rpsG1_mreB_ybeX-3	rpsG1_mreB_mpl-3	rpsG1_mreB_ybeX_mpl-3	proV_cspC-3	proV_cspC_ybeX-3	proV_cspC_mpl-3	proV_cspC_ybeX_mpl-3
0.00511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.231	0.0	0.05	0.0	0.0	0.0	0.0	0.0	-0.084	0.049	0.0	0.0	0.0	0.08	0.0	0.0	0.015
0.17167	0.174	0.141	0.14	0.012	0.139	0.04	0.468	0.333	0.178	0.142	0.108	0.0	0.0	0.076	0.242	0.212	0.045	0.042	0.01	0.085	0.111	0.046	0.208	0.246	0.109	0.076	0.11	0.016	-0.217	0.211	0.0	0.142	0.078	0.08	0.083	0.079	0.065	0.033	0.108	0.174	0.045	0.0	0.055	0.013	0.0
0.33846	0.435	0.336	0.466	0.24	0.465	0.333	0.468	0.692	0.439	0.272	0.402	0.131	0.294	0.304	0.339	0.505	0.306	0.14	0.239	0.117	0.306	0.176	0.436	0.637	0.239	0.272	0.306	0.114	-0.217	0.146	0.0	0.371	0.535	0.341	0.148	0.046	0.0	0.0	0.401	0.338	0.241	0.229	0.218	0.144	0.065
0.50509	0.65	0.257	0.844	0.489	0.746	0.482	0.585	0.906	0.591	0.389	0.65	0.412	0.64	0.487	0.556	0.887	0.424	0.322	0.617	0.401	0.523	0.457	0.522	0.954	0.454	0.552	0.522	0.527	0.0	0.363	0.02	0.587	0.85	0.591	0.399	0.197	0.186	0.151	0.551	0.488	0.489	0.447	0.536	0.229	0.25
0.67174	0.669	0.538	0.766	0.573	0.831	0.568	0.768	0.894	0.642	0.507	0.735	0.529	0.79	0.572	0.673	1.035	0.606	0.44	0.702	0.484	0.737	0.574	0.508	1.036	0.441	0.572	0.639	0.513	0.214	0.479	0.137	0.671	0.836	0.74	0.547	0.477	0.301	0.235	0.766	0.605	0.671	0.628	0.716	0.346	0.17
0.83839	0.744	0.547	0.938	0.647	0.937	0.674	0.777	1.098	0.651	0.483	0.94	0.701	0.701	0.679	0.584	1.045	0.517	0.612	0.939	0.723	0.91	0.583	0.746	1.112	0.646	0.646	0.844	0.751	0.387	0.554	0.146	1.039	0.976	0.782	0.982	0.65	0.409	0.343	0.971	0.614	0.779	0.736	0.76	0.42	0.474
1.00524	0.721	0.623	0.916	0.755	0.915	0.784	0.82	1.24	0.823	0.689	0.852	0.711	0.907	0.754	0.561	1.182	0.528	0.688	0.884	0.696	1.017	0.658	0.625	1.151	0.689	0.754	0.886	0.693	0.363	0.726	0.221	0.755	1.017	0.856	0.956	0.659	0.579	0.482	0.884	0.69	0.788	0.808	0.732	0.528	0.514
1.17174	0.761	0.532	1.02	0.762	0.857	0.888	0.631	1.409	0.83	0.696	1.022	0.783	0.783	0.793	0.633	1.223	0.599	0.629	0.923	0.9	0.926	0.665	0.73	1.191	0.728	0.728	0.893	0.799	0.37	0.635	0.228	0.827	1.057	0.863	0.964	0.633	0.587	0.522	0.955	0.892	0.762	0.816	0.903	0.535	0.554
1.33856	0.763	0.697	0.86	0.732	0.957	0.89	0.731	1.411	0.963	0.698	0.959	0.883	1.014	0.959	0.798	1.388	0.634	0.729	0.991	0.87	0.994	0.831	0.797	1.259	0.698	0.731	0.993	0.899	0.405	0.573	0.23	0.829	0.929	0.768	1.129	0.668	0.59	0.687	1.056	0.796	0.797	0.884	0.841	0.505	0.622
1.50517	0.744	0.743	0.971	0.876	1.003	0.968	0.581	1.294	0.88	0.81	0.972	0.93	1.028	0.973	0.78	1.241	0.713	0.71	1.103	0.919	1.041	0.877	0.909	1.406	0.744	0.777	1.04	0.914	0.42	0.652	0.473	0.876	1.074	0.88	1.08	0.781	0.605	0.702	0.971	0.843	0.811	0.899	0.76	0.518	0.572
1.67183	0.781	0.813	1.106	0.946	1.105	0.809	0.684	1.429	0.885	0.716	1.042	0.837	1.032	0.977	0.785	1.312	0.555	0.747	1.107	0.793	1.013	0.947	0.816	1.673	0.912	0.847	0.947	1.018	0.49	0.592	0.379	0.881	1.275	1.049	1.085	0.687	0.611	0.707	1.009	0.815	0.718	0.937	0.929	0.523	0.544
1.83855	0.692	0.756	1.082	0.89	1.081	0.981	0.496	1.34	0.895	0.791	0.986	0.944	1.009	0.921	0.663	1.322	0.662	0.854	1.018	0.935	1.153	0.99	0.76	1.291	0.823	0.856	1.022	0.93	0.532	0.667	0.389	0.955	1.088	1.059	1.063	0.795	0.785	0.521	0.92	0.856	0.793	0.948	0.94	0.532	0.685
2.00516	0.888	0.724	1.049	0.89	1.081	0.916	0.496	1.275	0.797	0.725	0.953	0.846	0.944	1.019	0.663	1.322	0.662	0.756	1.117	1.0	1.121	0.957	0.629	1.39	0.856	0.888	1.12	0.864	0.532	0.602	0.389	0.857	1.252	1.092	0.998	0.762	0.621	0.553	0.92	0.955	0.924	0.915	1.005	0.565	0.685
2.17201	0.762	0.761	0.956	0.895	0.988	0.92	0.599	1.344	0.965	0.697	1.056	1.015	1.145	1.024	0.799	1.327	0.634	0.826	1.056	1.104	1.158	1.027	0.863	1.231	0.926	0.795	1.06	0.837	0.439	0.672	0.393	0.862	1.159	0.998	1.003	0.669	0.79	0.525	1.088	0.828	0.928	0.92	0.88	0.471	0.592
2.3386	0.906	0.741	1.067	0.876	1.001	0.834	0.579	1.358	0.882	0.743	1.169	0.963	1.028	1.104	0.748	1.376	0.778	0.971	1.07	1.022	1.206	0.911	0.844	1.51	0.972	0.874	1.14	0.688	0.617	0.588	0.408	0.974	1.272	1.112	1.019	0.782	0.839	0.638	1.003	1.039	0.943	1.035	0.963	0.583	0.575
2.50535	0.895	0.828	0.991	0.864	1.023	0.922	0.601	1.445	0.902	0.797	0.993	0.919	1.049	0.994	0.703	1.33	0.669	0.926	0.96	0.91	1.128	0.866	0.669	1.43	0.863	0.961	1.16	0.839	0.507	0.576	0.396	1.093	1.456	1.001	1.071	0.77	0.694	0.528	1.123	1.027	0.898	0.923	0.949	0.637	0.595
2.67194	0.881	0.717	0.945	0.883	1.075	0.876	0.653	1.333	0.855	0.817	1.045	0.937	1.035	0.98	0.722	1.51	0.622	0.913	0.914	0.796	1.113	0.95	0.851	1.512	0.914	0.947	1.048	0.824	0.492	0.594	0.349	1.046	1.277	0.986	0.99	0.755	0.515	0.546	0.978	1.013	1.015	0.711	0.932	0.46	0.482
2.83861	0.867	0.636	0.962	0.902	0.994	0.926	0.507	1.416	0.875	0.802	0.998	1.054	1.053	0.9	0.708	1.335	0.64	0.833	1.063	0.85	1.067	1.002	0.673	1.436	0.867	0.9	0.969	0.877	0.511	0.614	0.4	1.098	1.363	1.203	1.011	0.676	0.798	0.664	1.193	0.933	1.099	0.863	0.954	0.544	0.666
3.00539	0.69	0.623	1.047	0.855	1.079	0.913	0.658	1.403	0.958	0.821	0.984	0.909	1.039	0.919	0.792	1.319	0.627	0.917	1.016	0.899	1.118	0.889	0.725	1.42	0.952	0.886	1.118	0.764	0.53	0.599	0.452	1.051	1.446	1.089	0.962	0.597	0.684	0.551	1.081	0.952	0.987	1.011	0.872	0.464	0.552
3.17196	0.698	0.665	0.991	0.799	1.088	0.889	0.47	1.314	0.902	0.699	0.993	0.951	1.212	0.928	0.703	1.461	0.636	0.926	1.058	0.91	1.193	0.768	0.931	1.496	0.961	0.994	1.062	0.937	0.507	0.609	0.396	1.061	1.259	1.165	1.071	0.868	0.727	0.757	1.221	1.06	1.029	0.956	0.949	0.637	0.562
3.33873	0.776	0.645	1.036	0.941	1.003	0.87	0.646	1.425	0.88	0.679	1.038	0.93	1.028	1.005	0.78	1.6	0.713	0.743	1.135	0.919	1.041	0.877	0.909	1.504	1.038	0.94	1.106	0.751	0.387	0.554	0.342	1.268	1.433	1.076	0.949	0.683	0.671	0.637	1.2	1.039	0.909	0.932	0.825	0.453	0.637
3.50537	0.788	0.721	1.178	0.855	1.014	0.979	0.559	1.534	0.86	0.723	1.049	0.909	0.909	0.984	0.727	1.418	0.659	0.754	1.049	0.899	1.151	0.955	0.758	1.583	1.017	0.886	1.216	0.862	0.497	0.566	0.386	1.28	1.282	1.154	0.962	0.662	0.618	0.551	1.212	1.116	1.085	1.011	0.872	0.464	0.487
3.67201	0.664	0.663	1.185	0.96	1.021	0.985	0.697	1.508	0.769	0.697	1.056	0.916	1.046	1.024	0.799	1.36	0.568	0.63	1.219	0.907	1.158	0.864	0.83	1.526	1.057	0.991	1.223	0.935	0.537	0.508	0.328	1.157	1.486	1.26	0.97	0.669	0.528	0.525	1.186	1.156	1.092	0.855	0.88	0.635	0.658
3.83871	0.774	0.61	1.034	0.939	1.066	0.901	0.644	1.39	0.845	0.807	1.068	0.928	0.993	1.003	0.778	1.402	0.646	0.741	1.035	0.818	1.136	0.777	0.744	1.599	1.134	1.068	1.299	0.912	0.515	0.65	0.47	1.168	1.463	1.172	0.947	0.746	0.701	0.504	1.198	1.102	1.103	0.831	0.92	0.647	0.635
4.00542	0.744	0.612	0.971	0.876	1.101	0.87	0.646	1.49	0.945	0.679	1.168	1.093	1.126	1.005	0.911	1.502	0.746	0.841	1.135	0.984	1.139	0.877	0.909	1.7	1.201	1.136	1.302	0.914	0.518	0.456	0.342	1.268	1.531	1.24	0.884	0.781	0.703	0.539	1.265	1.202	1.269	0.932	0.923	0.714	0.67
4.17218	0.735	0.538	1.092	0.932	1.157	0.894	0.67	1.514	0.87	0.67	1.159	0.921	1.182	1.061	0.705	1.492	0.737	0.636	1.093	1.006	1.031	0.835	0.933	1.754	1.127	1.127	1.324	0.806	0.41	0.479	0.333	1.226	1.456	1.229	0.971	0.673	0.758	0.627	1.289	1.029	1.357	0.921	0.846	0.607	0.627
4.33886	0.776	0.612	1.199	0.941	1.101	0.87	0.744	1.523	0.945	0.712	1.234	0.93	1.093	1.103	0.78	1.502	0.713	0.71	1.201	0.984	1.106	0.845	0.909	1.602	1.136	0.973	1.4	0.751	0.485	0.489	0.309	1.268	1.629	1.37	0.949	0.683	0.605	0.604	1.363	1.235	1.367	0.899	0.858	0.453	0.67
4.50546	0.77	0.508	1.029	0.967	1.159	0.864	0.77	1.581	0.84	0.509	1.129	1.021	1.217	1.096	0.806	1.69	0.706	0.736	1.096	0.911	1.229	0.838	0.837	1.659	1.031	1.162	1.294	0.743	0.51	0.58	0.433	1.326	1.654	1.265	0.941	0.741	0.695	0.499	1.454	1.293	1.359	0.924	0.817	0.544	0.564
4.67222	0.744	0.645	1.069	1.072	1.068	1.066	0.679	1.817	0.945	0.712	1.168	0.93	1.191	1.169	0.813	1.698	0.713	0.71	1.201	0.984	1.139	0.877	0.942	1.765	1.234	1.234	1.4	0.947	0.583	0.652	0.473	1.268	1.727	1.436	0.884	0.683	0.965	0.604	1.657	1.235	1.465	0.899	0.988	0.518	0.572
4.83886	0.737	0.639	1.258	0.934	1.061	0.994	0.542	1.777	0.84	0.705	1.129	0.923	1.119	0.998	0.871	1.625	0.706	0.801	1.128	0.911	1.262	0.936	0.935	1.888	1.292	1.325	1.425	0.841	0.674	0.743	0.368	1.555	1.458	1.363	0.876	0.676	0.598	0.597	1.585	1.293	1.392	0.924	0.98	0.609	0.532
5.0055	0.672	0.541	1.16	0.967	1.192	1.06	0.77	2.006	0.873	0.672	1.161	1.086	1.119	0.998	0.871	1.886	0.706	0.703	1.226	1.106	1.229	0.936	1.131	1.79	1.39	1.26	1.523	0.907	0.38	0.58	0.433	1.555	1.948	1.526	0.941	0.643	0.565	0.531	1.487	1.423	1.392	0.989	0.849	0.544	0.63
5.17218	0.672	0.541	1.16	0.771	1.061	0.962	0.77	1.712	0.971	0.509	1.227	1.021	1.282	0.966	0.969	1.788	0.641	0.703	1.292	0.911	1.164	0.968	1.066	1.888	1.129	1.26	1.621	0.907	0.608	0.743	0.368	1.457	1.654	1.428	0.876	0.578	0.565	0.629	1.585	1.423	1.457	0.989	0.817	0.511	0.63
5.3389	0.665	0.436	1.088	1.025	1.25	1.151	0.927	1.77	0.93	0.666	1.154	1.079	1.209	1.187	0.994	1.943	0.7	0.599	1.024	1.066	1.092	0.765	1.058	1.879	1.318	1.318	1.483	0.932	0.471	0.54	0.426	1.417	1.744	1.453	0.868	0.668	0.655	0.524	1.545	1.416	1.384	0.884	0.743	0.7	0.459
5.50553	0.821	0.593	1.146	1.051	1.276	0.949	0.724	1.763	1.021	0.496	1.115	1.006	1.202	1.05	0.889	1.674	0.725	0.723	1.278	1.155	1.149	0.758	1.051	1.871	1.376	1.343	1.508	0.794	0.496	0.728	0.419	1.409	1.802	1.608	0.828	0.726	0.549	0.68	1.766	1.409	1.475	0.778	1.06	0.693	0.647
5.6722	0.749	0.619	1.172	1.011	1.237	0.877	1.043	1.756	0.916	0.587	1.303	1.064	1.163	1.075	1.045	1.894	0.621	0.684	1.205	0.854	1.305	0.849	1.012	1.927	1.368	1.336	1.5	0.916	0.456	0.525	0.412	1.597	1.826	1.632	0.82	0.719	0.639	0.672	1.628	1.662	1.532	0.803	0.889	0.621	0.607
5.83889	0.735	0.506	1.158	0.932	1.157	1.09	0.866	1.905	0.772	0.572	1.224	1.182	1.182	1.159	1.162	1.785	0.606	0.701	1.289	1.104	1.26	0.966	1.226	1.95	1.42	1.42	1.683	0.904	0.508	0.773	0.3	1.519	1.717	1.621	0.971	0.641	0.595	0.627	1.68	1.486	1.553	0.889	0.814	0.64	0.562
6.0056	0.728	0.532	1.151	1.055	1.248	0.986	0.924	1.703	0.83	0.598	1.315	1.076	1.272	1.087	1.155	1.94	0.73	0.629	1.184	0.867	1.22	0.861	1.219	2.137	1.413	1.413	1.676	0.897	0.468	0.57	0.456	1.61	1.807	1.711	0.931	0.829	0.652	0.587	1.673	1.414	1.578	0.979	0.805	0.6	0.652
6.17236	0.741	0.545	1.262	0.972	1.196	0.966	0.938	1.945	0.943	0.448	1.329	0.993	1.221	1.101	1.104	1.892	0.613	0.61	1.329	1.079	1.234	0.973	1.168	1.958	1.591	1.526	1.887	0.814	0.483	0.683	0.47	1.625	1.822	1.662	0.881	0.68	0.766	0.536	1.753	1.494	1.56	0.929	1.018	0.647	0.667
6.33901	0.819	0.525	1.177	1.048	1.339	1.207	0.95	1.989	0.921	0.494	1.243	1.167	1.298	1.08	1.082	1.899	0.69	0.688	1.177	1.055	1.343	0.952	1.342	2.031	1.406	1.504	1.701	0.824	0.591	0.53	0.449	1.602	1.636	1.735	1.021	0.854	0.775	0.58	1.731	1.569	1.57	0.873	0.732	0.593	0.644
6.5057	0.77	0.541	1.29	1.032	1.257	1.158	0.966	1.875	0.938	0.607	1.129	1.086	1.282	1.096	1.099	2.049	0.706	0.703	1.324	1.204	1.458	0.87	1.229	1.953	1.488	1.455	1.621	0.809	0.51	0.776	0.466	1.718	1.85	1.82	0.844	0.643	0.695	0.629	1.65	1.489	1.751	1.087	0.849	0.642	0.662
6.67239	0.715	0.486	1.235	1.009	1.234	0.973	0.813	1.982	0.946	0.585	1.333	1.062	1.16	1.236	1.27	2.086	0.684	0.616	1.398	1.144	1.075	0.847	1.237	2.12	1.399	1.496	1.758	0.914	0.552	0.751	0.344	1.627	1.824	1.825	0.818	0.815	0.572	0.67	1.756	1.562	1.628	0.8	0.821	0.521	0.507
6.83897	0.708	0.382	1.131	1.132	1.163	0.966	1.229	1.975	0.938	0.448	1.424	1.153	1.316	1.164	1.165	1.785	0.612	0.61	1.261	1.169	1.23	1.035	1.393	2.111	1.489	1.391	1.685	0.906	0.544	0.614	0.403	1.62	1.783	1.882	0.81	0.742	0.564	0.695	1.749	1.555	1.718	0.858	0.878	0.612	0.532
7.00573	0.743	0.515	1.23	1.037	1.132	1.131	1.166	1.912	0.908	0.548	1.231	1.09	1.156	1.133	1.233	1.886	0.679	0.677	1.491	1.041	1.233	0.842	1.297	2.244	1.459	1.589	1.851	0.876	0.482	0.616	0.405	1.72	1.884	1.722	0.91	0.712	0.664	0.6	1.653	1.557	1.72	0.958	0.946	0.582	0.632
7.17243	0.871	0.48	1.228	1.034	1.163	0.966	1.327	2.105	0.841	0.546	1.229	1.087	1.316	1.261	1.458	2.013	0.612	0.772	1.261	1.071	1.393	0.97	1.588	2.111	1.587	1.522	1.848	0.906	0.544	0.646	0.403	1.587	1.881	1.817	0.94	0.807	0.727	0.695	1.716	1.555	1.718	0.955	0.943	0.71	0.727
7.33895	0.857	0.467	1.215	1.118	1.117	0.921	1.15	1.864	0.826	0.468	1.28	1.138	1.237	1.15	1.54	1.899	0.598	0.662	1.345	1.055	1.216	0.956	1.573	2.192	1.637	1.41	1.832	0.956	0.563	0.794	0.421	1.507	1.865	1.703	0.827	0.891	0.711	0.745	1.702	1.54	1.702	0.777	0.958	0.761	0.614
7.50578	0.727	0.402	1.052	1.02	1.052	0.954	1.215	1.961	0.826	0.533	1.28	1.041	1.269	1.117	1.41	1.996	0.598	0.694	1.345	1.152	1.378	1.021	1.605	1.997	1.669	1.604	1.767	0.891	0.368	0.697	0.519	1.67	1.995	1.866	0.827	0.728	0.906	0.648	1.831	1.572	1.702	0.972	1.023	0.663	0.679
7.67253	0.738	0.413	1.258	1.129	1.128	1.062	1.357	2.07	0.806	0.544	1.291	1.15	1.183	1.259	1.456	2.173	0.609	0.51	1.356	1.133	1.098	0.935	1.683	2.239	1.552	1.682	1.878	0.904	0.542	0.741	0.595	1.682	2.171	1.717	0.84	0.838	0.626	0.595	1.746	1.65	1.65	0.855	0.94	0.512	0.594
7.8391	0.725	0.4	1.212	1.083	1.147	1.049	1.343	2.186	0.889	0.465	1.407	1.168	1.137	1.115	1.635	2.058	0.758	0.659	1.342	1.02	1.213	1.116	1.668	2.416	1.635	1.667	1.927	0.888	0.625	0.597	0.386	1.667	2.155	1.798	0.792	0.823	0.806	0.678	1.829	1.635	1.635	0.839	0.923	0.563	0.709
8.00576	0.84	0.482	1.263	1.102	1.23	1.196	1.459	1.782	0.843	0.483	1.329	0.992	1.188	1.068	1.526	2.081	0.679	0.579	1.198	0.976	1.233	0.94	1.818	2.44	1.752	1.882	2.144	1.006	0.644	0.909	0.535	1.785	2.014	1.982	1.008	0.907	0.632	0.6	1.914	1.655	1.818	0.893	0.946	0.679	0.729
8.17239	0.855	0.368	1.245	1.083	1.212	0.952	1.538	1.991	0.824	0.465	1.407	1.071	1.072	1.277	1.635	2.156	0.693	0.757	1.277	1.052	1.311	0.953	1.863	2.286	1.764	1.667	2.025	0.888	0.56	0.824	0.516	1.797	1.993	1.961	0.889	0.791	0.903	0.743	1.991	1.635	1.797	0.839	0.955	0.693	0.676
8.3391	0.829	0.406	1.219	1.09	1.316	1.055	1.61	2.193	0.928	0.537	1.317	1.175	1.176	1.252	1.741	2.262	0.7	0.699	1.252	0.963	1.188	0.83	2.098	2.328	1.674	1.707	2.033	1.189	0.632	0.734	0.588	1.87	2.098	1.969	0.8	0.83	1.009	0.653	1.901	1.675	1.838	0.945	0.801	0.603	0.717
8.50583	0.808	0.482	1.133	1.037	1.132	1.164	1.557	2.075	0.843	0.483	1.329	1.155	1.253	1.296	1.884	2.276	0.614	0.514	1.166	1.269	1.298	1.07	1.981	2.57	1.752	1.784	1.981	1.006	0.644	0.844	0.6	1.818	2.079	1.917	0.812	0.81	0.729	0.795	1.914	1.785	1.85	0.99	0.978	0.679	0.827
8.67249	0.864	0.474	1.254	1.092	1.123	1.058	1.612	2.098	0.898	0.539	1.319	0.983	1.146	1.059	1.873	2.362	0.702	0.571	1.189	1.161	1.223	0.963	2.003	2.656	1.677	1.774	2.165	0.899	0.472	0.801	0.591	1.808	2.101	2.004	0.932	0.833	0.751	0.785	2.099	1.742	1.84	1.175	0.869	0.768	0.719
8.83919	0.927	0.504	1.122	1.025	1.316	1.153	1.74	2.356	0.928	0.472	1.284	1.143	1.176	1.284	2.033	2.294	0.7	0.699	1.284	1.125	1.22	0.96	2.196	2.62	1.674	1.804	2.065	0.994	0.632	0.896	0.523	1.87	1.968	2.164	0.93	0.83	0.749	0.75	1.999	1.772	1.935	0.977	1.126	0.7	0.879
9.00589	0.857	0.565	1.15	1.118	1.214	1.116	1.897	2.189	1.086	0.533	1.312	1.041	1.237	1.247	2.06	2.289	0.761	0.662	1.247	1.152	1.118	0.923	2.093	2.809	1.832	1.702	2.32	0.956	0.66	0.891	0.519	1.962	2.19	2.061	0.729	0.826	0.841	0.648	1.994	1.93	1.897	0.939	0.958	0.826	0.809
9.17251	0.816	0.459	1.303	1.205	1.335	0.913	1.92	2.439	0.979	0.556	1.27	1.193	1.162	1.238	2.115	2.537	0.849	0.75	1.238	1.141	1.173	0.946	2.31	2.992	1.725	1.757	2.147	0.978	0.748	0.914	0.607	1.887	2.18	2.18	0.817	0.881	0.733	0.833	2.146	1.855	1.984	0.864	1.044	0.751	0.669
9.33931	0.79	0.4	1.245	1.18	1.212	1.146	1.96	2.381	0.986	0.53	1.375	0.941	1.364	1.212	2.35	2.383	0.661	0.692	1.18	1.117	1.278	0.921	2.415	2.936	1.862	1.764	2.155	1.083	0.658	0.824	0.484	2.057	2.285	1.993	0.922	0.888	0.806	0.743	2.089	1.96	1.895	1.034	0.955	0.758	0.904
9.50595	0.829	0.374	1.122	1.187	1.154	1.121	1.935	2.551	1.123	0.635	1.284	1.045	1.241	1.284	2.423	2.652	0.765	0.764	1.187	1.158	1.318	0.96	2.488	3.14	1.869	1.902	2.325	1.091	0.73	0.929	0.588	2.0	2.293	2.261	1.027	0.928	0.846	0.783	2.292	1.772	1.935	0.88	1.061	0.7	0.717
9.6727	0.72	0.461	1.208	1.11	1.045	1.012	2.312	2.474	0.981	0.526	1.272	1.066	1.229	1.207	2.507	2.637	0.689	0.655	1.24	1.112	1.273	0.819	2.507	2.995	2.019	1.954	2.247	1.078	0.75	0.884	0.609	2.052	2.345	2.15	0.884	0.981	0.833	0.738	2.084	2.02	1.922	1.061	0.917	0.656	0.866
9.83931	0.818	0.396	1.24	1.078	1.11	1.012	2.215	2.571	0.981	0.461	1.305	1.293	1.229	1.143	2.637	2.767	0.754	0.753	1.175	1.047	1.208	0.948	2.702	3.222	2.052	2.084	2.344	1.078	0.62	0.981	0.609	2.15	2.345	2.345	0.884	0.818	0.898	0.836	2.181	2.02	2.084	0.932	1.21	0.689	0.769
10.00585	0.816	0.589	1.4	1.108	1.205	1.043	2.309	2.763	1.108	0.621	1.27	1.161	1.292	1.238	2.667	2.797	0.849	0.685	1.368	1.141	1.303	0.914	2.764	3.219	1.919	2.082	2.406	1.173	0.748	0.979	0.671	2.342	2.277	2.537	1.076	0.978	0.895	0.833	2.374	2.082	2.147	1.026	1.142	0.816	0.799
